file,Red,Green,Blue,PC1,PC2,PC3,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight
Ames-TP1-4233_2_2,53.6017316017316,69.02164502164503,59.285714285714285,0.03790965508612117,-0.015834664988198126,0.04045046852271791,Ames-TP1-4233,2,2,,,,,,,,,,,,,,,,
Ames-TP1-4232_25_18,51.7965367965368,68.83982683982684,59.731601731601735,0.04140865672725443,0.02591210700603749,0.0021018666942134705,Ames-TP1-4232,25,18,32000.0,13.86,122.92,64.0,,,,,,,,,,,0.0,246.0
Ames-TP1-4232_17_22,52.574380165289256,66.89256198347107,58.38429752066116,0.03504265757093395,-0.0007271238049848633,-0.01901348319490298,Ames-TP1-4232,17,22,34000.0,11.5,113.73,68.0,,,,,,,,,,,0.0,188.0
Ames-TP1-4232_1_22,60.1948051948052,76.2943722943723,65.41558441558442,0.03979307216264344,-0.035281406764184536,0.002256184399919224,Ames-TP1-4232,1,22,,,,,,,,,,,,,,,,
Ames-TP1-4232_18_17,55.80952380952381,71.51948051948052,62.39393939393939,0.038386470750190735,0.0047121799156913825,-0.06113622046585475,Ames-TP1-4232,18,17,33000.0,19.84,173.03,66.0,,,,,,,,,,,0.0,203.0
Ames-TP1-4231_5_6,61.15584415584416,77.02597402597402,67.25541125541126,0.03894218515421308,-0.009739577443015112,-0.019895295072497956,Ames-TP1-4231,5,6,26500.0,11.26,108.75,53.0,,,,,,,,,,,0.0,196.0
Ames-TP1-4231_18_5,51.87190082644628,66.65702479338843,57.01652892561984,0.03643994825873481,-0.02320427646378022,-0.058127040799703746,Ames-TP1-4231,18,5,31000.0,12.94,125.79,62.0,,,,,,,,,,,1.61,174.0
Ames-TP1-4233_21_11,52.34632034632035,67.99567099567099,60.056277056277054,0.037895716438645,0.03492772766459416,0.020048771751510364,Ames-TP1-4233,21,11,,,,,,,,,,,,,,,,
Ames-TP1-4233_1_3,82.4504132231405,85.59504132231405,81.38429752066116,0.008393548724804002,-0.061684004800053226,-0.0021618683609036316,Ames-TP1-4233,1,3,,,,,,,,,,,,,,,,
Ames-TP1-4232_13_21,59.38961038961039,75.14718614718615,65.89177489177489,0.03853325591328391,0.0020415597183096467,-0.016399345522655356,Ames-TP1-4232,13,21,24000.0,14.52,129.39,48.0,,,,,,,,,,,0.0,210.0
Ames-TP1-4231_12_6,46.86776859504132,60.04545454545455,53.40909090909091,0.031895839620604924,0.03070047483739982,0.04011092288308237,Ames-TP1-4231,12,6,,,,,,,,,,,,,,,,
Ames-TP1-4233_15_1,50.46825396825397,62.32936507936508,55.31349206349206,0.029019538600190395,0.00024695303076514527,0.00014871340039067805,Ames-TP1-4233,15,1,,,,,,,,,,,,,,,,
Ames-TP1-4231_8_5,45.053030303030305,60.21969696969697,53.17045454545455,0.03653475750814672,0.050800840463921484,0.02346323359516271,Ames-TP1-4231,8,5,29500.0,12.62,116.17,59.0,,,,,,,,,,,13.56,220.0
Ames-TP1-4233_17_12,52.926406926406926,70.24242424242425,60.064935064935064,0.04234623429355618,0.0020672730842963894,0.04089719896237641,Ames-TP1-4233,17,12,,,,,,,,,,,,,,,,
Ames-TP1-4231_12_7,46.95075757575758,60.359848484848484,52.166666666666664,0.03288475257973894,-0.0065946808711074435,0.02118204485666404,Ames-TP1-4231,12,7,34000.0,13.21,107.98,68.0,,,,,,,,,,,2.94,230.0
Ames-TP1-4233_18_2,52.1900826446281,67.56611570247934,59.30165289256198,0.0373719289251263,0.02213610983981925,0.005519171148650171,Ames-TP1-4233,18,2,,,,,,,,,,,,,,,,
Ames-TP1-4232_6_18,54.12987012987013,70.50649350649351,61.722943722943725,0.03979832145033988,0.02406836565459766,-0.017832647527222432,Ames-TP1-4232,6,18,31000.0,13.97,125.07,62.0,,,,,,,,,,,0.0,198.0
Ames-TP1-4231_22_2,52.007936507936506,66.05952380952381,58.861111111111114,0.03404737504436447,0.029533046351866012,-0.03557734687098569,Ames-TP1-4231,22,2,30000.0,11.86,99.32,60.0,,,,,,,,,,,6.67,205.0
Ames-TP1-4233_21_10,53.67965367965368,70.65367965367966,62.16450216450217,0.04106708513087533,0.04109599713699906,-0.03656251248547123,Ames-TP1-4233,21,10,29500.0,18.23,163.79,59.0,,,,,,,,,,,0.0,192.0
Ames-TP1-4232_24_22,58.298701298701296,70.7056277056277,63.922077922077925,0.0301896466723003,0.014842002202236896,-0.03691797366557879,Ames-TP1-4232,24,22,26000.0,12.65,109.0,52.0,,,,,,,,,,,15.38,208.0
Ames-TP1-4231_21_4,50.138888888888886,65.5952380952381,56.964285714285715,0.03766340101853925,0.01375853988640213,-0.016565825622715115,Ames-TP1-4231,21,4,31000.0,12.06,95.28,62.0,,,,,,,,,,,0.0,246.0
Ames-TP1-4232_14_18,53.303030303030305,69.01298701298701,60.316017316017316,0.03825887352227008,0.015970179879062105,0.023230896386153645,Ames-TP1-4232,14,18,37000.0,15.86,140.83,74.0,,,,,,,,,,,0.0,196.0
Ames-TP1-4233_2_9,57.90909090909091,73.71861471861472,63.70995670995671,0.03887546607484807,-0.016936979067336152,0.020214053723542208,Ames-TP1-4233,2,9,,,,,,,,,,,,,,,,
Ames-TP1-4233_20_8,51.95670995670996,70.16883116883118,60.24242424242424,0.04430608969343519,0.022605164768622874,-0.035298145204689074,Ames-TP1-4233,20,8,,,,,,,,,,,,,,,,
Ames-TP1-4233_22_1,56.65151515151515,66.73863636363636,58.25757575757576,0.025427909482545915,-0.06584271430304744,0.059234760967541135,Ames-TP1-4233,22,1,,,,,,,,,,,,,,,,
Ames-TP1-4231_2_2,55.01239669421488,68.49173553719008,60.03305785123967,0.03312329619212994,-0.012475930181763776,0.004537554101196024,Ames-TP1-4231,2,2,30000.0,17.51,147.92,60.0,,,,,,,,,,,0.0,218.0
Ames-TP1-4231_3_3,61.18181818181818,72.25541125541126,64.80952380952381,0.02735950096756159,-0.023301783418840077,-0.05916693722908446,Ames-TP1-4231,3,3,26500.0,18.6,149.3,53.0,,,,,,,,,,,0.0,178.0
Ames-TP1-4233_13_12,55.15151515151515,73.63203463203463,64.08225108225108,0.04480335869252938,0.036674511991110895,0.05957042800106997,Ames-TP1-4233,13,12,,,,,,,,,,,,,,,,
Ames-TP1-4233_7_3,60.02164502164502,77.49350649350649,64.31168831168831,0.04359454885099962,-0.07442769674435523,-0.0567561918655192,Ames-TP1-4233,7,3,30500.0,14.22,105.62,61.0,,,,,,,,,,,1.64,242.0
Ames-TP1-4232_31_21,49.47520661157025,62.268595041322314,55.18181818181818,0.03115738988594861,0.012889514171711709,0.005381379968742611,Ames-TP1-4232,31,21,,,,,,,,,,,,,,,,
Ames-TP1-4231_18_4,61.86776859504132,73.62809917355372,65.75206611570248,0.029046808542468393,-0.02391632784456374,-0.021071631366050666,Ames-TP1-4231,18,4,22500.0,18.75,159.78,45.0,,,,,,,,,,,0.0,193.0
Ames-TP1-4232_6_17,58.64502164502164,75.44588744588745,64.37229437229438,0.04144337385760675,-0.02948731758648585,-0.0007155284314925073,Ames-TP1-4232,6,17,27500.0,13.54,125.35,55.0,,,,,,,,,,,0.0,178.0
Ames-TP1-4233_7_9,56.96969696969697,77.83549783549783,65.32900432900433,0.051099446532208014,-0.0038822148015754533,0.040161379053578944,Ames-TP1-4233,7,9,31500.0,18.36,149.7,63.0,,,,,,,,,,,1.59,186.0
Ames-TP1-4231_10_7,55.36363636363637,75.15584415584415,63.35930735930736,0.04845047376113058,-0.0019364119617714863,-0.035001831982672656,Ames-TP1-4231,10,7,34500.0,6.31,62.87,69.0,,,,,,,,,,,0.0,212.0
Ames-TP1-4233_21_1,52.79365079365079,67.32936507936508,58.11507936507937,0.03574676785183122,-0.01588881785129235,0.0015312929890810983,Ames-TP1-4233,21,1,,,,,,,,,,,,,,,,
Ames-TP1-4232_25_19,52.4025974025974,70.70995670995671,59.484848484848484,0.0449089866327625,-0.010028196749464148,-0.03665763784650509,Ames-TP1-4232,25,19,33000.0,9.5,87.85,66.0,,,,,,,,,,,0.0,222.0
Ames-TP1-4231_25_3,56.29004329004329,71.47619047619048,62.142857142857146,0.0372590233718626,-0.008896088682350317,0.01938064463968312,Ames-TP1-4231,25,3,28000.0,18.08,160.54,56.0,,,,,,,,,,,0.0,204.0
Ames-TP1-4232_3_19,53.19421487603306,68.27685950413223,60.59090909090909,0.03653355003352075,0.032768089018760896,0.0588517455025961,Ames-TP1-4232,3,19,31500.0,15.11,131.3,63.0,,,,,,,,,,,0.0,163.0
Ames-TP1-4233_8_5,48.61904761904762,65.83333333333333,55.62301587301587,0.04212502593651004,-0.00037790314641691263,0.03949106054021414,Ames-TP1-4233,8,5,31500.0,15.09,131.61,63.0,,,,,,,,,,,0.0,195.0
Ames-TP1-4231_10_2,50.231404958677686,63.429752066115704,57.03305785123967,0.031871394877417795,0.03731773364206231,-0.035714421542152014,Ames-TP1-4231,10,2,29500.0,17.5,152.81,59.0,,,,,,,,,,,0.0,200.0
Ames-TP1-4233_12_6,49.78099173553719,65.11157024793388,55.900826446280995,0.037550457377187624,-0.003428647924377334,-0.01937059747167563,Ames-TP1-4233,12,6,29500.0,19.87,164.72,59.0,,,,,,,,,,,1.69,201.0
Ames-TP1-4233_5_1,49.85123966942149,62.747933884297524,55.28512396694215,0.03150390144117602,0.00461894056098385,-0.017572175311673578,Ames-TP1-4233,5,1,,,,,,,,,,,,,,,,
Ames-TP1-4231_28_7,54.63203463203463,69.66666666666667,62.20779220779221,0.036356930536796304,0.03798605351041742,0.022512770219479037,Ames-TP1-4231,28,7,27500.0,15.63,143.22,55.0,,,,,,,,,,,0.0,188.0
