file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
MOValley-TP6-Hybrids_23_10,909.2610837438424,874.0,184580,719.7536945812808,702.0,146110,556.6354679802955,541.0,112997,-0.0068034650642984,-0.007710358699296,-1.38110340805258,-0.1124152484156998,-0.1148878314072059,-22.82029542838707,0.1124152484156998,0.1148878314072059,22.82029542838707,0.2907324256663479,0.2908309455587392,59.01868241026862,0.390163713005915,0.3899422918384171,79.20323374020074,0.4360101527828465,0.4361683079677708,88.51006101491785,0.1145731977027552,0.1169261344816164,23.258359133659315,1306.6305418719212,1259.0,265246,489.7931034482759,481.0,99428,1660.7389162561576,1617.0,337130,MOValley-TP6-Hybrids,23,10,Hybrids,28500.0,13.69,128.9,57.0,,,,,5.0,65.51,11.22,4.02,1.57,1.26,0.0,185.0,PHP02 X LH145
MOValley-TP6-Hybrids_23_11,950.7,922.5,190140,732.375,712.5,146475,556.56,544.0,111312,-0.0114719835117122,-0.0130510662772987,-2.2943967023424405,-0.1247180895356135,-0.1278057828181611,-24.943617907122704,0.1247180895356135,0.1278057828181611,24.943617907122704,0.2832317186714013,0.2856404143078667,56.646343734280265,0.3937291566360124,0.3982265143608732,78.74583132720248,0.4247632246658411,0.4283960433084676,84.95264493316823,0.1104893386857171,0.1148954516277912,22.097867737143435,1352.44,1323.0,270488,483.555,476.5,96711,1711.08,1657.5,342216,MOValley-TP6-Hybrids,23,11,Hybrids,25500.0,16.09,150.82,51.0,,,,,5.61,70.05,9.34,3.86,0.8,1.18,0.0,209.0,LH82 X W606S
MOValley-TP6-Hybrids_23_12,941.118811881188,916.5,190106,699.460396039604,681.5,141291,524.3712871287129,513.5,105923,-0.0200924727848732,-0.0249391107562303,-4.058679502544397,-0.1419842363258389,-0.1489047619047619,-28.68081573781948,0.1419842363258389,0.1489047619047619,28.68081573781948,0.3165481968214044,0.3179332015217077,63.94273575792369,0.4384806806312001,0.4470626863861185,88.57309748750244,0.4747293775576672,0.4768195777813351,95.8953342666488,0.1291645245283269,0.1331172251161241,26.09123395472205,1383.1930693069307,1361.5,279405,461.0841584158416,447.0,93139,1820.970297029703,1784.5,367836,MOValley-TP6-Hybrids,23,12,Hybrids,30000.0,20.83,195.47,60.0,,,,,5.35,69.21,8.28,4.02,0.97,1.18,0.0,201.0,PIONEER 1311 AMXT
MOValley-TP6-Hybrids_23_13,963.5147058823528,956.0,196557,740.2352941176471,734.0,151008,547.3480392156863,546.5,111659,-0.0051668243677313,-0.0107048269361212,-1.0540321710171885,-0.1223302992250475,-0.1297535305564978,-24.95538104190969,0.1223302992250475,0.1297535305564978,24.95538104190969,0.3340103808647864,0.3343509925400656,68.13811769641643,0.4381002599967276,0.444149988095174,89.37245303933244,0.5009183217884627,0.5014563317790133,102.1873376448464,0.1254860335239842,0.1328723795746408,25.59915083889278,1472.1617647058824,1441.5,300321,471.38235294117646,465.5,96162,1931.700980392157,1913.5,394067,MOValley-TP6-Hybrids,23,13,Hybrids,29000.0,17.79,166.76,58.0,,,,,5.41,68.16,9.08,3.86,1.4,1.12,3.45,216.0,B73 X PHM49
MOValley-TP6-Hybrids_23_14,784.1094527363184,787.0,157606,616.3582089552239,614.0,123888,475.3084577114428,472.0,95537,-0.0074960953299375,-0.0112130479102956,-1.506715161317441,-0.1133576034803553,-0.1194590533433508,-22.784878299551423,0.1133576034803553,0.1194590533433508,22.784878299551423,0.3292064096493931,0.3303521520402459,66.17048833952802,0.4263984696105203,0.4319634703196347,85.70609239171459,0.4936960042658701,0.4954589911974291,99.2328968574399,0.1245015285713416,0.1291248206599713,25.02480724283967,1196.1442786069651,1176.0,240425,436.5273631840796,433.0,87742,1556.084577114428,1545.0,312773,MOValley-TP6-Hybrids,23,14,Hybrids,24000.0,13.93,130.72,48.0,,,,,5.39,70.73,10.27,3.95,1.64,1.33,8.33,213.0,PHN46 X PHK56
MOValley-TP6-Hybrids_23_15,965.9447236180904,975.0,192223,723.7236180904523,725.0,144021,551.7688442211055,552.0,109802,-0.0189355348643215,-0.0235950235950235,-3.768171437999992,-0.1355807589320033,-0.1428571428571428,-26.980571027468663,0.1355807589320033,0.1428571428571428,26.980571027468663,0.3328053736864613,0.3348226752303825,66.2282693636058,0.4480038220368545,0.4536752136752137,89.15276058533405,0.4991122703781907,0.5021638978081809,99.32334180525996,0.1274495538319478,0.134797938703553,25.362461212557623,1468.1356783919598,1480.0,292159,480.83417085427135,476.0,95686,1929.3015075376884,1924.0,383931,MOValley-TP6-Hybrids,23,15,Hybrids,,,,,,,,,5.24,68.68,8.52,4.18,0.91,1.18,,185.0,PHB47 X PHJ89
MOValley-TP6-Hybrids_23_16,856.5467980295566,831.0,173879,677.2807881773399,669.0,137488,515.35960591133,508.0,104618,-0.0022459531983495,-0.0032733224222585,-0.4559284992649486,-0.1093057848922243,-0.1141552511415525,-22.189074333121543,0.1093057848922243,0.1141552511415525,22.189074333121543,0.3312943989896462,0.3291196388261851,67.25276299489819,0.4248323950153796,0.4303079416531604,86.24097618812208,0.496835921810776,0.4935680433310765,100.85769212758754,0.1279704159950991,0.1345265588914549,25.977994447005116,1301.3300492610838,1276.0,264170,476.6502463054187,466.0,96760,1707.7487684729065,1681.0,346673,MOValley-TP6-Hybrids,23,16,Hybrids,22500.0,15.61,146.49,45.0,,,,,5.15,67.28,8.66,3.74,1.39,1.26,17.78,197.0,PHK56 X 3IIH6
MOValley-TP6-Hybrids_23_17,1045.436274509804,1042.0,213269,779.0637254901961,779.5,158929,578.4705882352941,580.0,118008,-0.015781068224694,-0.0194358823541605,-3.219337917837596,-0.1374859384846865,-0.1430312527204666,-28.04713145087604,0.1374859384846865,0.1430312527204666,28.04713145087604,0.328160223196994,0.3243371440070127,66.94468553218678,0.4453261454763872,0.4536240289924272,90.846533677183,0.4921512304389751,0.4864512581549307,100.39885100955092,0.1215530188711282,0.1294623745318685,24.79681584971016,1589.156862745098,1607.5,324188,500.1372549019608,499.0,102028,2069.083333333333,2083.5,422093,MOValley-TP6-Hybrids,23,17,Hybrids,30500.0,19.63,182.77,61.0,,,,,4.78,71.57,8.44,4.36,0.41,0.98,3.28,193.0,PHW52 X PHN82
MOValley-TP6-Hybrids_23_18,921.035,904.0,184207,711.375,706.0,142275,538.17,535.0,107634,-0.0095995079740032,-0.0131733045697873,-1.9199015948006453,-0.1235809295861384,-0.1275081261640012,-24.71618591722768,0.1235809295861384,0.1275081261640012,24.71618591722768,0.3299466271997117,0.3281597731863058,65.98932543994233,0.4357307584411244,0.4377736350319051,87.14615168822489,0.4948246130902226,0.4921522186848469,98.96492261804453,0.1289379971559443,0.1329422552171367,25.787599431188863,1396.28,1377.5,279256,482.135,478.0,96427,1828.685,1811.5,365737,MOValley-TP6-Hybrids,23,18,Hybrids,29500.0,21.34,200.71,59.0,,,,,5.51,68.72,8.09,4.38,0.5,1.16,5.08,186.0,LH82 X PHJ89
MOValley-TP6-Hybrids_23_19,949.06,925.5,189812,717.375,707.0,143475,537.15,536.0,107430,-0.013214224278225,-0.0190772622187715,-2.6428448556450026,-0.1309175648261861,-0.1374423857721803,-26.183512965237227,0.1309175648261861,0.1374423857721803,26.183512965237227,0.3259171665919717,0.3268401242160172,65.18343331839435,0.4378386846818069,0.4429775882547656,87.56773693636138,0.4887787793642814,0.4901738038150902,97.75575587285628,0.1282916949856114,0.1347897870192244,25.65833899712229,1417.91,1402.0,283582,470.26,459.0,94052,1870.385,1844.0,374077,MOValley-TP6-Hybrids,23,19,Hybrids,32000.0,19.85,188.37,64.0,,,,,5.24,68.6,8.5,3.66,1.09,0.97,0.0,194.0,LH74 X PHM49
