file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
MOValley-TP4-Hybrids_23_10,996.2216748768471,1004.0,202233,744.0738916256157,750.0,151047,538.832512315271,543.0,109383,-0.011349086573192,-0.0179055887140531,-2.3038645743579784,-0.1403160192316379,-0.147834274952919,-28.484151904022504,0.1403160192316379,0.147834274952919,28.484151904022504,0.3624985858860267,0.3659695817490494,73.58721293486343,0.4780630944201892,0.4866666666666667,97.0468081672984,0.5436521680955845,0.5488239486813971,110.36139012340364,0.1145927863499703,0.1308836926814454,23.26233562904397,1650.295566502463,1660.0,335010,463.7881773399015,465.0,94149,2153.4433497536947,2182.0,437149,MOValley-TP4-Hybrids,23,10,Hybrids,28500.0,13.69,128.9,57.0,,,,,5.0,65.51,11.22,4.02,1.57,1.26,0.0,185.0,PHP02 X LH145
MOValley-TP4-Hybrids_23_11,1072.965,1084.0,214593,778.765,774.0,155753,540.405,544.5,108081,-0.013702846095176,-0.0170989186952375,-2.740569219035213,-0.1551935687604207,-0.160411851159772,-31.038713752084146,0.1551935687604207,0.160411851159772,31.038713752084146,0.3820815519377372,0.3751553276645084,76.41631038754744,0.5071928220141086,0.5130803224450293,101.43856440282174,0.5730330925378154,0.5626723206726665,114.60661850756308,0.1333178232969848,0.1468211420526511,26.66356465939697,1798.75,1803.5,359750,450.36,448.5,90072,2416.435,2418.5,483287,MOValley-TP4-Hybrids,23,11,Hybrids,25500.0,16.09,150.82,51.0,,,,,5.61,70.05,9.34,3.86,0.8,1.18,0.0,209.0,LH82 X W606S
MOValley-TP4-Hybrids_23_12,828.9257425742575,811.0,167443,684.3960396039604,666.5,138248,460.470297029703,456.0,93015,0.0419805847275452,0.0348267907875201,8.480078114964147,-0.0805240612280115,-0.0942286348501664,-16.265860368058338,0.0805240612280115,0.0942286348501664,16.265860368058338,0.4978117210089071,0.4892096407457935,100.55796764379924,0.5569198198224429,0.5581606717744094,112.49780360413348,0.7465831973077075,0.7336907616846468,150.8098058561569,0.160204189907286,0.1735600474689668,32.36124636127179,1694.4405940594058,1670.5,342277,412.0940594059406,411.0,83243,2415.9950495049507,2349.0,488031,MOValley-TP4-Hybrids,23,12,Hybrids,30000.0,20.83,195.47,60.0,,,,,5.35,69.21,8.28,4.02,0.97,1.18,0.0,201.0,PIONEER 1311 AMXT
MOValley-TP4-Hybrids_23_13,782.4509803921569,744.5,159620,690.7892156862745,665.0,140921,477.7107843137255,458.0,97453,0.0564207254858974,0.0469312091623228,11.509827999123074,-0.0477486470915865,-0.0580029301065381,-9.740724006683651,0.0477486470915865,0.0580029301065381,9.740724006683651,0.5479036100638053,0.5465169601082339,111.77233645301628,0.5817582443884635,0.5795900346893724,118.67868185524657,0.8217199113798825,0.8196691446874793,167.63086192149603,0.1792884472960421,0.186918948268525,36.57484324839259,1779.2058823529412,1738.0,362958,415.6519607843137,401.5,84793,2605.9901960784314,2518.5,531622,MOValley-TP4-Hybrids,23,13,Hybrids,29000.0,17.79,166.76,58.0,,,,,5.41,68.16,9.08,3.86,1.4,1.12,3.45,216.0,B73 X PHM49
MOValley-TP4-Hybrids_23_14,806.502487562189,813.0,162107,685.6318407960199,695.0,137812,483.6318407960199,485.0,97210,0.0384899650414124,0.0336313324819071,7.7364829733239,-0.0697570714145446,-0.0764082543223647,-14.021171354323467,0.0697570714145446,0.0764082543223647,14.021171354323467,0.4882952925597821,0.4806312769010043,98.1473538045162,0.5405619189526348,0.5403776617115308,108.6529457094796,0.7323117371727806,0.7208730402705196,147.19465917172892,0.1566427861382155,0.1619576185671039,31.485200013781327,1647.4825870646766,1639.0,331144,419.228855721393,422.0,84265,2314.7562189054725,2264.0,465266,MOValley-TP4-Hybrids,23,14,Hybrids,24000.0,13.93,130.72,48.0,,,,,5.39,70.73,10.27,3.95,1.64,1.33,8.33,213.0,PHN46 X PHK56
MOValley-TP4-Hybrids_23_15,725.3517587939698,731.0,144345,626.9346733668342,642.0,124760,434.02010050251255,441.0,86370,0.0472850838391034,0.0364963503649635,9.409731683981594,-0.0614515691060853,-0.0759392486011191,-12.228862252110984,0.0614515691060853,0.0759392486011191,12.228862252110984,0.5529753901981963,0.5427522935779816,110.04210264944106,0.5959926226529644,0.5960112503196113,118.60253190793992,0.8293230519072634,0.813979086406164,165.0352873295454,0.1908945169989714,0.1986676183678325,37.98800888279532,1658.1658291457286,1673.0,329975,390.7587939698493,397.0,77761,2470.221105527638,2497.0,491574,MOValley-TP4-Hybrids,23,15,Hybrids,,,,,,,,,5.24,68.68,8.52,4.18,0.91,1.18,,185.0,PHB47 X PHJ89
MOValley-TP4-Hybrids_23_16,847.8866995073892,833.0,172121,720.743842364532,706.0,146311,500.0,488.0,101500,0.03791770514489,0.0341793570219966,7.697294144412679,-0.0749333482955627,-0.082529474812433,-15.211469703999231,0.0749333482955627,0.082529474812433,15.211469703999231,0.5139083138018848,0.5076504590275417,104.32338770178262,0.56766778197177,0.5689107194452471,115.23655974026931,0.7707434308725784,0.7613462519122897,156.46091646713342,0.1759416582523874,0.1808118081180811,35.71615662523464,1808.8226600985224,1790.0,367191,441.83251231527095,439.0,89692,2614.167487684729,2549.0,530676,MOValley-TP4-Hybrids,23,16,Hybrids,22500.0,15.61,146.49,45.0,,,,,5.15,67.28,8.66,3.74,1.39,1.26,17.78,197.0,PHK56 X 3IIH6
MOValley-TP4-Hybrids_23_17,801.1176470588235,821.0,163428,761.3137254901961,776.5,155308,489.7549019607843,500.5,99910,0.0919704940117116,0.0823721847083001,18.76198077838917,-0.0123276430031608,-0.0269829337193285,-2.5148391726448187,0.0123276430031608,0.0269829337193285,2.5148391726448187,0.5802570086888175,0.5736376427376587,118.37242977251876,0.5902178880742496,0.5912087386564782,120.40444916714692,0.8702600892214056,0.8603604231831049,177.53305820116674,0.1760850574437446,0.1811030528140762,35.9213517185239,2042.6029411764705,2078.5,416691,430.6470588235294,436.0,87852,2955.593137254902,3015.5,602941,MOValley-TP4-Hybrids,23,17,Hybrids,30500.0,19.63,182.77,61.0,,,,,4.78,71.57,8.44,4.36,0.41,0.98,3.28,193.0,PHW52 X PHN82
MOValley-TP4-Hybrids_23_18,844.22,872.0,168844,710.755,715.0,142151,478.61,490.5,95722,0.0451397754386827,0.0385961724173144,9.027955087736558,-0.074684741652428,-0.0803206720672067,-14.9369483304856,0.074684741652428,0.0803206720672067,14.9369483304856,0.510739621864446,0.5099056374119267,102.1479243728892,0.5650856272702153,0.565158026984725,113.01712545404304,0.7659815132823274,0.7647657069748552,153.1963026564655,0.16006226776734,0.178437368441855,32.012453553468,1811.9,1868.5,362380,414.94,417.5,82988,2575.34,2649.5,515068,MOValley-TP4-Hybrids,23,18,Hybrids,29500.0,21.34,200.71,59.0,,,,,5.51,68.72,8.09,4.38,0.5,1.16,5.08,186.0,LH82 X PHJ89
MOValley-TP4-Hybrids_23_19,788.005,789.0,157601,735.8,734.5,147160,482.545,483.5,96509,0.0843005364722288,0.071068404081741,16.860107294445758,-0.0191711443845891,-0.0371173217460003,-3.834228876917823,0.0191711443845891,0.0371173217460003,3.834228876917823,0.5554420704031501,0.5507105226316001,111.08841408063002,0.569999980549617,0.5730656967399415,113.9999961099234,0.833029608525193,0.825939723232073,166.6059217050386,0.1693392825997489,0.1761483214988048,33.86785651994979,1875.08,1862.5,375016,420.365,417.0,84073,2695.845,2663.5,539169,MOValley-TP4-Hybrids,23,19,Hybrids,32000.0,19.85,188.37,64.0,,,,,5.24,68.6,8.5,3.66,1.09,0.97,0.0,194.0,LH74 X PHM49
MOValley-TP4-Hybrids_23_2,978.665024630542,971.0,198669,790.2512315270936,792.0,160421,549.5418719211823,552.0,111557,0.02106497720485,0.0182926829268292,4.276190372584551,-0.1013589403131989,-0.1045788581119276,-20.5758648835794,0.1013589403131989,0.1045788581119276,20.5758648835794,0.4506864133290357,0.4545,91.48934190579423,0.5282747837150448,0.5343082114735658,107.23978109415408,0.6759278759328996,0.6816647919010124,137.2133588143786,0.1494353904574091,0.1605435329642677,30.335384262854063,1874.669950738916,1880.0,380558,449.8965517241379,453.0,91329,2582.92118226601,2568.0,524333,MOValley-TP4-Hybrids,23,2,Hybrids,27000.0,16.71,156.64,54.0,,,,,5.01,68.78,8.48,3.97,0.72,1.11,3.7,182.0,PHP02 X PHN46
MOValley-TP4-Hybrids_23_20,964.2,968.0,197661,767.3707317073171,771.0,157311,521.3073170731707,519.0,106868,0.0246188014659458,0.0179261862917398,5.046854300518902,-0.1038134316304757,-0.1115646258503401,-21.28175348424752,0.1038134316304757,0.1115646258503401,21.28175348424752,0.4599367830485675,0.4522653721682848,94.28704052495634,0.5388341274882045,0.5346097201767305,110.46099613508191,0.6897962065074755,0.6782608695652174,141.40822233403247,0.1478403870506308,0.1582187564128873,30.30727934537932,1869.029268292683,1877.0,383151,443.2487804878049,442.0,90866,2580.409756097561,2600.0,528984,MOValley-TP4-Hybrids,23,20,Hybrids,30500.0,17.92,166.09,61.0,,,,,5.56,71.87,7.83,3.99,1.85,1.25,11.48,201.0,B14A X MO17
MOValley-TP4-Hybrids_23_21,698.0098039215686,706.5,142394,639.3382352941177,642.5,130425,423.87745098039215,431.5,86471,0.0731871359901288,0.0653070448442127,14.93017574198628,-0.0336616330386746,-0.0436268778906601,-6.8669731398896365,0.0336616330386746,0.0436268778906601,6.8669731398896365,0.5754787658402596,0.5711169356943857,117.39766823141296,0.5985799548346987,0.5991968783713859,122.11031078627852,0.8630752641545247,0.8565586200069427,176.06735388752304,0.1863107602581618,0.1925500103009909,38.00739509266501,1722.720588235294,1741.5,351435,387.7107843137255,389.5,79093,2540.6176470588234,2590.0,518286,MOValley-TP4-Hybrids,23,21,Hybrids,,,,,,,,,,,,,,,,,
