file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
MOValley-TP5-Hybrids_23_10,897.6748768472906,893.0,182228,665.2955665024631,665.0,135055,506.9408866995074,511.0,102909,-0.0243391007877992,-0.0275146594497068,-4.940837459923245,-0.1428394245980022,-0.1462865716429107,-28.996403193394457,0.1428394245980022,0.1462865716429107,28.996403193394457,0.3232944682554093,0.3381060852587048,65.62877705584809,0.4441002831996716,0.4661857529305681,90.15235748953334,0.4848473975834956,0.5070766227428014,98.42402170944962,0.1015656248370177,0.1225144323284156,20.617821841914598,1425.6059113300494,1398.0,289398,427.4334975369458,420.0,86769,1824.344827586207,1815.0,370342,MOValley-TP5-Hybrids,23,10,Hybrids,28500.0,13.69,128.9,57.0,,,,,5.0,65.51,11.22,4.02,1.57,1.26,0.0,185.0,PHP02 X LH145
MOValley-TP5-Hybrids_23_11,938.975,923.5,187795,701.67,691.0,140334,523.46,525.0,104692,-0.0175682217085218,-0.0208310087117817,-3.513644341704364,-0.1392106419688878,-0.1449379447222444,-27.84212839377756,0.1392106419688878,0.1449379447222444,27.84212839377756,0.3306312761626519,0.3412553286903321,66.12625523253038,0.4480044385265394,0.4643715723119858,89.60088770530788,0.4958546460320929,0.5118058879761428,99.1709292064186,0.1046127363765612,0.1201438835524819,20.92254727531225,1506.075,1473.5,301215,421.39,420.5,84278,1926.1,1869.0,385220,MOValley-TP5-Hybrids,23,11,Hybrids,25500.0,16.09,150.82,51.0,,,,,5.61,70.05,9.34,3.86,0.8,1.18,0.0,209.0,LH82 X W606S
MOValley-TP5-Hybrids_23_12,829.960396039604,832.0,167652,624.0742574257425,626.5,126063,470.1089108910891,466.5,94962,-0.0146324578136637,-0.0196075871399156,-2.955756478360084,-0.1309185701064126,-0.140679095188081,-26.445551161495352,0.1309185701064126,0.140679095188081,26.445551161495352,0.3813478656765501,0.4014923691556441,77.03226886666312,0.4856795891473466,0.5136131691258927,98.107277007764,0.5719059526686824,0.6021323197787636,115.52500243907384,0.1115156212815758,0.1445526306325745,22.52615549887832,1457.3712871287128,1452.0,294389,395.490099009901,394.5,79889,1938.237623762376,1946.0,391524,MOValley-TP5-Hybrids,23,12,Hybrids,30000.0,20.83,195.47,60.0,,,,,5.35,69.21,8.28,4.02,0.97,1.18,0.0,201.0,PIONEER 1311 AMXT
MOValley-TP5-Hybrids_23_13,751.9019607843137,728.0,153388,611.3725490196078,595.0,124720,454.3235294117647,436.5,92682,0.0152889682253718,0.0081845321339018,3.11894951797586,-0.0870300561175042,-0.1019332529151588,-17.754131447970867,0.0870300561175042,0.1019332529151588,17.754131447970867,0.4397208858582145,0.4425658200665646,89.70306071507576,0.5057649429698061,0.5299309326176954,103.17604836584046,0.659435617400814,0.6637257786227423,134.52486594976605,0.131555725160549,0.1536223436311364,26.83736793275201,1435.828431372549,1387.0,292909,386.6813725490196,379.5,78883,1968.4166666666667,1861.0,401557,MOValley-TP5-Hybrids,23,13,Hybrids,29000.0,17.79,166.76,58.0,,,,,5.41,68.16,9.08,3.86,1.4,1.12,3.45,216.0,B73 X PHM49
MOValley-TP5-Hybrids_23_14,768.54,730.5,153708,598.545,570.5,119709,463.925,445.0,92785,-0.0104922710225992,-0.0151542721518987,-2.0984542045198404,-0.1153768302133841,-0.1245426048730533,-23.07536604267682,0.1153768302133841,0.1245426048730533,23.07536604267682,0.405024490971925,0.4072441428959643,81.004898194385,0.4965177731546196,0.5037592783555163,99.30355463092393,0.6074047924300675,0.61063444865254,121.4809584860135,0.1354736592449049,0.146097328466135,27.094731848981,1359.24,1296.0,271848,391.875,383.5,78375,1844.515,1745.5,368903,MOValley-TP5-Hybrids,23,14,Hybrids,24000.0,13.93,130.72,48.0,,,,,5.39,70.73,10.27,3.95,1.64,1.33,8.33,213.0,PHN46 X PHK56
MOValley-TP5-Hybrids_23_15,755.4623115577889,754.0,150337,594.9095477386935,598.0,118387,440.8693467336684,446.0,87733,0.0033595917490885,-0.0031948881789137,0.6685587580686289,-0.1081872020787728,-0.117692907248636,-21.5292532136758,0.1081872020787728,0.117692907248636,21.5292532136758,0.4408398773000965,0.4493132766514061,87.72713558271921,0.5232966801938029,0.537951607557176,104.13603935856678,0.6611203437096015,0.6738964577656675,131.5629483982107,0.145326091000052,0.1617250673854447,28.919892109010355,1420.8693467336684,1422.0,282753,388.5025125628141,389.0,77312,1971.56783919598,1971.0,392342,MOValley-TP5-Hybrids,23,15,Hybrids,,,,,,,,,5.24,68.68,8.52,4.18,0.91,1.18,,185.0,PHB47 X PHJ89
MOValley-TP5-Hybrids_23_16,789.0147783251232,793.0,160170,622.9014778325123,622.0,126449,471.1625615763547,470.0,95646,-0.0012617433258177,-0.0069204152249134,-0.2561338951410021,-0.10847409594676,-0.1191515907673112,-22.02024147719228,0.10847409594676,0.1191515907673112,22.02024147719228,0.4256678431688885,0.4316101904526341,86.41057216328437,0.5099898213411312,0.521954944635357,103.52793373224964,0.6383720205159441,0.6473352293804872,129.58952016473663,0.1331338716801096,0.1492537313432835,27.02617595106225,1469.92118226601,1473.0,298394,414.32512315270935,415.0,84108,1977.729064039409,1993.0,401479,MOValley-TP5-Hybrids,23,16,Hybrids,22500.0,15.61,146.49,45.0,,,,,5.15,67.28,8.66,3.74,1.39,1.26,17.78,197.0,PHK56 X 3IIH6
MOValley-TP5-Hybrids_23_17,838.4754901960785,826.5,171049,683.4558823529412,680.5,139425,486.4313725490196,483.5,99232,0.0222884389396971,0.0159202063146648,4.546841543698215,-0.090793127483727,-0.1033934701677669,-18.52179800668032,0.090793127483727,0.1033934701677669,18.52179800668032,0.452686209636444,0.4532309123377795,92.3479867658346,0.5214070309259939,0.5332868121481296,106.36703430890276,0.6789031848348711,0.6797482204717913,138.4962497063137,0.1397031279901973,0.1571269965666517,28.49943811000026,1641.514705882353,1632.0,334869,407.6078431372549,406.0,83152,2246.210784313725,2252.0,458227,MOValley-TP5-Hybrids,23,17,Hybrids,30500.0,19.63,182.77,61.0,,,,,4.78,71.57,8.44,4.36,0.41,0.98,3.28,193.0,PHW52 X PHN82
MOValley-TP5-Hybrids_23_18,802.12,805.0,160424,641.335,651.5,128267,472.45,488.0,94490,0.0098123848986249,0.0042729814367807,1.9624769797249908,-0.0992452093963205,-0.1062115779534214,-19.84904187926412,0.0992452093963205,0.1062115779534214,19.84904187926412,0.4087199601854471,0.4181223822658085,81.74399203708943,0.4866161572290872,0.5096673230552486,97.32323144581744,0.6129588012130498,0.6270594666245516,122.59176024260996,0.115538994641113,0.1467320257606436,23.107798928222607,1484.66,1462.5,296932,402.67,408.0,80534,1981.575,1991.0,396315,MOValley-TP5-Hybrids,23,18,Hybrids,29500.0,21.34,200.71,59.0,,,,,5.51,68.72,8.09,4.38,0.5,1.16,5.08,186.0,LH82 X PHJ89
MOValley-TP5-Hybrids_23_19,762.145,775.0,152429,631.205,642.5,126241,458.735,463.0,91747,0.0276488136639376,0.0192555826358643,5.52976273278754,-0.0740753574928887,-0.0911531217545897,-14.815071498577746,0.0740753574928887,0.0911531217545897,14.815071498577746,0.4421786656414309,0.4515761898574398,88.43573312828617,0.498215460886456,0.5206848766505432,99.6430921772912,0.66314277775786,0.6771525218371781,132.628555551572,0.1221433380965744,0.1484178354377357,24.428667619314886,1485.75,1529.5,297150,389.255,396.0,77851,2010.665,2054.0,402133,MOValley-TP5-Hybrids,23,19,Hybrids,32000.0,19.85,188.37,64.0,,,,,5.24,68.6,8.5,3.66,1.09,0.97,0.0,194.0,LH74 X PHM49
