file_,Green_mean,Red_mean,NGRDI_mean,location,Green_mean_sat,Red_mean_sat,NGRDI_mean_sat
Crawfordsville-TP1-4351_10_13,117.13103414275258,77.7285759252447,-0.2065312286773874,Crawfordsville,514.6066350710901,325.6255924170616,-0.2356945335240327
Crawfordsville-TP1-4351_10_14,101.97115019707894,64.39805438552325,-0.2266759635349682,Crawfordsville,464.01,298.735,-0.2326408143028857
Crawfordsville-TP1-4351_10_15,128.18982139022526,95.1007952862993,-0.1458468152486287,Crawfordsville,519.69,360.175,-0.1938910136418493
Crawfordsville-TP1-4351_10_16,114.5086801373163,78.05592402433149,-0.1892822980870998,Crawfordsville,496.3457943925234,321.89252336448595,-0.2371958558701706
Crawfordsville-TP1-4351_10_17,109.85841254212896,73.83759609194531,-0.193638260185766,Crawfordsville,464.5673076923077,295.47115384615387,-0.2445324662801283
Crawfordsville-TP1-4351_10_18,149.17521233685625,115.54556705543207,-0.1215393244720759,Crawfordsville,598.5952380952381,418.4857142857143,-0.1985483049631634
Crawfordsville-TP1-4351_10_19,103.4136022277237,64.93577584095439,-0.2271088785573625,Crawfordsville,463.83809523809526,298.37619047619046,-0.2421133680692306
Crawfordsville-TP1-4351_10_20,119.7346562957305,80.01864953470697,-0.2023251465801384,Crawfordsville,521.9041095890411,342.00456621004565,-0.2259670782670816
Crawfordsville-TP1-4351_11_13,132.8606689804871,94.79753437467926,-0.1645413064161068,Crawfordsville,533.2511848341233,342.7535545023697,-0.2326039963061505
Crawfordsville-TP1-4351_11_14,131.9627121591936,94.40599584850445,-0.1631132987604413,Crawfordsville,546.311004784689,360.2631578947368,-0.2300085376431275
Crawfordsville-TP1-4351_11_15,129.75661267250243,90.46454332623784,-0.1730714363003054,Crawfordsville,534.8106796116505,347.93689320388347,-0.2315063181670573
Crawfordsville-TP1-4351_11_16,124.33259410100156,86.85715688978387,-0.1748987567752763,Crawfordsville,510.35238095238094,332.3666666666667,-0.2384114062515207
Crawfordsville-TP1-4351_11_17,117.10010323027888,85.28836285819777,-0.1535506231742147,Crawfordsville,486.25550660792953,322.00881057268725,-0.2197474569000464
Crawfordsville-TP1-4351_11_18,135.4608658820682,96.65709617886424,-0.1660125398056892,Crawfordsville,537.019801980198,347.46039603960395,-0.2353216347615528
Crawfordsville-TP1-4351_11_19,124.48417498786164,86.58283243064207,-0.1768974429185455,Crawfordsville,519.615,340.56,-0.2276750954370555
Crawfordsville-TP1-4351_11_20,129.7075650876961,91.9777937206185,-0.1730274468116684,Crawfordsville,549.83,362.375,-0.226230186800788
Crawfordsville-TP1-4351_12_13,114.2008510120503,74.27305394686309,-0.2130946230908607,Crawfordsville,472.747619047619,299.01428571428573,-0.2595781916122953
Crawfordsville-TP1-4351_12_14,113.9183037753873,76.5713638440307,-0.1913097530784996,Crawfordsville,512.84375,337.97767857142856,-0.2275341404945244
Crawfordsville-TP1-4351_12_15,135.3165085944716,97.209083331456,-0.1573120417715427,Crawfordsville,560.8056872037914,374.521327014218,-0.211565810074686
Crawfordsville-TP1-4351_12_16,128.5964652356072,93.69552040628786,-0.1486166195306398,Crawfordsville,546.615,364.085,-0.2150989201509749
Crawfordsville-TP1-4351_12_17,118.0392578670471,80.23956658590158,-0.1857920900561662,Crawfordsville,491.415,316.51,-0.236259115429245
Crawfordsville-TP1-4351_12_18,102.72102364142263,64.35807385815147,-0.2263969182343136,Crawfordsville,457.9727272727273,295.8954545454545,-0.2294226313111074
Crawfordsville-TP1-4351_12_19,131.34991572103664,92.80777623935224,-0.1713601973497792,Crawfordsville,551.07,349.74,-0.2455090043264734
Crawfordsville-TP1-4351_12_20,132.95425809271202,88.18483633733197,-0.2105928980788221,Crawfordsville,600.24,381.145,-0.240715498357851
Crawfordsville-TP1-4351_13_13,132.88227201928214,94.54395140049492,-0.1691938481594062,Crawfordsville,534.3830845771145,346.8407960199005,-0.2359562261947533
Crawfordsville-TP1-4351_13_14,120.42228727953672,80.0084963847977,-0.1995109366754191,Crawfordsville,546.18,364.84,-0.2149376914481881
Crawfordsville-TP1-4351_13_15,129.85650288743727,90.21517750639023,-0.1757797342131483,Crawfordsville,523.4816513761468,341.91743119266056,-0.2299199057025003
Crawfordsville-TP1-4351_13_16,119.79713438135413,83.8852842098874,-0.1755685686617739,Crawfordsville,493.019801980198,327.8217821782178,-0.2181575807796421
Crawfordsville-TP1-4351_13_17,115.43403593602795,76.43938963992085,-0.2024918051673045,Crawfordsville,505.235,332.37,-0.2168513348667514
Crawfordsville-TP1-4351_13_18,114.22410617919438,75.36427207475111,-0.1986661018898928,Crawfordsville,480.6116504854369,310.97087378640776,-0.2358082078891898
Crawfordsville-TP1-4351_13_19,135.22611359496605,94.76808321666742,-0.1774878213225439,Crawfordsville,549.5594713656387,354.61233480176213,-0.2394127153906936
Crawfordsville-TP1-4351_13_20,125.62187220563496,82.21240584410664,-0.2125352926722445,Crawfordsville,571.7857142857143,373.5523809523809,-0.2297164756588399
Crawfordsville-TP1-4351_14_13,133.60124325875796,102.387759264015,-0.1283319446341615,Crawfordsville,573.175355450237,408.4123222748815,-0.1853300902243693
Crawfordsville-TP1-4351_14_14,123.49108953434902,86.6775383896331,-0.1718264071099813,Crawfordsville,521.365,347.56,-0.2173810276415831
Crawfordsville-TP1-4351_14_15,121.8479003475985,85.81813511719731,-0.1656266758145562,Crawfordsville,493.785,324.85,-0.2182367995584193
Crawfordsville-TP1-4351_14_16,125.75534329844038,87.73521825696099,-0.1774302105285185,Crawfordsville,522.1666666666666,338.6535087719298,-0.2450540565913319
Crawfordsville-TP1-4351_14_17,128.73046310378794,87.73569382540863,-0.1890739333756705,Crawfordsville,547.7761904761904,350.5190476190476,-0.2362149730701715
Crawfordsville-TP1-4351_14_18,124.07758468313634,88.63934592689816,-0.1595704263162879,Crawfordsville,539.5240384615385,355.5432692307692,-0.2302255731593895
Crawfordsville-TP1-4351_14_19,114.07438684619171,81.20097307499972,-0.1618884238232123,Crawfordsville,488.4245283018868,326.1132075471698,-0.2186874396813708
Crawfordsville-TP1-4351_14_20,118.71881739891106,79.72115892191907,-0.1960975092935889,Crawfordsville,506.8076923076923,327.94711538461536,-0.232531257441051
Crawfordsville-TP1-4351_15_13,132.58153152135438,95.06306906757642,-0.1609838250536118,Crawfordsville,543.6883720930233,373.0837209302326,-0.2060440895706037
Crawfordsville-TP1-4351_15_14,132.62234002641216,94.83576445164776,-0.162164158845726,Crawfordsville,552.5412844036697,359.7798165137615,-0.2326485960382374
Crawfordsville-TP1-4351_15_15,138.24824221933312,101.07681927930044,-0.1507645448305524,Crawfordsville,559.6809523809524,371.5952380952381,-0.2200171289630878
Crawfordsville-TP1-4351_15_16,110.2897850742433,74.98906286020944,-0.1836026597299901,Crawfordsville,481.990291262136,318.5339805825243,-0.2397981300975804
Crawfordsville-TP1-4351_15_17,122.6348782285034,86.29285997694939,-0.1736120198107333,Crawfordsville,517.5437788018434,340.3041474654378,-0.2223137882214613
