file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Scottsbluff-TP6-n150_10_10,0.11116909277797522,0.07172050098879368,17.787054844476035,-0.11116909277797522,-0.07172050098879368,-17.787054844476035,66.31875,65.5,10611,76.9875,78.0,12318,61.44375,60.0,9831,0.1119879624937922,0.093696312937756,17.918073999006754,Scottsbluff-TP6-n150,10,10,,,,,,,,,,,,,,,,,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_10_11,0.10736313084738446,0.08667051868971953,16.963374673886744,-0.10736313084738446,-0.08667051868971953,-16.963374673886744,64.42405063291139,65.5,10179,76.71518987341773,79.0,12121,61.64556962025316,62.5,9740,0.1076535948535897,0.096777522639903,17.009267986867187,Scottsbluff-TP6-n150,10,11,,15.6,109.78,,66.0,1221.26,70.0,1309.51,9.45,67.97,10.59,4.05,1.07,1.3,,150.0,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_10_12,0.10283919220213325,0.07784431137724551,16.14575317573492,-0.10283919220213325,-0.07784431137724551,-16.14575317573492,67.90445859872611,71.0,10661,80.23566878980891,84.0,12597,65.44585987261146,67.0,10275,0.1014288830555678,0.0909090909090909,15.924334639724158,Scottsbluff-TP6-n150,10,12,,22.63,150.17,,70.0,1309.51,76.0,1437.65,9.61,72.19,8.32,3.86,0.85,1.18,,180.0,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_10_13,0.10320497733321092,0.08472186618815689,16.512796373313748,-0.10320497733321092,-0.08472186618815689,-16.512796373313748,71.375,73.0,11420,84.7625,88.0,13562,65.9375,67.0,10550,0.1119851159743337,0.1027568922305764,17.917618555893398,Scottsbluff-TP6-n150,10,13,,24.61,165.53,,71.0,1328.45,77.0,1459.11,8.34,72.6,7.46,3.3,1.25,1.17,,183.0,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_10_14,0.10092527466924585,0.06748466257668712,15.845268123071598,-0.10092527466924585,-0.06748466257668712,-15.845268123071598,70.30573248407643,73.0,11038,81.43949044585987,84.0,12786,66.47770700636943,69.0,10437,0.1010381943327383,0.0875,15.862996510239917,Scottsbluff-TP6-n150,10,14,,21.31,140.02,,74.0,1393.15,76.0,1437.65,8.43,70.42,7.72,3.62,1.34,1.21,,168.0,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_10_15,0.0955604693266208,0.08445263283014381,15.098554153606086,-0.0955604693266208,-0.08445263283014381,-15.098554153606086,70.32911392405063,75.0,11112,82.94303797468355,88.0,13105,65.22784810126582,69.0,10306,0.1045986371783051,0.1032801347341406,16.526584674172206,Scottsbluff-TP6-n150,10,15,,23.19,156.55,,78.0,1483.45,82.0,1573.4,8.11,71.84,8.88,3.84,1.52,1.24,,203.0,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_10_16,0.0913161639349052,0.07226056158031183,14.427953901715021,-0.0913161639349052,-0.07226056158031183,-14.427953901715021,68.59493670886076,72.0,10838,79.64556962025317,83.0,12584,64.37341772151899,67.0,10171,0.0992912517787683,0.0874308075995052,15.688017781045398,Scottsbluff-TP6-n150,10,16,,29.62,200.92,,68.0,1263.61,72.0,1350.26,9.0,72.07,8.21,3.44,1.52,1.3,,180.0,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_11_10,0.10120610564434393,0.08280254777070063,15.990564691806341,-0.10120610564434393,-0.08280254777070063,-15.990564691806341,68.54430379746836,73.0,10830,81.38607594936708,85.0,12859,62.00632911392405,65.0,9797,0.1139201798925872,0.1093334943250422,17.99938842302879,Scottsbluff-TP6-n150,11,10,,,,,,,,,,,,,,,,,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_11_11,0.10226134124003453,0.08893280632411067,15.952769233445386,-0.10226134124003453,-0.08893280632411067,-15.952769233445386,71.49358974358974,74.0,11153,85.85897435897436,88.0,13394,66.85897435897436,69.0,10430,0.1123061753024955,0.1111111111111111,17.519763347189297,Scottsbluff-TP6-n150,11,11,,21.5,140.56,,84.0,1622.26,88.0,1717.51,11.07,72.73,6.81,4.17,1.06,1.27,,216.0,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_11_12,0.07501357607561,0.056179775280898875,11.927158596021991,-0.07501357607561,-0.056179775280898875,-11.927158596021991,77.56603773584905,82.0,12333,87.55345911949685,91.0,13921,68.83018867924528,72.0,10944,0.0967862335569462,0.0899182561307901,15.389011135554457,Scottsbluff-TP6-n150,11,12,,23.53,166.16,,69.0,1286.36,76.0,1437.65,8.9,70.97,7.49,3.41,1.31,1.3,,175.0,Scottsbluff,TP6,n150
Scottsbluff-TP6-n150_11_13,0.11381494765993753,0.10000346032734697,18.210391625590006,-0.11381494765993753,-0.10000346032734697,-18.210391625590006,65.725,68.0,10516,79.99375,82.0,12799,60.33125,62.0,9653,0.1270397031011655,0.1197647733792312,20.326352496186484,Scottsbluff-TP6-n150,11,13,,23.93,165.46,,67.0,1240.4,72.0,1350.26,8.39,71.39,7.84,3.69,1.59,1.31,,170.0,Scottsbluff,TP6,n150
