file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp,genotype
Scottsbluff-TP2-n150_11_14,-0.0125585691733835,-0.0142192870139497,-2.0093710677413754,0.0125585691733835,0.0142192870139497,2.0093710677413754,109.025,110.0,17444,106.15,105.5,16984,87.34375,87.5,13975,0.0398159866187345,0.0384675645720055,6.3705578589975245,Scottsbluff-TP2-n150,11,14,,22.94,156.92,,84.0,1622.26,88.0,1717.51,7.67,73.46,6.91,3.72,0.87,1.14,,193.0,Scottsbluff,TP2,n150,HOEGEMEYER 7089 AMXT
Scottsbluff-TP2-n150_11_15,-0.0007815671284682,-0.0044056283357593,-0.125050740554922,0.0007815671284682,0.0044056283357593,0.125050740554922,104.75,103.0,16760,104.31875,102.5,16691,86.375,85.0,13820,0.0447986300972207,0.0448155003347379,7.167780815555322,Scottsbluff-TP2-n150,11,15,,26.71,180.53,,76.0,1437.65,80.0,1530.76,8.44,67.76,8.04,3.74,1.68,1.39,,178.0,Scottsbluff,TP2,n150,PHK56 X W606S
Scottsbluff-TP2-n150_11_16,-0.001934206288084,-0.0042735823212492,-0.3094730060934471,0.001934206288084,0.0042735823212492,0.3094730060934471,108.35,108.0,17336,107.76875,108.0,17243,88.49375,88.0,14159,0.0460394227691738,0.0451547133605181,7.366307643067818,Scottsbluff-TP2-n150,11,16,,20.11,140.86,,70.0,1309.51,73.0,1371.7,8.26,72.87,8.53,3.52,1.41,1.29,,173.0,Scottsbluff,TP2,n150,PHT69 X 3IIH6
Scottsbluff-TP2-n150_12_10,-0.0011729407433435,0.0,-0.1876705189349659,0.0011729407433435,0.0,0.1876705189349659,114.2,114.0,18272,113.775,113.5,18204,92.9125,93.0,14866,0.047759250834347,0.0473815461346633,7.64148013349553,Scottsbluff-TP2-n150,12,10,,,,,,,,,,,,,,,,,Scottsbluff,TP2,n150,LH123HT X 3IIH6
Scottsbluff-TP2-n150_12_11,9.39618651947932e-05,0.0,0.0150338984311669,-9.39618651947932e-05,0.0,-0.0150338984311669,114.56875,114.0,18331,114.48125,114.0,18317,94.1375,94.0,15062,0.0467308185637041,0.0446317734345679,7.4769309701926625,Scottsbluff-TP2-n150,12,11,,21.16,142.5,,78.0,1483.45,82.0,1573.4,10.21,70.86,7.8,3.57,1.8,1.41,,147.0,Scottsbluff,TP2,n150,PHN46 X PHK56
Scottsbluff-TP2-n150_12_12,0.0127862584464685,0.0136986301369863,2.045801351434968,-0.0127862584464685,-0.0136986301369863,-2.045801351434968,109.7375,108.0,17558,112.2875,112.0,17966,90.125,88.5,14420,0.059405589819562,0.0617335222553378,9.504894371129929,Scottsbluff-TP2-n150,12,12,,26.73,179.79,,78.0,1483.45,82.0,1573.4,10.06,71.26,7.75,3.42,1.72,1.38,,190.0,Scottsbluff,TP2,n150,PHK56 X LH198
Scottsbluff-TP2-n150_12_13,0.0007278645350402,0.0,0.1164583256064466,-0.0007278645350402,0.0,-0.1164583256064466,107.05625,106.0,17129,107.05625,107.0,17129,87.89375,87.0,14063,0.047564307498702,0.0489313977519028,7.610289199792329,Scottsbluff-TP2-n150,12,13,,23.36,158.27,,70.0,1309.51,75.0,1414.31,8.52,71.92,7.75,3.65,1.33,1.29,,170.0,Scottsbluff,TP2,n150,PHP02 X PHN46
Scottsbluff-TP2-n150_12_14,0.0071888621224704,0.0088495575221238,1.1502179395952752,-0.0071888621224704,-0.0088495575221238,-1.1502179395952752,107.26875,107.0,17163,108.7,108.0,17392,87.64375,87.0,14023,0.0550846657836871,0.056768558951965,8.813546525389947,Scottsbluff-TP2-n150,12,14,,29.74,192.0,,70.0,1309.51,73.0,1371.7,7.95,70.63,8.03,3.54,1.54,1.0,,183.0,Scottsbluff,TP2,n150,LH123HT X PHB47
Scottsbluff-TP2-n150_12_15,0.0019205174917453,0.0,0.3072827986792568,-0.0019205174917453,0.0,-0.3072827986792568,105.35,106.0,16856,105.58125,106.0,16893,86.1875,86.5,13790,0.0495438305835096,0.0486337936161106,7.927012893361539,Scottsbluff-TP2-n150,12,15,,25.17,167.24,,70.0,1309.51,74.0,1393.15,8.09,70.27,8.88,4.07,1.57,1.37,,168.0,Scottsbluff,TP2,n150,PHP02 X PHK56
Scottsbluff-TP2-n150_12_16,0.00318065626687,0.0,0.5089050026992011,-0.00318065626687,0.0,-0.5089050026992011,105.4125,104.0,16866,105.90625,105.0,16945,86.69375,86.0,13871,0.0495939100279568,0.0471204188481675,7.9350256044731,Scottsbluff-TP2-n150,12,16,,24.7,164.11,,69.0,1286.36,75.0,1414.31,9.01,70.28,7.8,3.92,1.61,1.14,,185.0,Scottsbluff,TP2,n150,PHB47 X LH185
