file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum
Lincoln-TP1-hybrids_10_10,106.6006596590734,102.0,20749392,130.86928064280798,130.0,25473182,93.37965845689097,88.0,18175977,0.14958156926151656,0.14285714285714285,29115.454130477152,-0.11602604522409615,-0.1111111111111111,-22584.00559868942,0.11602604522409615,0.1111111111111111,22584.00559868942
Lincoln-TP1-hybrids_10_11,108.38968865598027,106.0,21096969,135.6346948212084,136.0,26399937,96.60673037402384,93.0,18803534,0.1517676638816132,0.1447811447811448,29540.05809791719,-0.12144892327172448,-0.11864406779661017,-23638.818425608453,0.12144892327172448,0.11864406779661017,23638.818425608453
Lincoln-TP1-hybrids_10_12,89.95819867957972,87.0,17509014,127.07158527500192,127.0,24732578,81.47771983456212,76.0,15858416,0.21465282928143065,0.21003134796238246,41778.953427191256,-0.18770154420615995,-0.18495297805642633,-36533.290056565944,0.18770154420615995,0.18495297805642633,36533.290056565944
Lincoln-TP1-hybrids_10_13,89.47067649854834,87.0,17411441,124.75130649263893,126.0,24277228,76.32666683795381,72.0,14853551,0.21452552467333563,0.21465968586387435,41747.73972905448,-0.17475465318955663,-0.17757009345794392,-34008.12928395367,0.17475465318955663,0.17757009345794392,34008.12928395367
Lincoln-TP1-hybrids_10_14,97.6907741829326,85.0,18998511,121.36666221024703,114.0,23602903,84.34982208601575,72.0,16404016,0.17117631876298986,0.17263843648208468,33289.685767751216,-0.13322541592683576,-0.13656387665198239,-25909.14598778731,0.13322541592683576,0.13656387665198239,25909.14598778731
Lincoln-TP1-hybrids_10_15,96.84827380615847,92.0,18842897,126.4444724276705,125.0,24601163,83.53419750104081,79.0,16252497,0.1828479921186031,0.18087318087318088,35575.08819458754,-0.1457863271824561,-0.14685314685314685,-28364.33360294584,0.1457863271824561,0.14685314685314685,28364.33360294584
Lincoln-TP1-hybrids_10_16,107.47696293098132,104.0,20910288,131.24741976603138,132.0,25534973,95.46492012582496,92.0,18573273,0.1421533917582973,0.13800424628450106,27656.79528692729,-0.11261020690911977,-0.1111111111111111,-21908.991415410706,0.11261020690911977,0.1111111111111111,21908.991415410706
Lincoln-TP1-hybrids_10_17,107.15729274298434,103.0,20845201,133.4590009715775,134.0,25961646,91.5855939217289,87.0,17816054,0.16037304026840274,0.15918367346938775,31197.207150372116,-0.12095817483307957,-0.12280701754385964,-23529.872792104135,0.12095817483307957,0.12280701754385964,23529.872792104135
Lincoln-TP1-hybrids_10_18,103.18751285214888,99.0,20072035,129.816353074234,130.0,25251877,89.42398725066832,85.0,17394754,0.16201332649639502,0.16071428571428573,31514.83227007876,-0.12611600396291636,-0.12849162011173185,-24532.08509086649,0.12611600396291636,0.12849162011173185,24532.08509086649
Lincoln-TP1-hybrids_10_19,94.29634904394412,87.0,18340357,115.48870162521787,113.0,22462206,81.14923109353872,74.0,15783282,0.15703747821790778,0.15384615384615385,30543.31840094841,-0.12059895823923206,-0.12030075187969924,-23456.13558065592,0.12059895823923206,0.12030075187969924,23456.13558065592
Lincoln-TP1-hybrids_10_2,74.24604376369861,70.0,14464540,106.92312351464693,104.0,20830656,65.30397959131297,60.0,12722456,0.23145494409134879,0.22580645161290322,45091.82075293248,-0.199421377303418,-0.1951219512195122,-38851.07330487459,0.199421377303418,0.1951219512195122,38851.07330487459
Lincoln-TP1-hybrids_10_20,100.31433963428431,97.0,19507929,126.84402575230887,128.0,24667104,84.79824444124483,81.0,16490545,0.16983758283436487,0.16666666666666666,33027.97505863327,-0.1282100223040476,-0.12871287128712872,-24932.74661742353,0.1282100223040476,0.12871287128712872,24932.74661742353
Lincoln-TP1-hybrids_10_21,93.28303604025155,89.0,18141405,119.50068131449991,119.0,23240134,79.33001845976645,75.0,15427864,0.17664864188428106,0.17551020408163265,34354.09792772933,-0.1364217118846878,-0.1391304347826087,-26530.88526219843,0.1364217118846878,0.1391304347826087,26530.88526219843
Lincoln-TP1-hybrids_10_22,105.15793426264081,102.0,20443754,131.89927987243453,135.0,25642539,89.16386502751917,85.0,17334347,0.16994435513347086,0.16252390057361377,33038.88208149807,-0.12777619286597972,-0.125,-24840.969655075114,0.12777619286597972,0.125,24840.969655075114
Lincoln-TP1-hybrids_10_23,121.95196198192905,120.0,23660266,141.11328106879435,144.0,27377811,103.2060325854453,100.0,20023312,0.12972524868829824,0.12293577981651377,25168.38467376281,-0.08699223190498079,-0.07903780068728522,-16877.623888581038,0.08699223190498079,0.07903780068728522,16877.623888581038
Lincoln-TP1-hybrids_10_24,104.56183029398905,98.0,20326297,131.48360811749274,134.0,25559756,87.21597263304098,81.0,16954349,0.18187911560265577,0.17894736842105263,35356.39067757827,-0.13704155334774182,-0.13901345291479822,-26640.192763034273,0.13704155334774182,0.13901345291479822,26640.192763034273
Lincoln-TP1-hybrids_10_25,124.6962201823533,124.0,24234461,148.79043777142033,154.0,28917124,106.51077963241197,105.0,20700157,0.14313185609235846,0.13677811550151975,27817.389967837684,-0.10378155310855285,-0.10062893081761007,-20169.737283541028,0.10378155310855285,0.10062893081761007,20169.737283541028
Lincoln-TP1-hybrids_10_26,117.2910407062891,115.0,22797625,143.0799359976951,148.0,27810161,101.62575115245308,100.0,19752794,0.15135215560907694,0.14814814814814814,29418.015781425067,-0.11562615871981892,-0.11560693641618497,-22474.025218053765,0.11562615871981892,0.11560693641618497,22474.025218053765
Lincoln-TP1-hybrids_10_27,115.99969126591267,111.0,22543612,142.60558705786707,145.0,27714255,96.60994020849841,91.0,18775369,0.1739447900367661,0.16731517509727625,33804.7783853252,-0.12746172786979362,-0.12554112554112554,-24771.16711767143,0.12746172786979362,0.12554112554112554,24771.16711767143
Lincoln-TP1-hybrids_10_28,85.39481619463197,79.0,16595287,115.94564054009551,116.0,22532412,72.25826403754323,66.0,14042382,0.21374177973109718,0.21495327102803738,41537.7225058225,-0.17316402441680648,-0.1774193548387097,-33652.0038490645,0.17316402441680648,0.1774193548387097,33652.0038490645
Lincoln-TP1-hybrids_10_29,96.572129983222,94.0,18764158,128.52766826898335,131.0,24973183,84.6972187625449,81.0,16456839,0.19182582054699315,0.18566775244299674,37272.140583921864,-0.15800532278286059,-0.155893536121673,-30700.75022735538,0.15800532278286059,0.155893536121673,30700.75022735538
Lincoln-TP1-hybrids_10_3,95.30213098006602,90.0,18564188,125.9038723157403,125.0,24525193,85.53917748584395,79.0,16662433,0.1843380172091682,0.18007662835249041,35907.7553862255,-0.1556893549343896,-0.15555555555555556,-30327.196515734555,0.1556893549343896,0.15555555555555556,30327.196515734555
Lincoln-TP1-hybrids_10_30,88.6810477499318,87.0,17229220,121.80575243330605,124.0,23664787,76.42661993071962,73.0,14848393,0.20965741380690003,0.20517560073937152,40732.87132664596,-0.17162023137670665,-0.17117117117117117,-33342.8934125607,0.17162023137670665,0.17117117117117117,33342.8934125607
Lincoln-TP1-hybrids_10_31,95.03687594261683,91.0,18463099,124.70968688392108,124.0,24227725,84.12248742748606,80.0,16342728,0.18200704117691416,0.17525773195876287,35359.053910562645,-0.15035333013627952,-0.14942528735632185,-29209.592505565433,0.15035333013627952,0.14942528735632185,29209.592505565433
Lincoln-TP1-hybrids_10_32,121.37331272539927,121.0,23558560,143.79855229263265,150.0,27911299,105.46911901081917,104.0,20471556,0.13749879778756943,0.12835820895522387,26688.516650567228,-0.10183799564075056,-0.09433962264150944,-19766.754953869684,0.10183799564075056,0.09433962264150944,19766.754953869684
Lincoln-TP1-hybrids_10_33,107.32025413562481,103.0,20844491,133.8357282973016,134.0,25994512,93.02235013669572,89.0,18067452,0.1636794902646124,0.15418502202643172,31790.976355624873,-0.12658376999443335,-0.12244897959183673,-24585.985894708807,0.12658376999443335,0.12244897959183673,24585.985894708807
Lincoln-TP1-hybrids_10_34,126.85045561965305,127.0,24583872,146.15325435238026,153.0,28324793,110.91507311586052,110.0,21495563,0.11963370210860344,0.11545293072824156,23185.250736051563,-0.0847519571882242,-0.08029197080291971,-16425.098806992228,0.0847519571882242,0.08029197080291971,16425.098806992228
Lincoln-TP1-hybrids_10_35,102.59584723767149,101.0,19922472,130.1422825773493,132.0,25271549,89.37078235076011,86.0,17354376,0.16826404768917352,0.16326530612244897,32674.185836474473,-0.13261362333873788,-0.13274336283185842,-25751.443834409478,0.13261362333873788,0.13274336283185842,25751.443834409478
Lincoln-TP1-hybrids_10_36,142.12921588526507,154.0,27589697,156.9409634395751,173.0,30464909,125.97340779014718,135.0,24453580,0.09759928839300125,0.08108108108108109,18945.681064984223,-0.06858862293116681,-0.049868766404199474,-13314.217717529307,0.06858862293116681,0.049868766404199474,13314.217717529307
Lincoln-TP1-hybrids_10_37,139.51125874233998,144.0,27068951,152.87248166492293,160.0,29661389,118.54948022697872,121.0,23001800,0.09878209452647572,0.08695652173913043,19166.393454688507,-0.057685649119071834,-0.04411764705882353,-11192.573441626151,0.057685649119071834,0.04411764705882353,11192.573441626151
Lincoln-TP1-hybrids_10_38,97.53931033061683,94.0,18934526,129.19217296339414,131.0,25079043,83.72089201636085,79.0,16252067,0.20127633004032042,0.1952191235059761,39072.16374008708,-0.16267374324091122,-0.16167664670658682,-31578.552385412167,0.16267374324091122,0.16167664670658682,31578.552385412167
Lincoln-TP1-hybrids_10_39,113.62260700228738,113.0,22055057,131.77877779380552,136.0,25579315,97.79604137902611,97.0,18982994,0.12592124474104346,0.11904761904761904,24442.320974194463,-0.08840212013005977,-0.08361204013377926,-17159.558734205642,0.08840212013005977,0.08361204013377926,17159.558734205642
Lincoln-TP1-hybrids_10_4,131.6097445770761,130.0,25634288,147.8311847002952,149.0,28793819,114.45695289436529,111.0,22293353,0.1050586822969106,0.09749303621169916,20462.80484438076,-0.06970563777123152,-0.05993690851735016,-13576.91559689162,0.06970563777123152,0.05993690851735016,13576.91559689162
Lincoln-TP1-hybrids_10_5,103.38014818770442,99.0,20133594,130.4422781677304,130.0,25404025,89.81405164490405,85.0,17491556,0.1661906262579419,0.16216216216216217,32366.123035612956,-0.13075855941988757,-0.13015873015873017,-25465.621722701362,0.13075855941988757,0.13015873015873017,25465.621722701362
