file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Lincoln-TP2-hybrids_7_39,144.67114980803697,144.0,30107947,153.50233767232226,153.0,31945832,112.15907223479552,110.0,23341761,0.0967094976158452,0.0893854748603352,20126.503677326396,-0.0345902719982395,-0.0260869565217391,-7198.685276369635,0.0345902719982395,0.0260869565217391,7198.685276369635,Lincoln-TP2-hybrids,7,39,hybrids,,1.93,17.87,,56.0,1268.08,57.0,1295.5,3.81,64.81,14.14,5.07,0.64,1.33,,148.0,PHP02 X PHG47
Lincoln-TP2-hybrids_7_4,134.22103933511644,135.0,28052063,147.08821094837774,151.0,30741289,104.72386470748664,104.0,21887183,0.1108515810814158,0.1042944785276073,23167.86959443483,-0.0509498994615058,-0.0431893687707641,-10648.478037555264,0.0509498994615058,0.0431893687707641,10648.478037555264,Lincoln-TP2-hybrids,7,4,hybrids,,3.48,31.92,,57.0,1295.5,60.0,1370.73,5.49,69.59,11.21,3.98,1.83,1.33,,160.0,PHK56 X 3IIH6
Lincoln-TP2-hybrids_7_5,136.0113048183137,144.0,28405825,166.41213508324196,179.0,34755008,113.32154810413265,118.0,23667092,0.1606799108559366,0.1507537688442211,33557.83870235152,-0.1141512373995044,-0.1063829787234042,-23840.3717796491,0.1141512373995044,0.1063829787234042,23840.3717796491,Lincoln-TP2-hybrids,7,5,hybrids,,3.4,31.01,,60.0,1370.73,67.0,1550.01,5.35,67.64,11.47,4.45,1.1,0.98,,190.0,WF9 X H95
Lincoln-TP2-hybrids_7_6,138.20116216177408,140.0,28873125,156.43196710718405,160.0,32681923,115.0726829758617,115.0,24041100,0.111714389528054,0.1086142322097378,23339.48197459058,-0.0646601580941532,-0.0628930817610062,-13508.864889188597,0.0646601580941532,0.0628930817610062,13508.864889188597,Lincoln-TP2-hybrids,7,6,hybrids,,2.59,23.71,,60.0,1370.73,63.0,1451.51,4.74,66.85,10.52,3.61,1.36,1.05,,168.0,LH74 X PHM49
Lincoln-TP2-hybrids_7_7,146.0404509442543,149.0,30507120,160.51082601306877,166.0,33529909,120.3605447712966,121.0,25142716,0.1009921193534221,0.096551724137931,21096.74877233313,-0.0525470835661514,-0.047970479704797,-10976.823021551205,0.0525470835661514,0.047970479704797,10976.823021551205,Lincoln-TP2-hybrids,7,7,hybrids,,1.31,12.24,,,,,,4.86,66.84,14.63,4.6,1.5,1.13,,179.0,LH195 X LH123HT
Lincoln-TP2-hybrids_7_8,129.03151549419957,130.0,26927716,151.56028769807995,156.0,31629268,107.97423942575386,107.0,22533252,0.1303588447534583,0.1287128712871287,27204.717670443973,-0.0845062291543935,-0.0845771144278607,-17635.689468459535,0.0845062291543935,0.0845771144278607,17635.689468459535,Lincoln-TP2-hybrids,7,8,hybrids,,4.01,36.83,,61.0,1395.88,62.0,1422.27,5.35,66.26,10.32,4.01,1.72,1.07,,187.0,PHB47 X LH185
Lincoln-TP2-hybrids_7_9,158.13210229992916,164.0,33030001,167.0607298109883,176.0,34894977,125.33341791302016,129.0,26179143,0.0881631538576601,0.0801393728222996,18415.166925172627,-0.0305297417940576,-0.0207468879668049,-6376.930346975575,0.0305297417940576,0.0207468879668049,6376.930346975575,Lincoln-TP2-hybrids,7,9,hybrids,,1.43,13.33,,60.0,1370.73,63.0,1451.51,5.45,63.63,14.0,4.16,1.42,1.15,,181.0,LH123HT X 3IIH6
Lincoln-TP2-hybrids_8_11,96.67998754759454,95.0,20186298,127.48411599894634,128.0,26618046,82.03813788644364,79.0,17129153,0.1917975382094693,0.185929648241206,40046.36699044615,-0.1506049704609266,-0.1454545454545454,-31445.56480738918,0.1506049704609266,0.1454545454545454,31445.56480738918,Lincoln-TP2-hybrids,8,11,hybrids,,11.44,105.55,,60.0,1370.73,58.0,1320.57,5.51,69.17,10.51,3.82,2.46,1.65,,208.0,SYNGENTA NK0760-3111
Lincoln-TP2-hybrids_8_12,105.50424570998904,102.0,22029181,133.5074449590276,133.0,27876221,89.63090819400476,85.0,18714844,0.1741204167505864,0.1722054380664652,36356.16889710571,-0.1327473448668908,-0.1333333333333333,-27717.51286086193,0.1327473448668908,0.1333333333333333,27717.51286086193,Lincoln-TP2-hybrids,8,12,hybrids,,8.91,82.11,,62.0,1422.27,58.0,1320.57,5.34,71.06,9.76,3.86,2.2,1.48,,180.0,SYNGENTA NK0760-3111
Lincoln-TP2-hybrids_8_13,144.48785768342802,146.0,30165308,154.26147891978886,158.0,32205786,114.6737093699407,114.0,23940889,0.0933189031352541,0.0855745721271393,19482.56068315954,-0.0360794227196498,-0.0274725274725274,-7532.445398872178,0.0360794227196498,0.0274725274725274,7532.445398872178,Lincoln-TP2-hybrids,8,13,hybrids,,7.05,64.3,,56.0,1268.08,60.0,1370.73,4.6,67.24,10.42,4.48,1.88,1.61,,190.0,2369 X 3IIH6
