file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
MOValley-TP3-Hybrids_23_10,0.06695078920469527,0.04724162719112307,9.64091364547612,-0.06695078920469527,-0.04724162719112307,-9.64091364547612,103.49305555555556,106.5,14903,115.125,116.5,16578,95.99305555555556,97.0,13823,0.0795980027826542,0.0699155680639905,11.462112400702216,MOValley-TP3-Hybrids,10,23,28500.0,13.69,128.9,57.0,,,,,5.0,65.51,11.22,4.02,1.57,1.26,0.0,185.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_11,0.11996172099888902,0.10463342710910754,17.27448782384002,-0.11996172099888902,-0.10463342710910754,-17.27448782384002,77.1875,78.0,11115,96.22222222222224,97.5,13856,81.53472222222223,82.0,11741,0.1015847075990812,0.0927318295739348,14.628197894267698,MOValley-TP3-Hybrids,11,23,25500.0,16.09,150.82,51.0,,,,,5.61,70.05,9.34,3.86,0.8,1.18,0.0,209.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_12,0.16693807565159086,0.11906449326718639,24.039082893829082,-0.16693807565159086,-0.11906449326718639,-24.039082893829082,66.64788732394366,71.0,9464,87.04929577464789,89.0,12361,73.95774647887323,77.0,10502,0.1185376600741005,0.1002865329512893,16.83234773052228,MOValley-TP3-Hybrids,12,23,30000.0,20.83,195.47,60.0,,,,,5.35,69.21,8.28,4.02,0.97,1.18,0.0,201.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_13,0.14001619082635092,0.11906449326718639,20.16233147899453,-0.14001619082635092,-0.11906449326718639,-20.16233147899453,71.09027777777777,73.0,10237,90.97916666666669,93.0,13101,77.13888888888889,78.0,11108,0.1114024312164579,0.0980484414265091,16.04195009516995,MOValley-TP3-Hybrids,13,23,29000.0,17.79,166.76,58.0,,,,,5.41,68.16,9.08,3.86,1.4,1.12,3.45,216.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_14,0.11325642199090294,0.09411764705882353,16.308924766690023,-0.11325642199090294,-0.09411764705882353,-16.308924766690023,79.54545454545455,78.0,11375,96.04895104895104,95.0,13735,82.43356643356644,82.0,11788,0.0921992978184227,0.0843373493975903,13.184499588034456,MOValley-TP3-Hybrids,14,23,24000.0,13.93,130.72,48.0,,,,,5.39,70.73,10.27,3.95,1.64,1.33,8.33,213.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_15,0.17047124230198452,0.1388888888888889,24.54785889148577,-0.17047124230198452,-0.1388888888888889,-24.54785889148577,59.44444444444444,61.5,8560,79.85416666666667,82.0,11499,70.9375,73.0,10215,0.1108359561152043,0.0954052177552049,15.96037768058943,MOValley-TP3-Hybrids,15,23,,,,,,,,,5.24,68.68,8.52,4.18,0.91,1.18,,185.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_16,0.12507458630536827,0.10119470914521406,18.01074042797303,-0.12507458630536827,-0.10119470914521406,-18.01074042797303,78.51748251748252,80.0,11228,96.85314685314684,98.0,13850,84.05594405594405,86.0,12020,0.0947919719016485,0.0868347338935574,13.555251981935742,MOValley-TP3-Hybrids,16,23,22500.0,15.61,146.49,45.0,,,,,5.15,67.28,8.66,3.74,1.39,1.26,17.78,197.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_17,0.1589541914696443,0.12758985200845666,22.88940357162878,-0.1589541914696443,-0.12758985200845666,-22.88940357162878,70.64084507042253,72.0,10031,92.17605633802818,93.0,13089,78.78873239436619,81.0,11188,0.1123088917074305,0.1014600013456233,15.947862622455132,MOValley-TP3-Hybrids,17,23,30500.0,19.63,182.77,61.0,,,,,4.78,71.57,8.44,4.36,0.41,0.98,3.28,193.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_18,0.14193823999834163,0.10863354037267081,20.439106559761193,-0.14193823999834163,-0.10863354037267081,-20.439106559761193,76.16901408450704,78.0,10816,96.3169014084507,98.0,13677,80.51408450704226,81.0,11433,0.1108810346851063,0.0978953642991425,15.745106925285109,MOValley-TP3-Hybrids,18,23,29500.0,21.34,200.71,59.0,,,,,5.51,68.72,8.09,4.38,0.5,1.16,5.08,186.0,MOValley,TP3,Hybrids
MOValley-TP3-Hybrids_23_19,0.15906699403292118,0.13403880070546736,22.90564714074065,-0.15906699403292118,-0.13403880070546736,-22.90564714074065,72.15972222222223,75.5,10391,95.58333333333331,97.0,13764,81.43055555555556,83.0,11726,0.1189152159887558,0.105297157622739,17.123791102380846,MOValley-TP3-Hybrids,19,23,32000.0,19.85,188.37,64.0,,,,,5.24,68.6,8.5,3.66,1.09,0.97,0.0,194.0,MOValley,TP3,Hybrids
