time,location,model,image,r2,rep,Location,Date,Image
TP4,Scottsbluff,LR,Satellite,0.000147250407302331,1,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LASSO,Satellite,0.12589296834801,1,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,SVM,Satellite,0.103239890681639,1,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,GB,Satellite,0.0235405331200868,1,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,RF,Satellite,0.398365812964756,2,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,PSLR,Satellite,0.294248808998852,2,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LR,Satellite,0.0739786572406472,2,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LASSO,Satellite,,2,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,SVM,Satellite,0.337111242907551,2,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,GB,Satellite,0.393887289289679,2,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,RF,Satellite,0.0456451564554011,3,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,PSLR,Satellite,0.095356735006513,3,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LR,Satellite,0.0901653713402862,3,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LASSO,Satellite,,3,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,SVM,Satellite,0.0761505040881558,3,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,GB,Satellite,0.0202708210602057,3,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,RF,Satellite,0.228429889879938,4,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,PSLR,Satellite,0.262550847663813,4,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LR,Satellite,0.187059413581436,4,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LASSO,Satellite,,4,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,SVM,Satellite,0.241645658777132,4,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,GB,Satellite,0.212277144902844,4,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,RF,Satellite,0.12027558767137,5,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,PSLR,Satellite,0.125388713468941,5,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LR,Satellite,0.126482477384254,5,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LASSO,Satellite,,5,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,SVM,Satellite,0.18726897382037,5,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,GB,Satellite,0.0894105840040404,5,Scottsbluff,2022-08-18,Satellite
TP3,Scottsbluff,RF,Satellite,0.112460608350823,1,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,PSLR,Satellite,0.0465896667090356,1,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LR,Satellite,0.0507128090934326,1,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LASSO,Satellite,,1,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,SVM,Satellite,0.0714217825614614,1,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,GB,Satellite,0.0671035848692991,1,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,RF,Satellite,0.216754258825167,2,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,PSLR,Satellite,0.301571123068799,2,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LR,Satellite,0.00126721744574432,2,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LASSO,Satellite,,2,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,SVM,Satellite,0.261166544424685,2,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,GB,Satellite,0.184812404103593,2,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,RF,Satellite,0.121811738782133,3,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,PSLR,Satellite,0.0954359253705453,3,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LR,Satellite,0.0255164772947844,3,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LASSO,Satellite,,3,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,SVM,Satellite,0.0999754642695205,3,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,GB,Satellite,0.156473479577091,3,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,RF,Satellite,0.173172055757532,4,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,PSLR,Satellite,0.0804033513566426,4,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LR,Satellite,0.00108282680707479,4,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LASSO,Satellite,,4,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,SVM,Satellite,0.116016645680316,4,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,GB,Satellite,0.0933735408096381,4,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,RF,Satellite,0.187747651267465,5,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,PSLR,Satellite,0.133531419729688,5,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LR,Satellite,0.0355452028329826,5,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LASSO,Satellite,,5,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,SVM,Satellite,0.229587721618051,5,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,GB,Satellite,0.073496379705796,5,Scottsbluff,2022-08-07,Satellite
TP6,Scottsbluff,RF,Satellite,0.16234430721434,1,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,PSLR,Satellite,0.205499219969156,1,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LR,Satellite,0.0082411795473027,1,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LASSO,Satellite,,1,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,SVM,Satellite,0.15640155549882,1,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,GB,Satellite,0.105962891618625,1,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,RF,Satellite,0.287389673587959,2,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,PSLR,Satellite,0.268440603712625,2,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LR,Satellite,0.0581085389406362,2,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LASSO,Satellite,,2,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,SVM,Satellite,0.238717647559235,2,Scottsbluff,2022-09-24,Satellite
