file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Ames-TP2-4231_10_2,79.09851259146363,79.0,22420157,114.33959202105515,116.0,32409100,70.23581916837774,70.0,19908062,0.2144267027815193,0.2183908045977011,60778.391196610544,-0.1845748504246535,-0.1902439024390244,-52317.00305346635,0.1845748504246535,0.1902439024390244,52317.00305346635,Ames-TP2-4231,10,2,4231,29500.0,17.5,152.81,59.0,,,,,,,,,,,0.0,200.0,PHP02 X W606S
Ames-TP2-4231_10_3,76.80386068781071,77.0,21767827,110.48359507587652,114.0,31313371,68.78903821523458,69.0,19496258,0.2098925122572152,0.2118451025056947,59487.94571645219,-0.1811015609201366,-0.1869918699186991,-51327.98549754605,0.1811015609201366,0.1869918699186991,51327.98549754605,Ames-TP2-4231,10,3,4231,30500.0,18.19,153.29,61.0,,,,,,,,,,,4.92,191.0,HOEGEMEYER 8065RR
Ames-TP2-4231_10_4,79.95843653633098,79.0,22661980,114.7914382087488,117.0,32534419,72.43507208332451,71.0,20529693,0.2073325715770498,0.210745150593612,58762.61210151063,-0.1822126938523249,-0.1886120996441281,-51643.086117013634,0.1822126938523249,0.1886120996441281,51643.086117013634,Ames-TP2-4231,10,4,4231,26000.0,17.33,146.77,52.0,,,,,,,,,,,0.0,218.0,PHK56 X PHJ89
Ames-TP2-4231_10_5,77.10020960070008,77.0,21849891,113.71048285790908,116.0,32225096,71.04333159254189,70.0,20133396,0.2162136129545765,0.2197309417040358,61274.073056875175,-0.1950475619326883,-0.2,-55275.698861476136,0.1950475619326883,0.2,55275.698861476136,Ames-TP2-4231,10,5,4231,34000.0,12.95,109.4,68.0,,,,,,,,,,,0.0,242.0,B73 X PHZ51
Ames-TP2-4231_10_6,81.41144522827288,81.0,23069317,110.91885787688756,113.0,31430744,70.2908348537409,70.0,19918103,0.1904493577627017,0.1906354515050167,53967.0631611435,-0.1549334615991146,-0.1578947368421052,-43903.03021295632,0.1549334615991146,0.1578947368421052,43903.03021295632,Ames-TP2-4231,10,6,4231,34000.0,12.54,119.39,68.0,,,,,,,,,,,0.0,186.0,2FACC X 3IIH6
Ames-TP2-4231_10_7,86.0259010121829,87.0,24375267,124.60946256899643,127.0,35307842,74.6515768595508,75.0,21152375,0.2169412811432304,0.2207293666026871,61469.87812937205,-0.1834434340967261,-0.1877133105802047,-51978.33016443915,0.1834434340967261,0.1877133105802047,51978.33016443915,Ames-TP2-4231,10,7,4231,34500.0,6.31,62.87,69.0,,,,,,,,,,,0.0,212.0,PHZ51 X LH145
Ames-TP2-4231_11_2,74.04453155597582,70.0,20985479,104.44022765042322,105.0,29600136,64.34556501550719,60.0,18236627,0.2174781523774196,0.2247557003257329,61637.00551235114,-0.1824357908573121,-0.1921182266009852,-51705.40453740684,0.1824357908573121,0.1921182266009852,51705.40453740684,Ames-TP2-4231,11,2,4231,25500.0,13.03,123.24,51.0,,,,,,,,,,,0.0,212.0,PHK76 X W606S
Ames-TP2-4231_11_3,75.28926465554657,74.0,21336300,116.80723099886728,120.0,33102118,69.1116337498368,67.0,19585615,0.2430287578029815,0.2475247524752475,68872.16270254474,-0.2193756026879455,-0.2264150943396226,-62169.07142133958,0.2193756026879455,0.2264150943396226,62169.07142133958,Ames-TP2-4231,11,3,4231,32000.0,13.94,113.07,64.0,,,,,,,,,,,1.56,230.0,LH123HT X PHB47
Ames-TP2-4231_11_4,82.36987379476827,80.0,23339339,111.15519784858196,112.0,31495603,73.0053785451106,71.0,20685928,0.1841657517526997,0.1885714285714285,52182.99742762397,-0.1546414645456853,-0.1623931623931624,-43817.34969609084,0.1546414645456853,0.1623931623931624,43817.34969609084,Ames-TP2-4231,11,4,4231,24000.0,14.08,120.13,48.0,,,,,,,,,,,0.0,219.0,PHP02 X PHN46
Ames-TP2-4231_11_5,69.1618846600475,67.0,19594876,103.0353806133722,104.0,29191881,63.63663220609984,62.0,18029467,0.222367683117478,0.2301075268817204,63000.98961316075,-0.2015888340371017,-0.2137931034482758,-57113.94687055763,0.2015888340371017,0.2137931034482758,57113.94687055763,Ames-TP2-4231,11,5,4231,30000.0,18.77,141.98,60.0,,,,,,,,,,,0.0,223.0,PHW52 X PHM49
