file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Lincoln-TP5-hybrids_10_10,-0.0129626954850562,-0.0136366453852352,-1.86662814984809,0.0129626954850562,0.0136366453852352,1.86662814984809,90.2222222222222,91,12992,87.9791666666667,89.5,12669,78.3194444444444,80,11278,0.022687782220389,0.0225221672656804,3.26704063973602,Lincoln-TP5-hybrids,10,10,,2.94,27.16,,58,1320.57,59,1346.07,3.81,64.38,11.68,4.46,1.63,1.3,,195,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_11,-0.023376579278614,-0.0235896294647825,-3.36622741612042,0.023376579278614,0.0235896294647825,3.36622741612042,96.4236111111111,97,13885,92.0208333333333,93,13251,82.6597222222222,83,11903,0.0142797271481141,0.01253258786946,2.05628070932844,Lincoln-TP5-hybrids,10,11,,3.21,29.65,,58,1320.57,59,1346.07,4.62,66.24,10.17,3.83,1.52,1.23,,172,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_12,-0.0480172204462974,-0.0432445067788686,-6.91447974426682,0.0480172204462974,0.0432445067788686,6.91447974426682,107.381944444444,108,15463,98.0763888888889,99,14123,84.7569444444444,86,12205,0.010183519371085,0.0109898603442362,1.46642678943625,Lincoln-TP5-hybrids,10,12,,4.76,43.87,,57,1295.5,64,1479.48,4.86,70,10.47,4.21,0.9,1.02,,210,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_13,-0.0429750463677615,-0.0416402917297372,-6.18840667695765,0.0429750463677615,0.0416402917297372,6.18840667695765,99.0625,101,14265,91.1666666666667,93,13128,79.5277777777778,82,11452,0.0107590599187602,0.0118489400533483,1.54930462830148,Lincoln-TP5-hybrids,10,13,,8.51,78.16,,54,1209.83,56,1268.08,5.12,66.27,12.47,4.12,1.42,1.29,,160,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_14,-0.0554205498180823,-0.0476190476190476,-7.98055917380386,0.0554205498180823,0.0476190476190476,7.98055917380386,104.277777777778,107,15016,94.2708333333333,96,13575,80.7569444444444,83,11629,0.0091070802809718,0.0088890644753476,1.31141956045995,Lincoln-TP5-hybrids,10,14,,,,,,,,,,,,,,,,,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_15,-0.0467940131486954,-0.0427350427350427,-6.73833789341213,0.0467940131486954,0.0427350427350427,6.73833789341213,113.506944444444,118,16345,103.847222222222,108.5,14954,87.8263888888889,91,12647,0.0161598646289293,0.0148622637341832,2.32702050656583,Lincoln-TP5-hybrids,10,15,,7.52,69.07,,63,1451.51,63,1451.51,5.25,71.94,9.06,4.51,0.71,0.98,,204,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_16,-0.0213145158567931,-0.021367911606246,-3.06929028337821,0.0213145158567931,0.021367911606246,3.06929028337821,91.8055555555556,93,13220,88.0277777777778,89.5,12676,80.4166666666667,82,11580,0.0114787413013347,0.0088890644753476,1.6529387473922,Lincoln-TP5-hybrids,10,16,,3.9,35.9,,58,1320.57,60,1370.73,4.34,65.51,11.6,3.97,1.56,1.22,,150,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_17,-0.0222375587761544,-0.0226758535582065,-3.20220846376623,0.0222375587761544,0.0226758535582065,3.20220846376623,106.1875,107.5,15291,101.659722222222,102,14639,88.8472222222222,89,12794,0.0216725613356905,0.0184862736163772,3.12084883233944,Lincoln-TP5-hybrids,10,17,,3.15,28.73,,63,1451.51,68,1570.26,4.72,66.4,9.4,3.79,1.64,1.03,,180,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_18,-0.036537899837012,-0.0347826086956522,-5.26145757652972,0.036537899837012,0.0347826086956522,5.26145757652972,106.5,105,15336,99.3263888888889,99,14303,87.4027777777778,87,12586,0.0125138237352173,0.0108814057023775,1.8019906178713,Lincoln-TP5-hybrids,10,18,,6.59,59,,58,1320.57,63,1451.51,4.71,65.52,13.56,4.54,1.36,1.05,,187,Lincoln,TP5,hybrids
Lincoln-TP5-hybrids_10_19,-0.0313015735836906,-0.0303030303030303,-4.50742659605145,0.0313015735836906,0.0303030303030303,4.50742659605145,106.041666666667,105,15270,99.8680555555556,100,14381,85.4305555555556,86,12302,0.021730283091386,0.0209243983627405,3.12916076515959,Lincoln-TP5-hybrids,10,19,,12.27,112.43,,59,1346.07,60,1370.73,4.08,67.66,8.55,3.96,1.54,1.32,,170,Lincoln,TP5,hybrids
