file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Lincoln-TP4-hybrids_10_20,-0.0407213847785763,-0.0440362444029193,-5.86387940811498,0.0407213847785763,0.0440362444029193,5.86387940811498,110.0625,112,15849,101.388888888889,103,14600,85.2222222222222,88,12272,0.0209725051889266,0.0157899110778691,3.02004074720544,Lincoln-TP4-hybrids,10,20,,5.67,52.14,,62,1422.27,66,1522.76,4.65,71.32,9.43,3.72,1.81,1.23,,176,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_21,-0.0496673167466361,-0.0491184658212187,-7.1520936115156,0.0496673167466361,0.0491184658212187,7.1520936115156,125.354166666667,126,18051,113.5625,114,16353,95.5694444444444,95.5,13762,0.0142756314390002,0.0136366453852352,2.05569092721604,Lincoln-TP4-hybrids,10,21,,7.19,66.04,,58,1320.57,64,1479.48,4.82,69.99,7.85,3.48,0.82,0.94,,168,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_22,-0.0253794310099424,-0.0259021421383045,-3.65463806543171,0.0253794310099424,0.0259021421383045,3.65463806543171,109.340277777778,108,15745,103.902777777778,103,14962,88.5972222222222,88,12758,0.0268076644723593,0.024793388429752,3.86030368401975,Lincoln-TP4-hybrids,10,22,,5.31,48.6,,61,1395.88,62,1422.27,5.27,68.6,9.66,4.02,2.38,1.25,,175,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_23,-0.0165137238348778,-0.0174675819984744,-2.37797623222241,0.0165137238348778,0.0174675819984744,2.37797623222241,103.736111111111,102,14938,100.333333333333,99,14448,88.2916666666667,88,12714,0.0228065823761703,0.0209651898734177,3.28414786216853,Lincoln-TP4-hybrids,10,23,,1.18,11.15,,59,1346.07,61,1395.88,5.12,67.09,12.07,4.66,1.29,1.15,,170,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_24,-0.0352183684943768,-0.0354296114981485,-5.07144506319026,0.0352183684943768,0.0354296114981485,5.07144506319026,118.902777777778,121,17122,110.861111111111,113,15964,92.7013888888889,94.5,13349,0.0245113515100772,0.0223138421531232,3.52963461745112,Lincoln-TP4-hybrids,10,24,,3.71,34.23,,64,1479.48,66,1522.76,3.56,72.7,6.87,3.78,1.64,1.13,,171,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_25,-0.0302051511197426,-0.0310077519379845,-4.34954176124294,0.0302051511197426,0.0310077519379845,4.34954176124294,114.791666666667,116,16530,108.138888888889,109,15572,92.7222222222222,95,13352,0.0227329702679734,0.019047619047619,3.27354771858818,Lincoln-TP4-hybrids,10,25,,4.32,39.63,,62,1422.27,65,1498.26,5.23,68.59,9.34,4.45,0.71,1.02,,166,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_26,-0.0302796562941742,-0.030435357946275,-4.36027050636108,0.0302796562941742,0.030435357946275,4.36027050636108,113.8125,114,16389,107.069444444444,107.5,15418,89.8888888888889,90,12944,0.0259755478798504,0.0241317851344674,3.74047889469846,Lincoln-TP4-hybrids,10,26,,4.69,43.42,,58,1320.57,60,1370.73,5.22,67.95,10.02,4.34,0.9,1.21,,179,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_27,-0.0317164243468964,-0.0319634703196347,-4.56716510595308,0.0317164243468964,0.0319634703196347,4.56716510595308,114.923611111111,114,16549,107.840277777778,106.5,15529,90.6736111111111,90,13057,0.0255353909210088,0.0241545893719806,3.67709629262528,Lincoln-TP4-hybrids,10,27,,,,,,,,,,,,,,,,,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_28,-0.040547546238609,-0.0375450294229521,-5.83884665835969,0.040547546238609,0.0375450294229521,5.83884665835969,112.305555555556,113,16172,103.854166666667,106,14955,86.3263888888889,89,12431,0.0238789415728612,0.0230624184112556,3.43856758649202,Lincoln-TP4-hybrids,10,28,,5.2,47.98,,61,1395.88,64,1479.48,5.41,66.55,10.87,4.21,1.11,0.99,,174,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_29,-0.0232724786484456,-0.0266714082503556,-3.35123692537617,0.0232724786484456,0.0266714082503556,3.35123692537617,104.416666666667,106,15036,99.6111111111111,100,14344,83.8125,85,12069,0.0305633857578329,0.0250344693991499,4.40112754912795,Lincoln-TP4-hybrids,10,29,,3.4,31.08,,60,1370.73,65,1498.26,5.09,64.7,11.02,3.8,2.05,0.98,,155,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_3,-0.0409794499061155,-0.0431203515889114,-5.90104078648063,0.0409794499061155,0.0431203515889114,5.90104078648063,118.659722222222,119,17087,109.3125,111,15741,92.7291666666667,94,13353,0.0175153398826694,0.0149268510037874,2.5222089431044,Lincoln-TP4-hybrids,10,3,,8.16,75.29,,55,1238.89,56,1268.08,4.94,67.57,12.2,4.48,0.73,1.1,,189,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_30,-0.0517007407258614,-0.0506912442396313,-7.44490666452404,0.0517007407258614,0.0506912442396313,7.44490666452404,116.805555555556,117,16820,105.423611111111,104,15181,86.4305555555556,85.5,12446,0.0191456791383771,0.0178315934502676,2.75697779592631,Lincoln-TP4-hybrids,10,30,,5.5,50.75,,58,1320.57,60,1370.73,5.05,66.3,11.96,4.23,0.97,1.24,,155,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_31,-0.041877187868735,-0.0439292414902171,-6.03031505309783,0.041877187868735,0.0439292414902171,6.03031505309783,114.979166666667,116.5,16557,105.791666666667,106.5,15234,89.9097222222222,91,12947,0.0180869496027512,0.0148622637341832,2.60452074279618,Lincoln-TP4-hybrids,10,31,,2.16,19.84,,59,1346.07,67,1550.01,4.71,67.62,11.92,3.71,1.66,1.35,,175,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_32,0.00782949970077666,0.00571727269757261,1.12744795691184,-0.00782949970077666,-0.00571727269757261,-1.12744795691184,97.8472222222222,97,14090,99.2013888888889,99,14285,85.6944444444444,86,12340,0.0403361897993715,0.0401072386058981,5.8084113311095,Lincoln-TP4-hybrids,10,32,,1.55,14.48,,59,1346.07,62,1422.27,5.15,68.05,11.54,4.49,1.5,1.46,,170,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_33,-0.0151998689621119,-0.0151549942594719,-2.18878113054411,0.0151998689621119,0.0151549942594719,2.18878113054411,105.104166666667,106,15135,101.868055555556,102.5,14669,86.9722222222222,88,12524,0.0310176755513556,0.0282806252271901,4.46654527939522,Lincoln-TP4-hybrids,10,33,,1.54,14.29,,63,1451.51,71,1631.41,5.53,68.18,11.22,4.47,1.39,1.09,,162,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_34,0.000453865980636822,-0.0045462999318055,0.0653567012117023,-0.000453865980636822,0.0045462999318055,-0.0653567012117023,98.6319444444444,98,14203,98.5277777777778,98,14188,86.0972222222222,86,12398,0.0342183923103948,0.0313253012048192,4.92744849269686,Lincoln-TP4-hybrids,10,34,,0.89,8.59,,62,1422.27,63,1451.51,4.95,68.39,11.77,4.45,1.39,0.98,,150,Lincoln,TP4,hybrids
