,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
0,Crawfordsville-TP1-4351_10_13,90.95389862347882,89.0,19948100,136.73122044856626,140.0,29988028,85.96652395347459,82.0,18854264,0.2294361169404014,0.2285714285714285,50320.15860348579,0.2059805598247898,0.2098765432098765,45175.86236133273,Crawfordsville-TP1-4351,10,13,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,Crawfordsville,TP1,4351
1,Crawfordsville-TP1-4351_10_14,75.84098605278598,71.0,16416464,119.937073533556,119.0,25961459,73.5989771735063,68.0,15931161,0.2459370308969875,0.2529002320185615,53235.28377093103,0.2301958418885676,0.24,49827.961739357466,Crawfordsville-TP1-4351,10,14,,,,,,,,,,,,,,,,,Crawfordsville,TP1,4351
2,Crawfordsville-TP1-4351_10_15,104.29348122480314,106.0,24860750,140.52615438829062,147.0,33497641,94.06802783872334,94.0,22423278,0.1799254460723301,0.1753246753246753,42889.36835659955,0.1466426452881996,0.1494845360824742,34955.64728528401,Crawfordsville-TP1-4351,10,15,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,Crawfordsville,TP1,4351
3,Crawfordsville-TP1-4351_10_16,88.79632163678363,87.0,20181184,130.10443735562643,133.0,29569486,82.4420063799362,80.0,18737007,0.2169423587429578,0.2166666666666666,49305.574583305744,0.1899096444348063,0.1946902654867256,43161.71443892061,Crawfordsville-TP1-4351,10,16,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,Crawfordsville,TP1,4351
4,Crawfordsville-TP1-4351_10_17,85.06126242916109,82.0,18897125,126.37431749332686,127.0,28075192,77.74287334746735,73.0,17271279,0.2278622514055159,0.2334494773519163,50621.649909998014,0.1966696778336458,0.2086330935251798,43691.93895784492,Crawfordsville-TP1-4351,10,17,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP1,4351
5,Crawfordsville-TP1-4351_10_18,121.5197392061198,126.0,30436563,156.89503964609966,168.0,39296873,106.17013087604704,110.0,26592008,0.1645179924940618,0.1587561374795417,41206.16350801769,0.1233385091463857,0.1241830065359477,30892.103031858656,Crawfordsville-TP1-4351,10,18,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,Crawfordsville,TP1,4351
6,Crawfordsville-TP1-4351_10_19,75.90729886899584,71.0,16577395,120.88936764503867,121.0,26401029,72.8404093594029,68.0,15907617,0.2508794632623435,0.2579185520361991,54789.5659818632,0.2322866877542904,0.2417582417582417,50729.089738659495,Crawfordsville-TP1-4351,10,19,,,,,,,,,,,,,,,,,Crawfordsville,TP1,4351
7,Crawfordsville-TP1-4351_10_20,91.95052967328648,90.0,20640871,137.31563894902845,141.0,30824340,85.95017774570337,83.0,19293924,0.226659047813813,0.2255054432348367,50879.969735149134,0.2017729788594874,0.2057761732851985,45293.59474842001,Crawfordsville-TP1-4351,10,20,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,Crawfordsville,TP1,4351
8,Crawfordsville-TP1-4351_11_13,109.12512857505445,111.0,24506994,152.88650663246904,162.0,34334793,100.4413007565334,101.0,22556806,0.1966451616211703,0.1933174224343675,44161.980461397565,0.1678060730678681,0.1710526315789473,37685.38447136262,Crawfordsville-TP1-4351,11,13,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,Crawfordsville,TP1,4351
9,Crawfordsville-TP1-4351_11_14,106.43262451326436,109.0,24545279,148.77415899886392,158.0,34309999,98.32461039467864,99.0,22675425,0.1950762254281432,0.1914893617021276,44988.08895578754,0.1668384485727914,0.1737963501187682,38475.949332960015,Crawfordsville-TP1-4351,11,14,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,Crawfordsville,TP1,4351
