model,testset,r2
Lincoln_TP2,Ames_TP1,0.00648
Lincoln_TP1,Scottsbluff_TP3,0.02805
Lincoln_TP1,Scottsbluff_TP2,0.00015
Lincoln_TP1,Scottsbluff_TP1,0.00145
Lincoln_TP1,Crawfordsville_TP3,0.00126
Lincoln_TP1,Crawfordsville_TP2,0.00199
Lincoln_TP1,Crawfordsville_TP1,0.10596
Lincoln_TP1,Lincoln_TP3,0.19489
Lincoln_TP1,Lincoln_TP2,0.33117
Lincoln_TP1,Lincoln_TP1,0.56323
Lincoln_TP1,Movalley_TP3,0.15285
Lincoln_TP1,Movalley_TP2,0.0537
Lincoln_TP1,Movalley_TP1,0.04389
Lincoln_TP1,Ames_TP3,0.31007
Lincoln_TP1,Ames_TP2,0.15406
Lincoln_TP1,Ames_TP1,0.00393
Movalley_TP3,Scottsbluff_TP3,0.00193
Movalley_TP3,Scottsbluff_TP2,0.03822
Movalley_TP3,Scottsbluff_TP1,0.00011
Movalley_TP3,Crawfordsville_TP3,0.00186
Movalley_TP3,Crawfordsville_TP2,0.01203
Movalley_TP3,Crawfordsville_TP1,0.05982
Movalley_TP3,Lincoln_TP3,0.30176
Movalley_TP3,Lincoln_TP2,0.34328
Movalley_TP3,Lincoln_TP1,0.27313
Movalley_TP3,Movalley_TP3,0.56543
Movalley_TP3,Movalley_TP2,0.10414
Movalley_TP3,Movalley_TP1,0.04599
Movalley_TP3,Ames_TP3,0.29935
Movalley_TP3,Ames_TP2,0.08316
Movalley_TP3,Ames_TP1,0.0307
Movalley_TP2,Scottsbluff_TP3,0.0
Movalley_TP2,Scottsbluff_TP2,0.01414
Movalley_TP2,Scottsbluff_TP1,0.00265
Movalley_TP2,Crawfordsville_TP3,1e-05
Movalley_TP2,Crawfordsville_TP2,0.01088
Movalley_TP2,Crawfordsville_TP1,0.08254
Movalley_TP2,Lincoln_TP3,0.17732
Movalley_TP2,Lincoln_TP2,0.22287
Movalley_TP2,Lincoln_TP1,0.2427
Movalley_TP2,Movalley_TP3,0.33101
Movalley_TP2,Movalley_TP2,0.27889
Movalley_TP2,Movalley_TP1,0.0739
Movalley_TP2,Ames_TP3,0.30123
Movalley_TP2,Ames_TP2,0.08252
Movalley_TP2,Ames_TP1,0.02443
Movalley_TP1,Scottsbluff_TP3,0.00308
Movalley_TP1,Scottsbluff_TP2,0.00795
Movalley_TP1,Scottsbluff_TP1,0.00804
Movalley_TP1,Crawfordsville_TP3,0.00041
Movalley_TP1,Crawfordsville_TP2,0.01247
Movalley_TP1,Crawfordsville_TP1,0.09973
Movalley_TP1,Lincoln_TP3,0.07619
Movalley_TP1,Lincoln_TP2,0.16653
Movalley_TP1,Lincoln_TP1,0.16611
Movalley_TP1,Movalley_TP3,0.11742
Movalley_TP1,Movalley_TP2,0.02042
Movalley_TP1,Movalley_TP1,0.45097
Movalley_TP1,Ames_TP3,0.13889
Movalley_TP1,Ames_TP2,0.10776
Movalley_TP1,Ames_TP1,0.0
Ames_TP3,Scottsbluff_TP3,0.0175
Ames_TP3,Scottsbluff_TP2,6e-05
Ames_TP3,Scottsbluff_TP1,0.00485
Ames_TP3,Crawfordsville_TP3,0.00065
Ames_TP3,Crawfordsville_TP2,0.01768
Ames_TP3,Crawfordsville_TP1,0.1206
Ames_TP3,Lincoln_TP3,0.2231
Ames_TP3,Lincoln_TP2,0.28503
Ames_TP3,Lincoln_TP1,0.26422
Ames_TP3,Movalley_TP3,0.30507
Ames_TP3,Movalley_TP2,0.14238
Ames_TP3,Movalley_TP1,0.03683
Ames_TP3,Ames_TP3,0.64008
Ames_TP3,Ames_TP2,0.16068
Ames_TP3,Ames_TP1,0.00631
Ames_TP2,Scottsbluff_TP3,0.01034
Ames_TP2,Scottsbluff_TP2,0.01249
Ames_TP2,Scottsbluff_TP1,0.00177
Ames_TP2,Crawfordsville_TP3,0.01929
Ames_TP2,Crawfordsville_TP2,0.01465
Ames_TP2,Crawfordsville_TP1,0.10685
Ames_TP2,Lincoln_TP3,0.16919
Ames_TP2,Lincoln_TP2,0.23099
Ames_TP2,Lincoln_TP1,0.16608
Ames_TP2,Movalley_TP3,0.11274
Ames_TP2,Movalley_TP2,0.03499
Ames_TP2,Movalley_TP1,0.08854
Ames_TP2,Ames_TP3,0.25488
Ames_TP2,Ames_TP2,0.40789
Ames_TP2,Ames_TP1,0.00089
Ames_TP1,Scottsbluff_TP3,0.00954
Ames_TP1,Scottsbluff_TP2,0.00557
Ames_TP1,Scottsbluff_TP1,0.00166
Ames_TP1,Crawfordsville_TP3,0.01065
Ames_TP1,Crawfordsville_TP2,0.00087
Ames_TP1,Crawfordsville_TP1,0.01543
Ames_TP1,Lincoln_TP3,0.08056
Ames_TP1,Lincoln_TP2,0.06872
Ames_TP1,Lincoln_TP1,0.05204
Ames_TP1,Movalley_TP3,0.15843
Ames_TP1,Movalley_TP2,0.09734
Ames_TP1,Movalley_TP1,0.00167
Ames_TP1,Ames_TP3,0.03525
Ames_TP1,Ames_TP2,0.00036
Ames_TP1,Ames_TP1,0.56026
