Location,MeanYieldPerAcre (lbs/acre),Maximum,Minimum,Standard Deviation
Ames,130.331314168378,221.49,27.3,31.8065216207458
Crawfordsville,165.102930327869,243.93,69.54,24.7031634994001
Lincoln,41.2317261904762,144.93,1.67,24.9101982276733
Missouri Valley,152.458711656442,214.08,89.59,24.2982625540334
North Platte,150.27688630491,265.65,18.77,50.8123617567545
Scottsbluff,143.355071574642,229.16,49.68,34.1749639098978
All locations,130.459440037119,265.65,1.67,50.8123617567545
