signalname,R2,location
DeepBlue_mean_TP1,0.019854418359251766,Ames
Nir_mean_TP1,0.002825361465838072,Ames
GRVI_median_TP1,0.00010764781761452488,Ames
NGRDI_median_TP1,0.00010764781761452488,Ames
NDVI_median_TP1,0.006312811211836909,Ames
GNDVI_median_TP1,0.009927053959385113,Ames
SAVI_median_TP1,0.006305993020744295,Ames
Red_median_TP1,0.035728958578311175,Ames
Green_median_TP1,0.033446206327955266,Ames
Blue_median_TP1,0.026526513125197063,Ames
GLI_median_TP1,0.00246637720689496,Ames
NDRE_median_TP1,0.0008681042638129622,Ames
RedEdge_median_TP1,0.004360976946041414,Ames
DeepBlue_median_TP1,0.01957377024269898,Ames
Nir_median_TP1,0.001882878183769363,Ames
GRVI_sum_TP1,9.593513481560166e-05,Ames
NGRDI_sum_TP1,9.593513481560166e-05,Ames
NDVI_sum_TP1,0.001123591772365664,Ames
GNDVI_sum_TP1,0.0007352692691080455,Ames
SAVI_sum_TP1,0.001123985682244319,Ames
Red_sum_TP1,0.030192088821412815,Ames
Green_sum_TP1,0.026506068465985588,Ames
Blue_sum_TP1,0.01807478127242157,Ames
GLI_sum_TP1,0.005069541218292215,Ames
NDRE_sum_TP1,0.0015711132123723544,Ames
RedEdge_sum_TP1,0.00893998651755548,Ames
DeepBlue_sum_TP1,0.011637137421361847,Ames
Nir_sum_TP1,0.006973074323354483,Ames
GRVI_mean_TP5,0.033680693366176864,Ames
NGRDI_mean_TP5,0.033680693366176864,Ames
NDVI_mean_TP5,0.11133735377503692,Ames
GNDVI_mean_TP5,0.1495038970995671,Ames
SAVI_mean_TP5,0.11135344829586508,Ames
Red_mean_TP5,0.057053259055218464,Ames
Green_mean_TP5,0.015871161881244395,Ames
Blue_mean_TP5,0.038601646350682986,Ames
GLI_mean_TP5,0.023759507948586396,Ames
NDRE_mean_TP5,0.10692387005842643,Ames
RedEdge_mean_TP5,0.043526029956214796,Ames
DeepBlue_mean_TP5,0.01679519950135416,Ames
Nir_mean_TP5,0.11605795231469042,Ames
GRVI_median_TP5,0.04750303382074143,Ames
NGRDI_median_TP5,0.04750303382074143,Ames
NDVI_median_TP5,0.11912430014395298,Ames
GNDVI_median_TP5,0.1562072469767659,Ames
