file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Scottsbluff-TP2-n225_11_26,140.1317524496412,133.0,19235185,147.9051688340072,143.0,20302203,117.569088988453,109.0,16138121,0.0740049260213461,0.0680272108843537,10158.286170320074,-0.0289538980984741,-0.0298507462686567,-3974.356822487056,0.0289538980984741,0.0298507462686567,3974.356822487056,Scottsbluff-TP2-n225,11,26,n225,,31.92,213.39,,75.0,1414.31,78.0,1483.45,10.95,70.97,8.69,4.23,2.13,1.57,,168.0,SYNGENTA NK0760-3111
Scottsbluff-TP2-n225_12_20,151.36164900159832,145.0,20549917,158.0157107397232,158.0,21453319,116.27340959143238,107.0,15786092,0.0895112890062928,0.0862944162436548,12152.679174517369,-0.024109456142137,-0.023076923076923,-3273.2685320495184,0.024109456142137,0.023076923076923,3273.2685320495184,Scottsbluff-TP2-n225,12,20,n225,,24.06,152.58,,74.0,1393.15,79.0,1509.4,7.79,69.82,8.56,3.85,1.42,1.16,,188.0,B37 X OH43
Scottsbluff-TP2-n225_12_21,144.51656162978162,137.0,19720730,153.47522350872052,150.0,20943229,120.3736992525282,111.0,16426195,0.081585959455408,0.0746987951807229,11133.22002728498,-0.0345499888269193,-0.032051282051282,-4714.691475321412,0.0345499888269193,0.032051282051282,4714.691475321412,Scottsbluff-TP2-n225,12,21,n225,,27.75,185.06,,73.0,1371.7,77.0,1459.11,9.19,71.45,8.28,3.91,1.4,1.41,,178.0,LH195 X 3IIH6
Scottsbluff-TP2-n225_12_22,152.75975737049177,147.0,20927934,160.87555383615938,156.0,22039790,123.81688917437351,116.0,16962790,0.0805629524664925,0.0748091603053435,11037.043924957006,-0.0276308458816377,-0.027027027027027,-3785.398254938495,0.0276308458816377,0.027027027027027,3785.398254938495,Scottsbluff-TP2-n225,12,22,n225,,23.24,162.02,,73.0,1371.7,76.0,1437.65,7.97,68.59,8.2,3.85,1.27,1.31,,152.0,PHN46 X PHK56
Scottsbluff-TP2-n225_12_23,148.37530306769844,143.0,20439885,158.8289246359558,156.0,21879955,107.70234033595143,100.0,14836859,0.1143377421022619,0.1072124756335282,15750.9386765234,-0.035749774696242,-0.0347356284856284,-4924.817462604907,0.035749774696242,0.0347356284856284,4924.817462604907,Scottsbluff-TP2-n225,12,23,n225,,24.48,161.65,,75.0,1414.31,78.0,1483.45,8.4,70.23,8.84,3.38,1.38,1.22,,168.0,PHP02 X PHB47
Scottsbluff-TP2-n225_12_24,149.86080865827316,145.0,20603913,163.54717173260016,163.0,22485610,106.22982536530726,99.0,14605220,0.1305509018243801,0.1257208765859284,17949.051839128544,-0.0467351271555828,-0.0486725663716814,-6425.472427239615,0.0467351271555828,0.0486725663716814,6425.472427239615,Scottsbluff-TP2-n225,12,24,n225,,8.14,52.55,,77.0,1459.11,80.0,1530.76,9.02,70.54,8.01,4.35,2.25,1.4,,163.0,B14A X MO17
Scottsbluff-TP2-n225_12_25,144.60304046664237,136.0,19832307,156.60255924170616,152.0,21478041,108.51133795114838,98.0,14882330,0.1145565150033156,0.1055662188099808,15711.426032704734,-0.0431287559755239,-0.0410958904109589,-5915.10888204311,0.0431287559755239,0.0410958904109589,5915.10888204311,Scottsbluff-TP2-n225,12,25,n225,,30.69,199.14,,76.0,1437.65,79.0,1509.4,9.64,70.49,8.45,3.87,1.54,1.43,,180.0,PIONEER 1311 AMXT
Scottsbluff-TP2-n225_12_26,138.1600378030606,132.0,19004604,146.32669841154447,142.0,20127969,116.88376285849296,110.0,16077946,0.072922809202524,0.0640776699029126,10030.8970198532,-0.0308249230479569,-0.0281995661605206,-4240.1222898617125,0.0308249230479569,0.0281995661605206,4240.1222898617125,Scottsbluff-TP2-n225,12,26,n225,,34.0,227.3,,74.0,1393.15,77.0,1459.11,11.21,71.3,8.1,4.55,2.24,1.6,,183.0,SYNGENTA NK0760-3111
Scottsbluff-TP2-n225_13_20,150.30178248022114,144.0,20498608,156.71341736140135,155.0,21373046,129.31938731366813,122.0,17636966,0.0608043130885325,0.0539682539682539,8292.67463195334,-0.0231476660108599,-0.0217391304347826,-3156.9481335591104,0.0231476660108599,0.0217391304347826,3156.9481335591104,Scottsbluff-TP2-n225,13,20,n225,,30.16,200.64,,70.0,1309.51,76.0,1437.65,8.19,69.93,8.62,3.95,1.44,1.37,,211.0,2369 X PHP02
Scottsbluff-TP2-n225_13_21,148.045584900139,142.0,20236351,158.01460238495866,154.0,21599016,130.93447947911332,123.0,17897434,0.0668363737136365,0.0580046403712296,9135.863922916977,-0.0353217470621765,-0.0339622641509433,-4828.129605928913,0.0353217470621765,0.0339622641509433,4828.129605928913,Scottsbluff-TP2-n225,13,21,n225,,26.96,175.38,,80.0,1530.76,89.0,1739.4,8.99,70.5,8.94,4.02,1.57,1.37,,198.0,B73 X PHM49
Scottsbluff-TP2-n225_13_22,143.42234650649954,140.0,19771631,152.79740453806872,152.0,21064039,121.35724959377902,116.0,16729825,0.0760064816052539,0.0704225352112676,10477.949528173893,-0.0346893565124632,-0.0344827586206896,-4782.135931382128,0.0346893565124632,0.0344827586206896,4782.135931382128,Scottsbluff-TP2-n225,13,22,n225,,10.39,70.31,,84.0,1622.26,88.0,1717.51,7.32,68.81,10.21,3.31,1.95,1.27,,188.0,WF9 X H95
Scottsbluff-TP2-n225_13_23,146.3985740787894,139.0,20123216,157.2319522752901,154.0,21612318,116.526725110036,108.0,16017181,0.0956709159384622,0.090146750524109,13150.445750321322,-0.0382192142340132,-0.0392156862745098,-5253.422092536292,0.0382192142340132,0.0392156862745098,5253.422092536292,Scottsbluff-TP2-n225,13,23,n225,,25.77,172.49,,76.0,1437.65,79.0,1509.4,7.77,71.6,8.17,3.87,1.08,1.13,,178.0,PHB47 X PHK56
Scottsbluff-TP2-n225_13_24,145.7104523160763,140.0,20053401,159.3144196185286,157.0,21925647,112.46980563124433,104.0,15478657,0.1118226435590381,0.1058020477815699,15389.591319812624,-0.0467251323818422,-0.0491803278688524,-6430.546344051046,0.0467251323818422,0.0491803278688524,6430.546344051046,Scottsbluff-TP2-n225,13,24,n225,,7.35,49.68,,77.0,1459.11,81.0,1552.11,8.31,69.79,9.46,3.46,1.43,1.32,,157.0,PHP02 X LH145
Scottsbluff-TP2-n225_13_25,145.09798785395478,138.0,19830542,157.42757005926686,154.0,21515626,121.09359771712884,113.0,16549862,0.0902231667072088,0.081081081081081,12330.80019387423,-0.0435254331859698,-0.040983606557377,-5948.620953526498,0.0435254331859698,0.040983606557377,5948.620953526498,Scottsbluff-TP2-n225,13,25,n225,,23.46,150.31,,76.0,1437.65,79.0,1509.4,10.57,70.82,8.1,3.85,1.77,1.4,,198.0,F42 X OH43
Scottsbluff-TP2-n225_13_26,134.9726628000668,129.0,18593969,149.728442737785,144.0,20626740,116.74285900944388,110.0,16082613,0.0942854297789254,0.087719298245614,12988.855091774552,-0.0559168904652602,-0.0568181818181818,-7703.166747384712,0.0559168904652602,0.0568181818181818,7703.166747384712,Scottsbluff-TP2-n225,13,26,n225,,32.77,219.07,,74.0,1393.15,77.0,1459.11,11.08,70.74,7.25,3.44,2.41,1.58,,185.0,SYNGENTA NK0760-3111
