file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Crawfordsville-TP5-4351_10_13,920.042654028436,904.0,194129,712.6445497630332,703.0,150368,587.9715639810427,583.0,124062,-0.0244087666782058,-0.0281375614113443,-5.15024976910144,-0.120147088712739,-0.1257005604483587,-25.35103571838794,0.120147088712739,0.1257005604483587,25.35103571838794,0.2636560511593669,0.2612612612612612,55.63142679462642,0.372226088176125,0.3689469638739431,78.53970460516238,0.3953967894091986,0.3917990045034368,83.42872256534092,0.1222682683082034,0.1233951497860199,25.798604613030932,1209.5450236966824,1195.0,255214,532.957345971564,529.0,112454,1558.3696682464456,1538.0,328816,Crawfordsville-TP5-4351,10,13,4351,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,LH195 X 3IIH6
Crawfordsville-TP5-4351_10_14,1048.88,1065.5,209776,779.09,786.5,155818,634.35,639.5,126870,-0.0355012226626638,-0.0381461804900597,-7.100244532532763,-0.1422492713181372,-0.1478678457231244,-28.44985426362744,0.1422492713181372,0.1478678457231244,28.44985426362744,0.2652625537636779,0.2606303039323482,53.05251075273558,0.3929300278524758,0.3931181775100431,78.58600557049516,0.3978169728281239,0.3908715058566077,79.56339456562479,0.1250012347317875,0.1273270113192285,25.0002469463575,1377.125,1391.0,275425,534.765,530.5,106953,1782.24,1802.0,356448,Crawfordsville-TP5-4351,10,14,4351,,,,,,,,,,,,,,,,,
Crawfordsville-TP5-4351_10_15,926.545,931.5,185309,724.04,731.5,144808,599.84,606.0,119968,-0.0237767070382552,-0.0252914464670189,-4.755341407651043,-0.1179292824215256,-0.1226295640037817,-23.58585648430513,0.1179292824215256,0.1226295640037817,23.58585648430513,0.2507367396222024,0.2479521652187886,50.14734792444049,0.3582152546051683,0.3585446365652089,71.64305092103366,0.3760235488924103,0.3718318898507526,75.20470977848206,0.1190108117321712,0.1220238095238095,23.80216234643425,1201.85,1203.0,240370,521.48,524.5,104296,1534.22,1536.5,306844,Crawfordsville-TP5-4351,10,15,4351,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,PHT69 X 3IIH6
Crawfordsville-TP5-4351_10_16,837.8785046728972,857.0,179306,667.8084112149533,668.0,142911,569.5,581.0,121873,-0.0224265206900519,-0.0268027047374942,-4.799275427671127,-0.1045721300378879,-0.1144545823594448,-22.37843582810802,0.1045721300378879,0.1144545823594448,22.37843582810802,0.26890018655169,0.2577052120462763,57.54463992206168,0.3635505701048593,0.3601925710867174,77.7998220024399,0.4032509788642651,0.3864577253757701,86.29570947695274,0.1169313578189429,0.12124815926391,25.023310573253795,1120.9065420560748,1148.5,239874,513.0560747663551,517.5,109794,1429.911214953271,1453.0,306001,Crawfordsville-TP5-4351,10,16,4351,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,F42 X MO17
Crawfordsville-TP5-4351_10_17,993.7548076923076,981.5,206701,766.1153846153846,757.0,159352,624.7932692307693,609.5,129957,-0.0237484152646379,-0.0275556394314646,-4.939670375044686,-0.1225879486610244,-0.1275201435608937,-25.498293321493083,0.1225879486610244,0.1275201435608937,25.498293321493083,0.3045776491557903,0.2991279240461733,63.35215102440438,0.4122230358966704,0.4118868927368335,85.74239146650744,0.4567778397022242,0.4486136753197639,95.00979065806264,0.1424470608428079,0.1440584737499308,29.62898865530404,1369.735576923077,1355.5,284905,542.4567307692307,533.0,112831,1834.7692307692307,1824.0,381632,Crawfordsville-TP5-4351,10,17,4351,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,PHG39 X PHM49
Crawfordsville-TP5-4351_10_18,822.0333333333333,836.0,172627,654.7761904761904,668.5,137503,558.1714285714286,561.5,117216,-0.0231934381549602,-0.0259350362581048,-4.870622012541652,-0.106442773905697,-0.1131518708478193,-22.35298252019637,0.106442773905697,0.1131518708478193,22.35298252019637,0.2757917796416974,0.2705808920635839,57.91627372475647,0.3716271980586115,0.3671409336134268,78.04171159230843,0.4135869162652345,0.405771063387756,86.85325241569925,0.1232482974452565,0.1277039797129356,25.88214246350387,1106.204761904762,1111.5,232303,499.0095238095238,504.0,104792,1427.652380952381,1439.0,299807,Crawfordsville-TP5-4351,10,18,4351,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,LH195 X PHM49
Crawfordsville-TP5-4351_10_19,976.7095238095238,999.5,205109,736.8,742.0,154728,606.7380952380952,608.5,127415,-0.0325202337797804,-0.0372026975419624,-6.829249093753902,-0.1330591947562628,-0.1430738406632968,-27.942430898815196,0.1330591947562628,0.1430738406632968,27.942430898815196,0.2698529512453043,0.2619164172240682,56.6691197615139,0.389282969281542,0.3904252610134963,81.74942354912382,0.4046936466702094,0.3928050173315613,84.98566580074397,0.1254180879994188,0.128268913310814,26.33779847987796,1288.9809523809524,1317.5,270686,515.3285714285714,514.5,108219,1671.7714285714285,1705.0,351072,Crawfordsville-TP5-4351,10,19,4351,,,,,,,,,,,,,,,,,
Crawfordsville-TP5-4351_10_20,959.6712328767125,979.0,210168,733.8995433789954,741.0,160724,595.1872146118722,604.0,130346,-0.0261471156013601,-0.0303434478159386,-5.726218316697872,-0.1290410008679944,-0.1366525423728813,-28.25997919009077,0.1290410008679944,0.1366525423728813,28.25997919009077,0.249384705272291,0.2427926363320597,54.61525045463174,0.3668624390787712,0.3665987780040733,80.3428741582509,0.3739987176541471,0.3641257162701858,81.90571916625822,0.1204553814817579,0.1218109953287819,26.37972854450499,1236.420091324201,1254.0,270776,530.3744292237443,536.0,116152,1582.420091324201,1589.0,346550,Crawfordsville-TP5-4351,10,20,4351,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,B73 X PHZ51
Crawfordsville-TP5-4351_11_13,950.2938388625593,971.0,200512,735.7772511848341,756.0,155249,592.1611374407582,605.0,124946,-0.0204320041301082,-0.0229530661185337,-4.311152871452837,-0.121964755641228,-0.1280811986466892,-25.734563440299123,0.121964755641228,0.1280811986466892,25.734563440299123,0.257470029143332,0.2512690355329949,54.32617614924306,0.3680928247206826,0.3668449197860962,77.66758601606404,0.3861231845421267,0.3768238528230069,81.47199193838874,0.1224564122620912,0.1259097525473071,25.838302987301248,1237.1658767772512,1262.0,261042,519.6635071090047,522.0,109649,1592.142180094787,1629.0,335942,Crawfordsville-TP5-4351,11,13,4351,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,PHK56 X PHJ89
Crawfordsville-TP5-4351_11_14,1008.7272727272727,1026.0,210824,764.6507177033493,767.0,159812,625.2057416267943,634.0,130668,-0.03109502800463,-0.0322047894302229,-6.49886085296767,-0.1339769078609737,-0.1381272633212623,-28.0011737429435,0.1339769078609737,0.1381272633212623,28.0011737429435,0.2439965521474389,0.2408602150537634,50.99527939881474,0.3660997271769111,0.3659074210139603,76.51484297997443,0.3659215590744572,0.3612255868123992,76.47760584656156,0.1169876096948054,0.120855614973262,24.45041042621434,1295.133971291866,1317.0,270683,542.7177033492823,548.0,113428,1647.4976076555024,1688.0,344327,Crawfordsville-TP5-4351,11,14,4351,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,PHP02 X PHK56
