,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
0,Crawfordsville-TP4-4351_10_13,754.4644549763033,754.0,159192,646.9526066350711,655.0,136507,500.8388625592417,500.0,105677,0.0169011439616793,0.0140365801786473,3.566141375914336,-0.073047535166428,-0.0773993808049535,-15.413029920116308,0.4741046317670911,0.4590395480225989,100.03607730285624,0.1621295984087968,0.1626265003530242,34.20934526425613,1518.4739336492892,1532.0,320398,466.9478672985782,463.0,98526,Crawfordsville-TP4-4351,10,13,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,Crawfordsville,TP4,4351
1,Crawfordsville-TP4-4351_10_14,701.925,704.5,140385,647.595,662.0,129519,495.32,500.5,99064,0.0414923303371618,0.0426764120246709,8.298466067432372,-0.0357073525916475,-0.0388682737066727,-7.141470518329512,0.5377324681132621,0.5428461665111683,107.54649362265243,0.1825198677540684,0.1881061112145404,36.50397355081369,1603.43,1655.0,320686,461.475,466.0,92295,Crawfordsville-TP4-4351,10,14,,,,,,,,,,,,,,,,,Crawfordsville,TP4,4351
2,Crawfordsville-TP4-4351_10_15,793.17,785.5,158634,661.88,656.0,132376,518.655,515.5,103731,0.0051167567165004,0.0024466969591052,1.023351343300088,-0.0890345953138182,-0.0923309339731627,-17.806919062763644,0.4211407667745863,0.4070333811002888,84.22815335491727,0.1401804510916632,0.1442769066327933,28.03609021833264,1471.96,1488.0,294392,483.81,482.5,96762,Crawfordsville-TP4-4351,10,15,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,Crawfordsville,TP4,4351
3,Crawfordsville-TP4-4351_10_16,798.5841121495328,811.5,170897,655.7056074766355,665.0,140321,528.1542056074767,533.0,113025,-0.0039293220036093,-0.0058208094200287,-0.8408749087724005,-0.0949446988960286,-0.100122249388753,-20.31816556375013,0.4067666913095414,0.4020981324593931,87.04807194024187,0.1351231525341311,0.1387350874384982,28.916354642304064,1435.0327102803735,1453.5,307097,486.81775700934577,493.0,104179,Crawfordsville-TP4-4351,10,16,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,Crawfordsville,TP4,4351
4,Crawfordsville-TP4-4351_10_17,680.2307692307693,681.0,141488,680.25,688.5,141492,501.1442307692308,502.0,104238,0.0723283391977662,0.0732444913774961,15.044294553135378,0.0039029987877085,0.0034801070131392,0.8118237478433692,0.5748834478174693,0.5804055034288604,119.5757571460336,0.194798250505893,0.2008114892577756,40.51803610522575,1695.1442307692307,1734.5,352590,483.14903846153845,484.0,100495,Crawfordsville-TP4-4351,10,17,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP4,4351
5,Crawfordsville-TP4-4351_10_18,677.9285714285714,645.0,142365,610.0952380952381,574.5,128120,474.6333333333333,453.5,99673,0.029569587743908,0.0301075593691461,6.209613426220692,-0.049265738937956,-0.0504470426409903,-10.345805176970776,0.4614478704758136,0.4533262400567462,96.90405279992086,0.1546570421587866,0.1582717588959716,32.4779788533452,1349.942857142857,1230.5,283488,468.9190476190476,459.5,98473,Crawfordsville-TP4-4351,10,18,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,Crawfordsville,TP4,4351
6,Crawfordsville-TP4-4351_10_19,628.7952380952381,642.5,132047,607.8952380952381,621.0,127658,469.4047619047619,478.0,98575,0.0529766900169371,0.0523183671262443,11.1251049035568,-0.0123070683116671,-0.0133091534208932,-2.5844843454501096,0.5738395484226794,0.5805595153753561,120.50630516876268,0.1968496000922226,0.2005837995621503,41.33841601936675,1554.5190476190476,1616.5,326449,456.72857142857146,458.0,95913,Crawfordsville-TP4-4351,10,19,,,,,,,,,,,,,,,,,Crawfordsville,TP4,4351
7,Crawfordsville-TP4-4351_10_20,793.945205479452,811.0,173874,679.2009132420092,689.0,148745,532.5296803652968,543.0,116624,0.0148491233781769,0.0100558659217877,3.251958019820747,-0.0726742828358822,-0.0804150453955901,-15.915667941058215,0.4683207463254766,0.4636840651753659,102.56224344527938,0.157314485295422,0.1612284069097888,34.45187227969743,1580.2602739726028,1585.0,346077,485.37899543379,488.0,106298,Crawfordsville-TP4-4351,10,20,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,Crawfordsville,TP4,4351
8,Crawfordsville-TP4-4351_11_13,759.6398104265403,768.0,160284,647.5118483412323,650.0,136625,507.17535545023696,509.0,107014,0.0139980293233777,0.0080474375264718,2.953584187232696,-0.0745713165442621,-0.0794602698650674,-15.734547790839308,0.4760269837354793,0.4620135886349598,100.44169356818614,0.1587092366718568,0.1587301587301587,33.487648937761804,1542.78672985782,1543.0,325528,473.1611374407583,473.0,99837,Crawfordsville-TP4-4351,11,13,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,Crawfordsville,TP4,4351
9,Crawfordsville-TP4-4351_11_14,853.8373205741627,870.0,178452,686.2057416267943,694.0,143417,536.4306220095693,540.0,112114,-0.0046434148100478,-0.0090692124105011,-0.9704736953000084,-0.1055827916152278,-0.1128205128205128,-22.06680344758263,0.4207609750553608,0.4144595561918396,87.93904378657042,0.1404585591199833,0.1426238432226456,29.355838856076524,1566.0239234449762,1565.0,327299,496.9952153110048,497.0,103872,Crawfordsville-TP4-4351,11,14,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,Crawfordsville,TP4,4351
