file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Crawfordsville-TP6-4351_10_13,1404.5450236966824,1483.0,296359,1017.0142180094787,1058.0,214590,773.2227488151659,800.0,163150,-0.02737511724469237,-0.03421309872922776,-5.776149738630091,-0.14860775020789968,-0.16143332101957886,-31.356235293866835,0.14860775020789968,0.16143332101957886,31.356235293866835,0.2534653163679028,0.21942627075993962,53.48118175362749,0.38837781109234454,0.368662274419937,81.9477181404847,0.38012252153731835,0.32909799974839604,80.20585204437417,0.10236125316909067,0.10517315091919624,21.598224418678132,1801.9668246445497,1852.0,380215,621.6255924170616,632.0,131163,2215.440758293839,2301.0,467458
Crawfordsville-TP6-4351_10_14,1396.845,1421.0,279369,992.87,990.5,198574,755.735,768.5,151147,-0.03489179789648372,-0.03847513824301181,-6.978359579296744,-0.16057632590015228,-0.17151469567904476,-32.115265180030455,0.16057632590015228,0.17151469567904476,32.115265180030455,0.26601699653664784,0.23734053637820673,53.20339930732957,0.4095806775348027,0.39093688266620596,81.91613550696054,0.39895288194599876,0.35596445220779044,79.79057638919976,0.10628752225476486,0.10675152853612438,21.257504450952972,1841.845,1825.0,368369,606.485,620.0,121297,2278.585,2274.0,455717
Crawfordsville-TP6-4351_10_15,1451.49,1542.5,290298,1041.28,1099.0,208256,785.67,826.5,157134,-0.027959268033625594,-0.03522677562661654,-5.5918536067251186,-0.15272731325431935,-0.16244785388671457,-30.54546265086387,0.15272731325431935,0.16244785388671457,30.54546265086387,0.24083608980644122,0.2133761163182507,48.167217961288245,0.3804741900104907,0.3706909676370258,76.09483800209814,0.3611887191219148,0.3200258126650037,72.23774382438296,0.09877423441476404,0.09908841885178897,19.75484688295281,1850.215,1921.5,370043,627.72,654.0,125544,2258.03,2358.5,451606
Crawfordsville-TP6-4351_10_16,1351.8962264150944,1267.0,286602,970.0330188679245,890.0,205647,744.4292452830189,689.5,157819,-0.030181888757537422,-0.038473036380415146,-6.398560416597934,-0.1518377747902965,-0.1641103541336889,-32.18960825554286,0.1518377747902965,0.1641103541336889,32.18960825554286,0.258753422648694,0.2383552320731963,54.85572560152313,0.3962507183479264,0.3858563253938653,84.0051522897604,0.3880539843789191,0.35748057223917784,82.26744468833084,0.1041916086918934,0.10595723168697235,22.0886210426814,1746.7264150943397,1667.5,370306,622.311320754717,586.0,131930,2157.0943396226417,2058.0,457304
Crawfordsville-TP6-4351_10_17,1329.5,1242.0,273877,942.6699029126214,902.0,194190,719.495145631068,678.0,148216,-0.018624006146233385,-0.04006428281313463,-3.836545266124077,-0.1361166997690544,-0.1646586219166889,-28.040040152425206,0.1361166997690544,0.1646586219166889,28.040040152425206,0.3119669040627245,0.26097270310778276,64.26518223692125,0.43606279578846846,0.41058434889747525,89.8289359324245,0.4678427419233068,0.3914143295910494,96.3756048362012,0.10486713915647967,0.10577930216466032,21.602630666234813,1818.509708737864,1686.0,374613,601.1213592233009,565.0,123831,2264.0339805825242,2137.0,466391
Crawfordsville-TP6-4351_10_18,1503.7428571428572,1596.5,315786,1080.4380952380952,1144.0,226892,820.8285714285714,874.0,172374,-0.03207114441941773,-0.03763049055891964,-6.734940328077723,-0.15828450468481864,-0.16381298028705693,-33.239745983811915,0.15828450468481864,0.16381298028705693,33.239745983811915,0.24113280146292468,0.21239050066040005,50.63788830721418,0.38490970142673947,0.36674894847102,80.83103729961529,0.361639724408535,0.31854626316017165,75.94434212579235,0.10659819373745374,0.10790895926277122,22.385620684865287,1901.0904761904762,1950.5,399229,661.3428571428572,693.0,138882,2359.0095238095237,2447.0,495392
Crawfordsville-TP6-4351_10_19,1363.2761904761905,1252.5,286288,960.9761904761905,902.0,201805,713.5095238095238,659.0,149837,-0.025509910823505375,-0.033312304348826635,-5.357081272936129,-0.1550003506741081,-0.1678833339554395,-32.550073641562705,0.1550003506741081,0.1678833339554395,32.550073641562705,0.281997915123718,0.24856048455211494,59.21956217598079,0.4204268395892706,0.4017832788393346,88.28963631374683,0.42290701381963147,0.3727857153100921,88.81047290212261,0.1141135921062613,0.11679070275550713,23.963854342314875,1760.3,1691.0,369663,593.2,550.5,124572,2222.4380952380952,2088.0,466712
Crawfordsville-TP6-4351_10_20,1389.1141552511415,1446.0,304216,1001.3926940639269,1050.0,219305,763.945205479452,782.0,167304,-0.028992953674002092,-0.035535976505139504,-6.3494568546064585,-0.15129175365291514,-0.1626485568760611,-33.132894049988415,0.15129175365291514,0.1626485568760611,33.132894049988415,0.25276292592487354,0.22487268828732243,55.3550807775473,0.3898634183077677,0.3737796373779637,85.38008860940113,0.3790738437650189,0.3372638349189334,83.01717178453914,0.09886059815458129,0.09771026978009521,21.6504709958533,1812.146118721461,1843.0,396860,631.8173515981736,657.0,138368,2208.296803652968,2267.0,483617
Crawfordsville-TP6-4351_11_13,1440.2322274881517,1554.0,303889,1022.9194312796209,1079.0,215836,774.872037914692,833.0,163498,-0.03324254705188177,-0.04083147735708983,-7.014177427947052,-0.15803649930535502,-0.17043253712072304,-33.34570135342991,0.15803649930535502,0.17043253712072304,33.34570135342991,0.2530859146244826,0.223121387283237,53.40112798576583,0.3963978414569934,0.38106796116504854,83.63994454742561,0.379556893391599,0.3346433938273032,80.08650450562739,0.10326491398232988,0.10488676996424315,21.788896850271605,1849.8815165876777,1940.0,390325,619.9810426540284,663.0,130816,2285.260663507109,2430.0,482190
Crawfordsville-TP6-4351_11_14,1432.576923076923,1357.5,297976,1036.5528846153845,992.5,215603,797.2259615384615,775.5,165823,-0.02988159120149188,-0.03770540584288143,-6.215370969910311,-0.15020253131636013,-0.16001775011403624,-31.24212651380291,0.15020253131636013,0.16001775011403624,31.24212651380291,0.24400671083705638,0.2208587939153911,50.75339585410773,0.3812788316533024,0.3712443692287939,79.3059969838869,0.36594454924446673,0.3312441717791411,76.11646624284909,0.09517071261877422,0.09389392371980078,19.79550822470504,1856.076923076923,1771.0,386064,640.9855769230769,629.0,133325,2246.721153846154,2174.0,467318
