,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
0,Crawfordsville-TP3-4351_10_13,526.8388625592418,535.0,111163,690.1184834123222,693.0,145615,554.0236966824644,555.0,116899,0.1238975491160582,0.1195383347073371,26.142382863488283,0.1396207496992185,0.1298405466970387,29.459978186535103,0.7931823253020804,0.7890749601275917,167.36147063873898,0.3600368629729027,0.3598956824108953,75.96777808728248,2128.4265402843603,2129.0,449098,587.1374407582938,592.0,123886,Crawfordsville-TP3-4351,10,13,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,Crawfordsville,TP3,4351
1,Crawfordsville-TP3-4351_10_14,450.5,443.0,90100,606.115,597.0,121223,523.145,515.0,104629,0.1114542075582548,0.1089984655466107,22.29084151165097,0.1539236637936365,0.1474153962547648,30.78473275872731,0.8177642361990398,0.8195341652627156,163.55284723980796,0.3753880372163812,0.3758343093675618,75.07760744327625,2017.095,2002.0,403419,546.555,541.5,109311,Crawfordsville-TP3-4351,10,14,,,,,,,,,,,,,,,,,Crawfordsville,TP3,4351
2,Crawfordsville-TP3-4351_10_15,541.475,545.0,108295,697.83,700.5,139566,575.52,578.0,115104,0.1130023731159222,0.1123555572662308,22.600474623184446,0.1314858931857712,0.1272213921010082,26.297178637154254,0.7877892929948325,0.7887467994495518,157.5578585989665,0.3546869740845755,0.3555691238013161,70.93739481691512,2152.13,2170.0,430426,583.99,581.0,116798,Crawfordsville-TP3-4351,10,15,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,Crawfordsville,TP3,4351
3,Crawfordsville-TP3-4351_10_16,514.5794392523364,497.0,110120,679.0981308411215,668.5,145327,563.1401869158879,553.5,120512,0.1182054096394746,0.1179018860393451,25.29595766284758,0.144906250221313,0.1450915452124261,31.009937547360988,0.795158571429858,0.7948021181716833,170.16393428598963,0.357408982550349,0.3572860703432956,76.48552226577468,2108.528037383177,2095.5,451225,576.0140186915888,566.0,123267,Crawfordsville-TP3-4351,10,16,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,Crawfordsville,TP3,4351
4,Crawfordsville-TP3-4351_10_17,560.9903846153846,578.5,116686,716.8990384615385,728.5,149115,579.1394230769231,590.5,120461,0.1193867869003393,0.1148525000717898,24.832451675270587,0.1343962573399762,0.1194490942830926,27.95442152671506,0.7823219746248797,0.777564989827472,162.72297072197497,0.3517181619530116,0.3515467034950895,73.15737768622643,2155.264423076923,2160.5,448295,595.3701923076923,598.0,123837,Crawfordsville-TP3-4351,10,17,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP3,4351
5,Crawfordsville-TP3-4351_10_18,547.8,553.5,115038,682.2095238095238,681.0,143264,564.452380952381,566.0,118535,0.1059253037870146,0.0993281154561854,22.244313795273083,0.1187178422088818,0.1063297605011003,24.930746863865178,0.7777177730276069,0.7723373711264465,163.32073233579746,0.3467079948653939,0.3472410880534544,72.80867892173272,2091.5238095238096,2090.0,439220,580.8904761904762,583.5,121987,Crawfordsville-TP3-4351,10,18,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,Crawfordsville,TP3,4351
6,Crawfordsville-TP3-4351_10_19,465.65238095238095,456.5,97787,633.1380952380953,626.0,132959,526.2619047619048,521.5,110515,0.1236145761392298,0.1234920437850476,25.959060989238264,0.1580768589516731,0.1558441558441558,33.196140379851364,0.8147455303773591,0.8153907716167705,171.0965613792454,0.3730992545966713,0.3726165342869259,78.35084346530098,2064.0,2051.5,433440,554.9142857142857,549.5,116532,Crawfordsville-TP3-4351,10,19,,,,,,,,,,,,,,,,,Crawfordsville,TP3,4351
7,Crawfordsville-TP3-4351_10_20,535.3059360730593,556.0,117232,699.2557077625571,716.0,153137,572.6392694063927,581.0,125408,0.119842977414246,0.1154614462644826,26.24561205371989,0.1426356025282008,0.1261829652996845,31.237196953675976,0.8002659924618628,0.7925764192139738,175.25825234914797,0.3597685262781432,0.3590546697038724,78.78930725491337,2235.086757990868,2256.0,489484,593.8264840182649,604.0,130048,Crawfordsville-TP3-4351,10,20,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,Crawfordsville,TP3,4351
8,Crawfordsville-TP3-4351_11_13,515.473933649289,526.0,108765,690.2985781990521,699.0,145653,552.4265402843602,560.0,116562,0.1291069518925867,0.1275964391691394,27.241566849335808,0.1490411800671949,0.1419302514193025,31.44768899417814,0.8025025288059261,0.7984777093149692,169.3280335780504,0.3587573672012251,0.3594374741486281,75.6978044794585,2206.0758293838862,2224.0,465482,565.0331753554502,568.0,119222,Crawfordsville-TP3-4351,11,13,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,Crawfordsville,TP3,4351
9,Crawfordsville-TP3-4351_11_14,547.1818181818181,554.0,114361,724.8038277511962,728.0,151484,578.8277511961722,578.0,120975,0.1269858900429711,0.1261538461538461,26.540051018980968,0.1431494492032913,0.1385061638868745,29.91823488348789,0.7963825415508172,0.7954341182815028,166.4439511841208,0.3498559143389018,0.3505515200430454,73.11988609683048,2310.9808612440197,2326.0,482995,595.2392344497607,596.0,124405,Crawfordsville-TP3-4351,11,14,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,Crawfordsville,TP3,4351
10,Crawfordsville-TP3-4351_11_15,531.2864077669902,534.0,109445,707.9466019417475,707.0,145837,566.504854368932,566.0,116700,0.1292293630820575,0.1267714263543854,26.62124879490385,0.1485483341994087,0.1422978531861667,30.600956845078187,0.7958418501319203,0.7947152212895845,163.94342112717558,0.3436852083301389,0.3442400776605442,70.79915291600861,2259.660194174757,2266.5,465490,580.5825242718447,579.0,119600,Crawfordsville-TP3-4351,11,15,30000.0,15.76,145.08,60.0,,,,,,,,,,,6.67,209.0,Crawfordsville,TP3,4351
11,Crawfordsville-TP3-4351_11_16,523.1666666666666,526.5,109865,692.1238095238095,694.0,145346,562.552380952381,560.0,118136,0.122830164760531,0.1232858237547892,25.79433459971151,0.143824379317393,0.1393920595533498,30.203119656652536,0.7990770083508654,0.7993241349247232,167.80617175368172,0.3538307022927425,0.3540108871093401,74.30444748147593,2217.8571428571427,2219.5,465750,576.5952380952381,575.0,121085,Crawfordsville-TP3-4351,11,16,27000.0,21.41,195.96,54.0,,,,,,,,,,,7.41,229.0,Crawfordsville,TP3,4351
12,Crawfordsville-TP3-4351_11_17,515.3700440528635,506.0,116989,675.5154185022027,672.0,153342,549.9295154185022,547.0,124834,0.1205434480980345,0.1190082644628099,27.36336271825385,0.1398486123697489,0.1371900826446281,31.74563500793301,0.7934852136661644,0.7941359950093575,180.12114350221933,0.3529608525117395,0.3537465037538643,80.12211352016487,2121.4361233480176,2121.0,481566,565.9074889867842,563.0,128461,Crawfordsville-TP3-4351,11,17,26500.0,17.98,167.22,53.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP3,4351
