,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
455,Crawfordsville-TP5-4353_30_45,988.7571428571428,1010.5,207639,775.9428571428572,789.5,162948,640.7285714285714,652.0,134553,-0.0196786895813494,-0.0252916779834824,-4.132524812083388,-0.1124235235905653,-0.124027952551604,-23.608939954018727,0.2351144357417849,0.2266149495310805,49.37403150577483,0.1066814178836708,0.1126823681720858,22.403097755570883,1259.4333333333334,1282.5,264481,544.3904761904762,551.5,114322,Crawfordsville-TP5-4353,30,45,31000.0,17.46,158.15,62.0,,,,,,,,,,,0.0,220.0,Crawfordsville,TP5,4353
456,Crawfordsville-TP5-4353_30_46,958.7044334975368,942.0,194617,730.7733990147783,707.0,148347,606.5960591133005,585.0,123139,-0.0320594669691162,-0.0347540983606557,-6.508071794730606,-0.1305902475243766,-0.1346153846153846,-26.50982024744845,0.2465132793394209,0.245136186770428,50.04219570590245,0.1147530430018616,0.116860465116279,23.294867729377923,1237.79802955665,1224.0,251273,532.0246305418719,525.0,108001,Crawfordsville-TP5-4353,30,46,24500.0,18.23,161.49,49.0,,,,,,,,,,,2.04,244.0,Crawfordsville,TP5,4353
457,Crawfordsville-TP5-4353_31_42,1064.655,1038.5,212931,809.775,781.5,161955,652.7,637.5,130540,-0.0238945254370827,-0.0252125690291484,-4.778905087416556,-0.1266500526666381,-0.1328956928865984,-25.330010533327638,0.2457997172454505,0.2415215555466112,49.15994344909012,0.1124153805184356,0.1154793924024693,22.483076103687136,1361.375,1326.0,272275,553.35,532.5,110670,Crawfordsville-TP5-4353,31,42,29500.0,19.97,181.52,59.0,,,,,,,,,,,8.47,209.0,Crawfordsville,TP5,4353
458,Crawfordsville-TP5-4353_31_43,1082.047846889952,1074.0,226148,814.0622009569378,797.0,170139,660.133971291866,654.0,137968,-0.0308162453673721,-0.0350047303689687,-6.440595281780778,-0.1355454457132278,-0.1419558359621451,-28.32899815406461,0.2386906439386872,0.2326706072004298,49.886344583185625,0.1118121966439678,0.1153225806451613,23.368749098589287,1379.937799043062,1361.0,288407,562.1387559808612,560.0,117487,Crawfordsville-TP5-4353,31,43,24500.0,16.54,150.17,49.0,,,,,,,,,,,32.65,212.0,Crawfordsville,TP5,4353
459,Crawfordsville-TP5-4353_31_44,969.940594059406,970.5,195928,757.6039603960396,761.0,153036,632.1485148514852,635.0,127694,-0.0242943748038694,-0.0257898358214619,-4.9074637103816325,-0.1157748355502254,-0.1236083005978771,-23.38651678114553,0.2450387570891039,0.2370012328081407,49.497828931999,0.1101217116752825,0.1166494155446048,22.24458575840708,1251.90099009901,1272.0,252884,542.6732673267327,548.0,109620,Crawfordsville-TP5-4353,31,44,28000.0,16.06,146.83,56.0,,,,,,,,,,,0.0,233.0,Crawfordsville,TP5,4353
460,Crawfordsville-TP5-4353_31_45,990.69,1027.0,198138,770.57,787.5,154114,644.09,662.0,128818,-0.0265530169412543,-0.030370602058808,-5.3106033882508745,-0.1193158971870191,-0.1253335547634644,-23.863179437403826,0.2388323496585082,0.2337063470239732,47.76646993170164,0.1125575617079794,0.1183679165638817,22.51151234159589,1263.215,1293.0,252643,549.79,554.0,109958,Crawfordsville-TP5-4353,31,45,29000.0,21.15,191.8,58.0,,,,,,,,,,,0.0,241.0,Crawfordsville,TP5,4353
461,Crawfordsville-TP5-4353_31_46,906.0622009569378,915.0,189367,700.6459330143541,706.0,146435,604.7607655502393,607.0,126395,-0.034509119993839,-0.037037037037037,-7.212406078712351,-0.1213473245398168,-0.1285116557083084,-25.36159082882173,0.2482483647520922,0.2406602953953084,51.883908233187285,0.1126269094852344,0.1169840652934317,23.539024082414,1174.4114832535886,1190.0,245452,542.3923444976076,549.0,113360,Crawfordsville-TP5-4353,31,46,32000.0,11.76,106.89,64.0,,,,,,,,,,,3.12,191.0,Crawfordsville,TP5,4353
462,Crawfordsville-TP5-4353_32_42,1045.0601851851852,1032.0,225733,798.675925925926,781.5,172514,649.9583333333334,636.0,140391,-0.0254351211494993,-0.0291663828230116,-5.493986168291851,-0.1261253910333374,-0.1321466439783734,-27.24308446320088,0.2483556811116839,0.2416465284877776,53.644827120123736,0.1140571916149567,0.1189941036855212,24.636353388830663,1347.0462962962963,1328.0,290962,556.1666666666666,548.5,120132,Crawfordsville-TP5-4353,32,42,26000.0,19.87,176.64,52.0,,,,,,,,,,,5.77,224.0,Crawfordsville,TP5,4353
463,Crawfordsville-TP5-4353_32_43,997.2946859903382,1011.0,206440,778.2222222222222,794.0,161092,646.2946859903382,664.0,133783,-0.011880956006194,-0.0272628135223555,-2.459357893282168,-0.0884917237887357,-0.1217750257997936,-18.317786824268296,0.2797423977466147,0.2538899430740038,57.90667633354925,0.1095901236942647,0.1210790464240903,22.685155604712804,1311.256038647343,1325.0,271430,555.0531400966183,571.0,114896,Crawfordsville-TP5-4353,32,43,,,,,,,,,,,,,,,,,Crawfordsville,TP5,4353
464,Crawfordsville-TP5-4353_32_44,969.4975609756098,957.0,198747,741.1414634146341,734.0,151934,622.439024390244,613.0,127600,-0.0331666181594952,-0.0350515463917525,-6.79915672269653,-0.1284002751769184,-0.1317647058823529,-26.32205641126827,0.2391574252449261,0.2365225837785332,49.027272175209866,0.1120937647298536,0.1152518978605935,22.97922176962,1240.2341463414634,1226.0,254248,527.9268292682926,522.0,108225,Crawfordsville-TP5-4353,32,44,28500.0,20.06,180.44,57.0,,,,,,,,,,,10.53,222.0,Crawfordsville,TP5,4353
