file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Crawfordsville-TP4-4351_10_13,754.4644549763033,754.0,159192,646.9526066350711,655.0,136507,500.8388625592417,500.0,105677,0.016901143961679316,0.014036580178647383,3.5661413759143357,-0.073047535166428,-0.07739938080495357,-15.413029920116307,0.073047535166428,0.07739938080495357,15.413029920116307,0.4741046317670911,0.4590395480225989,100.03607730285623,0.5296829246770568,0.5255775577557755,111.76309710685898,0.7110287607457917,0.6884377758164166,150.02706851736204,0.16212959840879682,0.16262650035302423,34.20934526425613,1518.4739336492892,1532.0,320398,466.9478672985782,463.0,98526,2122.270142180095,2118.0,447799
Crawfordsville-TP4-4351_10_14,701.925,704.5,140385,647.595,662.0,129519,495.32,500.5,99064,0.04149233033716186,0.04267641202467097,8.298466067432372,-0.03570735259164756,-0.03886827370667271,-7.141470518329512,0.03570735259164756,0.03886827370667271,7.141470518329512,0.5377324681132621,0.5428461665111683,107.54649362265243,0.5630808424163135,0.5697909812499629,112.6161684832627,0.80645968120337,0.8141082072044097,161.291936240674,0.18251986775406845,0.18810611121454046,36.50397355081369,1603.43,1655.0,320686,461.475,466.0,92295,2333.48,2425.0,466696
Crawfordsville-TP4-4351_10_15,793.17,785.5,158634,661.88,656.0,132376,518.655,515.5,103731,0.00511675671650044,0.002446696959105208,1.023351343300088,-0.08903459531381822,-0.09233093397316272,-17.806919062763644,0.08903459531381822,0.09233093397316272,17.806919062763644,0.42114076677458634,0.4070333811002888,84.22815335491727,0.49215770897462413,0.48796459065796083,98.43154179492483,0.6315950497135797,0.610443796576453,126.31900994271595,0.14018045109166322,0.14427690663279336,28.036090218332642,1471.96,1488.0,294392,483.81,482.5,96762,1965.62,1992.5,393124
Crawfordsville-TP4-4351_10_16,798.5841121495328,811.5,170897,655.7056074766355,665.0,140321,528.1542056074767,533.0,113025,-0.003929322003609348,-0.005820809420028735,-0.8408749087724005,-0.09494469889602865,-0.10012224938875305,-20.31816556375013,0.09494469889602865,0.10012224938875305,20.31816556375013,0.40676669130954146,0.4020981324593931,87.04807194024187,0.4831250958705326,0.48341506881807284,103.38877051629397,0.6100319068879109,0.6030340370043383,130.54682807401292,0.13512315253413115,0.13873508743849827,28.916354642304064,1435.0327102803737,1453.5,307097,486.81775700934577,493.0,104179,1899.714953271028,1917.0,406539
Crawfordsville-TP4-4351_10_17,680.2307692307693,681.0,141488,680.25,688.5,141492,501.1442307692308,502.0,104238,0.07232833919776624,0.07324449137749614,15.044294553135378,0.0039029987877085056,0.0034801070131392662,0.8118237478433692,-0.0039029987877085056,-0.0034801070131392662,-0.8118237478433692,0.5748834478174693,0.5804055034288604,119.57575714603361,0.5731005903115717,0.5808999079096053,119.20492278480691,0.8621853159813959,0.8705052373928163,179.33454572413035,0.194798250505893,0.20081148925777562,40.51803610522575,1695.1442307692307,1734.5,352590,483.14903846153845,484.0,100495,2535.735576923077,2619.0,527433
Crawfordsville-TP4-4351_10_18,677.9285714285714,645.0,142365,610.0952380952381,574.5,128120,474.6333333333333,453.5,99673,0.029569587743908055,0.03010755936914617,6.209613426220692,-0.04926573893795608,-0.05044704264099037,-10.345805176970776,0.04926573893795608,0.05044704264099037,10.345805176970776,0.46144787047581365,0.4533262400567462,96.90405279992086,0.49944488261743925,0.49396418573221357,104.88342534966225,0.6920265613605555,0.6798421069537699,145.32557788571665,0.15465704215878667,0.15827175889597161,32.4779788533452,1349.942857142857,1230.5,283488,468.9190476190476,459.5,98473,1866.395238095238,1692.5,391943
Crawfordsville-TP4-4351_10_19,628.7952380952381,642.5,132047,607.8952380952381,621.0,127658,469.4047619047619,478.0,98575,0.052976690016937146,0.052318367126244374,11.125104903556801,-0.01230706831166719,-0.013309153420893269,-2.5844843454501096,0.01230706831166719,0.013309153420893269,2.5844843454501096,0.5738395484226794,0.5805595153753561,120.50630516876267,0.5824201742988039,0.5903969094076364,122.30823660274882,0.8606068776366409,0.8706718743442259,180.7274443036946,0.1968496000922226,0.20058379956215033,41.33841601936675,1554.5190476190476,1616.5,326449,456.72857142857146,458.0,95913,2335.9238095238097,2414.0,490544
Crawfordsville-TP4-4351_10_20,793.945205479452,811.0,173874,679.2009132420092,689.0,148745,532.5296803652968,543.0,116624,0.014849123378176926,0.01005586592178771,3.251958019820747,-0.07267428283588226,-0.08041504539559015,-15.915667941058215,0.07267428283588226,0.08041504539559015,15.915667941058215,0.4683207463254766,0.4636840651753659,102.56224344527938,0.523505024661191,0.5221719457013575,114.64760040080081,0.7023569408031201,0.6954300704128124,153.8161700358833,0.15731448529542208,0.16122840690978887,34.45187227969743,1580.2602739726028,1585.0,346077,485.37899543378995,488.0,106298,2188.5981735159817,2210.0,479303
Crawfordsville-TP4-4351_11_13,759.6398104265403,768.0,160284,647.5118483412323,650.0,136625,507.17535545023696,509.0,107014,0.013998029323377707,0.008047437526471834,2.9535841872326962,-0.07457131654426212,-0.07946026986506746,-15.734547790839308,0.07457131654426212,0.07946026986506746,15.734547790839308,0.47602698373547936,0.46201358863495984,100.44169356818614,0.5327968678350746,0.5265553869499241,112.42013911320075,0.7139120805526825,0.6929133858267716,150.63544899661602,0.15870923667185688,0.15873015873015872,33.487648937761804,1542.7867298578199,1543.0,325528,473.1611374407583,473.0,99837,2140.478672985782,2131.0,451641
Crawfordsville-TP4-4351_11_14,853.8373205741627,870.0,178452,686.2057416267943,694.0,143417,536.4306220095693,540.0,112114,-0.004643414810047887,-0.009069212410501194,-0.9704736953000084,-0.10558279161522789,-0.11282051282051282,-22.06680344758263,0.10558279161522789,0.11282051282051282,22.06680344758263,0.42076097505536086,0.41445955619183966,87.93904378657042,0.5041406687250601,0.504885993485342,105.36539976353757,0.6310293991569234,0.6215780998389694,131.885144423797,0.14045855911998337,0.14262384322264562,29.355838856076524,1566.0239234449762,1565.0,327299,496.9952153110048,497.0,103872,2093.842105263158,2071.0,437613
