file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum
Crawfordsville-TP6-4351_10_13,125.90277777777777,139.5,18130,111.79861111111111,125.0,16099,97.65277777777777,107.5,14062,-0.005929118140090309,0.0007680491551459293,-0.8537930121730045,-0.0674766216731882,-0.05723905723905724,-9.716633520939101
Crawfordsville-TP6-4351_10_14,124.83333333333333,136.0,17976,109.09027777777777,120.0,15709,95.20138888888889,104.5,13709,-0.007468710828919734,-0.004170214244756824,-1.0754943593644417,-0.07304964551942672,-0.06463878326996197,-10.519148954797448
Crawfordsville-TP6-4351_10_15,129.44444444444446,142.5,18640,114.96527777777777,128.0,16555,99.23611111111111,111.0,14290,0.003147358680393366,0.0018692633704740242,0.4532196499766447,-0.059743149711904565,-0.060552140623315,-8.603013558514258
Crawfordsville-TP6-4351_10_16,125.75,140.0,18108,111.20138888888889,123.5,16013,97.56944444444444,107.0,14050,-0.004334688119698702,-0.0017828937541513458,-0.6241950892366132,-0.06510101885223701,-0.05970149253731343,-9.37454671472213
Crawfordsville-TP6-4351_10_17,120.47916666666667,136.5,17349,105.04166666666667,120.0,15126,91.72916666666667,104.0,13209,-0.014925193890181146,-0.007225569326831714,-2.149227920186085,-0.0815614190425513,-0.06939666776345309,-11.744844342127388
Crawfordsville-TP6-4351_10_18,129.83333333333334,139.0,18696,115.11111111111111,124.0,16576,99.88194444444444,107.0,14383,0.00022474161964786707,0.0,0.032362793229292856,-0.06326990898059792,-0.05926099351337952,-9.1108668932061
Crawfordsville-TP6-4351_10_19,124.3125,135.5,17901,107.38194444444444,117.5,15463,92.19444444444444,99.0,13276,-0.007825952009348327,-0.0023597004206422486,-1.126937089346159,-0.08064779669367615,-0.07154346713460555,-11.613282723889366
Crawfordsville-TP6-4351_10_20,127.18055555555556,140.5,18314,112.59027777777777,125.0,16213,98.42361111111111,109.0,14173,-0.0020669997598543157,-0.0015509244230921826,-0.29764796541902144,-0.06326542192582946,-0.060240963855421686,-9.110220757319441
Crawfordsville-TP6-4351_11_13,126.00694444444444,145.5,18145,110.61111111111111,128.0,15928,96.27083333333333,112.0,13863,-0.008099165894754366,0.0,-1.1662798888446289,-0.07245679340471195,-0.06197910816578681,-10.433778250278522
Crawfordsville-TP6-4351_11_14,129.86111111111111,140.5,18700,115.74305555555556,125.5,16667,101.46527777777777,109.0,14611,-0.0002443913185052303,0.0,-0.03519234986475317,-0.05920216956281773,-0.057904897378581593,-8.525112417045753
Crawfordsville-TP6-4351_11_15,123.5625,138.0,17793,110.46527777777777,123.0,15907,96.04166666666667,106.0,13830,0.0036159133840274454,0.0019960397933043023,0.5206915272999522,-0.056199426547110916,-0.056052805280528056,-8.092717422783972
Crawfordsville-TP6-4351_11_16,126.40277777777777,140.5,18202,112.34027777777777,124.5,16177,97.65972222222223,108.0,14063,0.0013199463875705507,0.0,0.1900722798101593,-0.06037105307107313,-0.05791112708108756,-8.69343164223453
Crawfordsville-TP6-4351_11_17,121.0625,138.5,17433,104.81944444444444,122.0,15094,91.41666666666667,105.0,13164,-0.01085327600189963,-0.0052173913043478265,-1.5628717442735467,-0.07812932173479076,-0.06930693069306931,-11.25062232980987
Crawfordsville-TP6-4351_11_18,119.83333333333333,131.5,17256,105.95138888888889,118.5,15257,92.86805555555556,104.0,13373,-0.013229191349200795,0.002284732884019881,-1.9050035542849144,-0.0760897591835202,-0.055944055944055944,-10.95692532242691
Crawfordsville-TP6-4351_11_19,128.47222222222223,144.0,18500,113.86111111111111,127.0,16396,99.95138888888889,112.0,14393,-0.004278708419732185,-0.001631599260057758,-0.6161340124414346,-0.06326904248537328,-0.059233449477351915,-9.110742117893752
Crawfordsville-TP6-4351_11_20,122.52083333333333,134.0,17643,108.08333333333333,118.0,15564,94.96527777777777,103.5,13675,-0.0058667669139929775,-0.004815607825555959,-0.8448144356149887,-0.06522128468458449,-0.06521309791839475,-9.391864994580166
Crawfordsville-TP6-4351_12_13,123.10416666666667,140.0,17727,106.875,122.0,15390,94.33333333333333,106.5,13584,-0.01978798176747061,-0.005349293276672568,-2.849469374515768,-0.08311627498778242,-0.06723593570608496,-11.968743598240668
Crawfordsville-TP6-4351_12_14,130.07638888888889,139.5,18731,115.46527777777777,125.0,16627,100.52777777777777,107.5,14476,-0.003178627918482972,0.0029586057789098676,-0.4577224202615479,-0.06595713772538417,-0.0563508064516129,-9.49782783245532
Crawfordsville-TP6-4351_12_15,133.40972222222223,144.0,19211,118.67361111111111,126.0,17089,102.71527777777777,109.0,14791,0.0028374242213247166,0.00202020202020202,0.4085890878707592,-0.06016861181969037,-0.05673758865248227,-8.664280102035413
Crawfordsville-TP6-4351_12_16,135.92361111111111,146.0,19573,120.96527777777777,131.0,17419,104.80555555555556,112.5,15092,0.003173470759807,0.0018215177987836641,0.456979789412208,-0.059026088751417904,-0.059006780282206336,-8.499756780204178
Crawfordsville-TP6-4351_12_17,123.75694444444444,145.0,17821,108.05555555555556,127.0,15560,92.97222222222223,108.5,13388,-0.0033850265037778586,0.0,-0.48744381654401164,-0.07223541039865748,-0.06666666666666667,-10.401899097406677
Crawfordsville-TP6-4351_12_18,124.75694444444444,140.5,17965,108.69444444444444,124.0,15652,94.35416666666667,107.0,13587,-0.01409561143538095,-0.0020094634048122423,-2.0297680466948567,-0.08400135450363755,-0.06419413919413919,-12.096195048523807
Crawfordsville-TP6-4351_12_19,121.68055555555556,139.0,17522,109.3125,124.0,15741,93.9375,106.0,13527,0.009759213684020444,0.007246757338654624,1.4053267704989438,-0.051938850828282396,-0.05244819365486888,-7.4791945192726645
Crawfordsville-TP6-4351_12_20,135.29861111111111,141.0,19483,119.5,124.5,17208,103.95833333333333,107.5,14970,-0.0006336851861389077,0.0,-0.0912506668040027,-0.06248110159410177,-0.06172839506172839,-8.997278629550655
Crawfordsville-TP6-4351_13_13,127.42361111111111,141.5,18349,111.67361111111111,125.0,16081,97.98611111111111,108.0,14110,-0.006978773720671627,-0.0038022813688212928,-1.0049434157767143,-0.06972148261140726,-0.06405128205128205,-10.039893496042644
Crawfordsville-TP6-4351_13_14,128.51388888888889,140.0,18506,114.13194444444444,124.0,16435,99.5625,108.5,14337,-0.0002917385274656075,-0.0006501950585175553,-0.042010347955047475,-0.06044368096623384,-0.061224489795918366,-8.703890059137674
Crawfordsville-TP6-4351_13_15,123.77083333333333,139.0,17823,109.20138888888889,122.0,15725,95.02083333333333,107.5,13683,-0.0027768248974915687,0.0,-0.3998627852387859,-0.06740384946774124,-0.06163054598478345,-9.706154323354738
Crawfordsville-TP6-4351_13_16,127.95833333333333,143.0,18426,110.45833333333333,125.0,15906,97.86805555555556,109.0,14093,-0.018926252156398003,-0.008868621746992688,-2.7253803105213126,-0.08385772541772682,-0.06896551724137931,-12.075512460152662
Crawfordsville-TP6-4351_13_17,119.28472222222223,141.5,17177,105.61805555555556,124.5,15209,91.11111111111111,106.5,13120,0.0013404488511295993,0.001684402433466104,0.19302463456266228,-0.0617003931805761,-0.06175208850756378,-8.884856618002958
Crawfordsville-TP6-4351_13_18,125.30555555555556,138.0,18044,111.71527777777777,125.0,16087,97.74305555555556,109.0,14075,-0.0011064837172695872,0.0,-0.15933365528682056,-0.06223564485045279,-0.056179775280898875,-8.961932858465202
Crawfordsville-TP6-4351_13_19,125.59027777777777,142.0,18085,111.88194444444444,126.0,16111,97.19444444444444,108.5,13996,0.0013679778914072725,0.002849372894427081,0.19698881636264723,-0.05954274834668094,-0.05679688797172608,-8.574155761922055
Crawfordsville-TP6-4351_13_20,134.18055555555554,142.0,19322,119.83333333333333,125.0,17256,102.96527777777777,107.0,14827,0.006698223820784128,0.003759451628860151,0.9645442301929145,-0.05655021301207619,-0.05794303620390577,-8.143230673738971
Crawfordsville-TP6-4351_14_13,131.11805555555554,141.0,18881,116.1875,125.0,16731,102.08333333333333,109.0,14700,-0.0032984060234213953,-0.0017762213493603394,-0.4749704673726809,-0.06271545224624148,-0.059006780282206336,-9.031025123458774
Crawfordsville-TP6-4351_14_14,130.65972222222223,139.5,18815,117.86111111111111,125.0,16972,101.52083333333333,107.0,14619,0.007531676920161081,0.007435046987285794,1.0845614765031957,-0.052527288159629475,-0.052251807166259295,-7.5639294949866445
Crawfordsville-TP6-4351_14_15,128.43055555555554,145.0,18494,113.72916666666667,130.0,16377,99.04861111111111,112.0,14263,-0.0028705827194860163,0.0007407407407407407,-0.41336391160598634,-0.06619079765964576,-0.05791112708108756,-9.53147486298899
Crawfordsville-TP6-4351_14_16,125.61805555555556,140.0,18089,111.36111111111111,124.5,16036,95.76388888888889,107.0,13790,0.0019832666307621483,0.0024953173906820743,0.28559039482974935,-0.0643828171207901,-0.05985074626865672,-9.271125665393773
Crawfordsville-TP6-4351_14_17,123.47916666666667,140.0,17781,107.85416666666667,124.0,15531,93.625,107.0,13482,-0.005975967736161228,-0.003704161007531794,-0.8605393540072168,-0.07296390098151809,-0.06666666666666667,-10.506801741338604
Crawfordsville-TP6-4351_14_18,125.90972222222223,141.5,18131,111.47222222222223,126.5,16052,96.38194444444444,110.0,13879,-0.009409061722500231,0.0,-1.3549048880400334,-0.07525941235580788,-0.06141217756085755,-10.837355379236335
Crawfordsville-TP6-4351_14_19,120.32638888888889,138.0,17327,104.63194444444444,121.5,15067,92.83333333333333,106.5,13368,-0.016407066948769217,-0.00663720062847829,-2.3626176406227675,-0.0772278583568734,-0.06781516899043726,-11.12081160338977
Crawfordsville-TP6-4351_14_20,126.90972222222223,138.0,18275,112.55555555555556,122.5,16208,97.08333333333333,106.0,13980,0.003983699978452058,0.00323638153691465,0.5736527968970964,-0.06109044246870857,-0.060240963855421686,-8.797023715494033
Crawfordsville-TP6-4351_15_13,128.65277777777777,148.0,18526,112.375,130.0,16182,98.48611111111111,113.0,14182,-0.009374809013274981,-0.00371829428433202,-1.3499724979115972,-0.07427552590840153,-0.06529209621993128,-10.69567573080982
Crawfordsville-TP6-4351_15_14,128.91666666666666,139.0,18564,115.45833333333333,125.5,16626,99.49305555555556,106.5,14327,0.006286236467438174,0.006061345203975853,0.905218051311097,-0.05531743166825741,-0.056818181818181816,-7.965710160229067
Crawfordsville-TP6-4351_15_15,128.93055555555554,141.0,18566,114.22222222222223,126.0,16448,98.61805555555556,107.0,14201,0.0025620353763305815,0.0038912862442274207,0.36893309419160375,-0.0619060543377504,-0.05970149253731343,-8.914471824636058
Crawfordsville-TP6-4351_15_16,126.09027777777777,135.0,18157,112.29166666666667,120.0,16170,99.21527777777777,106.0,14287,-0.0021995708781183537,-0.0021053004817813943,-0.31673820644904294,-0.05947645300383929,-0.058392501370559055,-8.564609232552858
Crawfordsville-TP6-4351_15_17,126.84722222222223,144.0,18266,112.63888888888889,126.5,16220,97.43055555555556,110.0,14030,0.0016997747929622037,0.002036659877800407,0.24476757018655734,-0.06092467381015449,-0.057692307692307696,-8.773153028662247
Crawfordsville-TP6-4351_15_18,122.78472222222223,141.5,17681,109.40277777777777,126.5,15754,93.29861111111111,108.5,13435,0.004730474251121933,0.00626577890564705,0.6811882921615584,-0.06573980454774211,-0.055453054530545304,-9.466531854874864
Crawfordsville-TP6-4351_15_20,123.8125,134.0,17829,109.06944444444444,119.0,15706,94.82638888888889,103.5,13655,-0.0012764440536648426,0.0,-0.18380794372773734,-0.0644538204549306,-0.06218202374222725,-9.281350145510007
Crawfordsville-TP6-4351_16_13,129.98611111111111,149.5,18718,110.98611111111111,128.0,15982,94.95833333333333,110.0,13674,-0.01175889718445398,-0.006049001792748515,-1.6932811945613733,-0.08996058858215719,-0.07596860451694817,-12.954324755830635
Crawfordsville-TP6-4351_16_14,135.20833333333334,146.5,19470,118.85416666666667,128.0,17115,102.44444444444444,112.0,14752,-1.4709900021484489e-05,0.0,-0.0021182256030937664,-0.06604107120720867,-0.06479730891055074,-9.50991425383805
Crawfordsville-TP6-4351_16_15,126.29861111111111,141.5,18187,111.42361111111111,124.5,16045,96.36805555555556,108.5,13877,-0.0016202519160595005,0.0,-0.23331627591256807,-0.0675969536841494,-0.06129816547557651,-9.733961330517515
Crawfordsville-TP6-4351_16_16,129.86805555555554,141.0,18701,114.67361111111111,126.5,16513,100.15972222222223,110.0,14423,-0.007986373566397725,0.0,-1.1500377935612724,-0.0717567782779201,-0.0586213866990095,-10.332976072020493
Crawfordsville-TP6-4351_16_17,122.74305555555556,145.0,17675,109.49305555555556,130.0,15767,95.45833333333333,112.0,13746,3.769553569531848e-05,0.0018692633704740242,0.005428157140125861,-0.05946724524752949,-0.055778036600347816,-8.563283315644247
Crawfordsville-TP6-4351_16_18,120.43055555555556,124.5,17342,104.42361111111111,108.5,15037,91.46527777777777,95.0,13171,-0.01255706952550784,-0.007197597348798674,-1.8082180116731288,-0.08190953449151189,-0.06790123456790123,-11.794972966777713
Crawfordsville-TP6-4351_16_19,121.15972222222223,140.0,17447,107.18055555555556,124.5,15434,94.41666666666667,109.0,13596,-0.014734357420185085,0.0,-2.121747468506652,-0.07418960798718818,-0.05904139433551198,-10.683303550155099
Crawfordsville-TP6-4351_16_20,130.31944444444446,137.5,18766,115.86805555555556,121.5,16685,99.28472222222223,103.0,14297,0.005319920657099183,0.0051819036112229835,0.7660685746222824,-0.05890578888472811,-0.0578831487922397,-8.482433599400848
Crawfordsville-TP6-4351_17_13,126.18055555555556,146.0,18170,107.49305555555556,125.0,15479,92.35416666666667,108.0,13299,-0.018761189317313257,-0.006711946865005281,-2.701611261693109,-0.0983832617959308,-0.07432432432432433,-14.167189698614035
Crawfordsville-TP6-4351_17_15,122.97916666666667,135.0,17709,108.76388888888889,119.0,15662,94.61805555555556,104.0,13625,-0.0028359545296088302,0.0,-0.40837745226367156,-0.06514060393927483,-0.06141217756085755,-9.380246967255575
Crawfordsville-TP6-4351_17_16,122.93055555555556,133.5,17702,106.32638888888889,117.5,15311,95.11805555555556,104.5,13697,-0.022422439519472856,-0.010121498965312354,-3.2288312908040915,-0.0851037356600381,-0.06773113301630293,-12.254937935045485
Crawfordsville-TP6-4351_17_17,125.05555555555556,139.0,18008,111.36805555555556,123.0,16037,97.05555555555556,106.0,13976,-6.1034786037396276e-05,0.0019349598973011613,-0.008789009189385064,-0.06018707399081426,-0.056983813081374055,-8.666938654677253
