file,Red,Green,Blue,GLI,NGRDI
Crawfordsville-TP2-4353_26_46,81,94,82,0.07122507122507123,0.07428571428571429
Crawfordsville-TP2-4353_26_46,90,100,87,0.0610079575596817,0.05263157894736842
Crawfordsville-TP2-4353_26_46,42,64,53,0.14798206278026907,0.20754716981132076
Crawfordsville-TP2-4353_26_46,1,37,27,0.45098039215686275,0.9473684210526315
Crawfordsville-TP2-4353_30_44,51,73,58,0.1450980392156863,0.1774193548387097
Crawfordsville-TP2-4353_30_44,62,82,65,0.12714776632302405,0.1388888888888889
Crawfordsville-TP2-4353_30_44,66,85,68,0.11842105263157894,0.12582781456953643
Crawfordsville-TP2-4353_30_44,53,76,59,0.15151515151515152,0.17829457364341086
Crawfordsville-TP2-4353_30_44,39,67,50,0.20179372197309417,0.2641509433962264
Crawfordsville-TP2-4353_30_44,47,70,56,0.1522633744855967,0.19658119658119658
Crawfordsville-TP2-4353_30_44,48,72,58,0.152,0.2
Crawfordsville-TP2-4353_30_44,75,91,77,0.08982035928143713,0.0963855421686747
Crawfordsville-TP2-4353_30_44,48,72,58,0.152,0.2
Crawfordsville-TP2-4353_30_44,74,90,76,0.09090909090909091,0.0975609756097561
Crawfordsville-TP2-4353_30_44,63,82,70,0.10437710437710437,0.1310344827586207
Crawfordsville-TP2-4353_30_44,51,73,61,0.13178294573643412,0.1774193548387097
Crawfordsville-TP2-4353_30_44,48,70,59,0.13360323886639677,0.1864406779661017
Crawfordsville-TP2-4353_30_44,51,73,61,0.13178294573643412,0.1774193548387097
Crawfordsville-TP2-4353_30_44,6,45,32,0.40625,0.7647058823529411
Crawfordsville-TP2-4351_23_16,53,69,59,0.104,0.13114754098360656
Crawfordsville-TP2-4351_23_16,57,75,64,0.1070110701107011,0.13636363636363635
Crawfordsville-TP2-4351_23_16,57,76,65,0.10948905109489052,0.14285714285714285
Crawfordsville-TP2-4351_23_16,51,73,61,0.13178294573643412,0.1774193548387097
Crawfordsville-TP2-4351_23_16,45,70,58,0.1522633744855967,0.21739130434782608
Crawfordsville-TP2-4351_23_16,66,85,73,0.10032362459546926,0.12582781456953643
Crawfordsville-TP2-4351_23_16,83,97,85,0.0718232044198895,0.07777777777777778
Crawfordsville-TP2-4351_23_16,69,87,74,0.09779179810725552,0.11538461538461539
Crawfordsville-TP2-4351_23_16,68,85,74,0.08974358974358974,0.1111111111111111
Crawfordsville-TP2-4351_23_16,68,87,74,0.10126582278481013,0.12258064516129032
Crawfordsville-TP2-4351_23_16,50,73,62,0.13178294573643412,0.18699186991869918
Crawfordsville-TP2-4351_23_16,50,73,62,0.13178294573643412,0.18699186991869918
Crawfordsville-TP2-4351_23_16,59,81,67,0.125,0.15714285714285714
Crawfordsville-TP2-4351_23_16,57,79,65,0.12857142857142856,0.16176470588235295
Crawfordsville-TP2-4351_23_16,54,78,64,0.1386861313868613,0.18181818181818182
Crawfordsville-TP2-4351_23_16,59,81,67,0.125,0.15714285714285714
Crawfordsville-TP2-4351_23_16,78,93,80,0.08139534883720931,0.08771929824561403
Crawfordsville-TP2-4351_23_16,71,87,74,0.09090909090909091,0.10126582278481013
Crawfordsville-TP2-4351_23_16,32,58,47,0.18974358974358974,0.28888888888888886
Crawfordsville-TP2-4351_23_16,36,60,49,0.17073170731707318,0.25
Crawfordsville-TP2-4353_10_46,94,107,90,0.07537688442211055,0.06467661691542288
Crawfordsville-TP2-4353_10_46,87,101,85,0.08021390374331551,0.07446808510638298
Crawfordsville-TP2-4353_10_46,84,99,82,0.08791208791208792,0.08196721311475409
Crawfordsville-TP2-4353_10_46,72,90,73,0.1076923076923077,0.1111111111111111
Crawfordsville-TP2-4353_10_46,80,94,80,0.08045977011494253,0.08045977011494253
Crawfordsville-TP2-4353_10_46,96,105,91,0.05793450881612091,0.04477611940298507
Crawfordsville-TP2-4353_10_46,81,93,82,0.0659025787965616,0.06896551724137931
Crawfordsville-TP2-4353_10_46,78,90,80,0.0650887573964497,0.07142857142857142
Crawfordsville-TP2-4353_10_46,87,97,86,0.05722070844686648,0.05434782608695652
Crawfordsville-TP2-4353_28_45,77,90,77,0.07784431137724551,0.07784431137724551
Crawfordsville-TP2-4353_28_45,78,91,77,0.08011869436201781,0.07692307692307693
Crawfordsville-TP2-4353_28_45,75,90,76,0.08761329305135952,0.09090909090909091
Crawfordsville-TP2-4353_28_45,84,97,83,0.07479224376731301,0.0718232044198895
Crawfordsville-TP2-4353_28_45,83,96,82,0.07563025210084033,0.07262569832402235
Crawfordsville-TP2-4353_28_45,77,93,79,0.08771929824561403,0.09411764705882353
Crawfordsville-TP2-4353_28_45,62,82,68,0.11564625850340136,0.1388888888888889
Crawfordsville-TP2-4353_28_45,65,85,70,0.11475409836065574,0.13333333333333333
Crawfordsville-TP2-4353_28_45,71,90,74,0.1076923076923077,0.11801242236024845
Crawfordsville-TP2-4353_28_45,78,96,80,0.09714285714285714,0.10344827586206896
Crawfordsville-TP2-4353_28_45,69,88,73,0.1069182389937107,0.12101910828025478
Crawfordsville-TP2-4353_28_45,65,85,70,0.11475409836065574,0.13333333333333333
Crawfordsville-TP2-4353_28_45,77,93,79,0.08771929824561403,0.09411764705882353
Crawfordsville-TP2-4353_28_45,83,97,83,0.07777777777777778,0.07777777777777778
Crawfordsville-TP2-4353_28_45,71,87,74,0.09090909090909091,0.10126582278481013
Crawfordsville-TP2-4353_28_45,62,79,67,0.10104529616724739,0.12056737588652482
Crawfordsville-TP2-4353_28_45,90,100,87,0.0610079575596817,0.05263157894736842
Crawfordsville-TP2-4353_28_45,87,99,86,0.0673854447439353,0.06451612903225806
Crawfordsville-TP2-4353_28_45,42,66,53,0.16299559471365638,0.2222222222222222
Crawfordsville-TP2-4353_28_45,47,69,56,0.14522821576763487,0.1896551724137931
Crawfordsville-TP2-4351_3_15,81,94,82,0.07122507122507123,0.07428571428571429
Crawfordsville-TP2-4351_3_15,89,100,87,0.06382978723404255,0.0582010582010582
