file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum
Crawfordsville-TP3-4351_10_13,526.8388625592418,535.0,111163,690.1184834123222,693.0,145615,554.0236966824644,555.0,116899,0.12389754911605821,0.11953833470733718,26.142382863488283,0.1396207496992185,0.12984054669703873,29.459978186535103,0.7931823253020804,0.7890749601275917,167.36147063873898,0.36003686297290277,0.35989568241089537,75.96777808728248,2128.4265402843603,2129.0,449098,587.1374407582938,592.0,123886
Crawfordsville-TP3-4351_10_14,450.5,443.0,90100,606.115,597.0,121223,523.145,515.0,104629,0.11145420755825487,0.10899846554661075,22.290841511650974,0.15392366379363653,0.14741539625476485,30.78473275872731,0.8177642361990398,0.8195341652627156,163.55284723980796,0.37538803721638125,0.3758343093675618,75.07760744327625,2017.095,2002.0,403419,546.555,541.5,109311
Crawfordsville-TP3-4351_10_15,541.475,545.0,108295,697.83,700.5,139566,575.52,578.0,115104,0.11300237311592223,0.11235555726623084,22.600474623184446,0.13148589318577128,0.1272213921010082,26.297178637154254,0.7877892929948325,0.7887467994495518,157.5578585989665,0.35468697408457556,0.3555691238013161,70.93739481691512,2152.13,2170.0,430426,583.99,581.0,116798
Crawfordsville-TP3-4351_10_16,514.5794392523364,497.0,110120,679.0981308411215,668.5,145327,563.1401869158879,553.5,120512,0.11820540963947468,0.1179018860393451,25.29595766284758,0.14490625022131304,0.14509154521242618,31.009937547360988,0.795158571429858,0.7948021181716833,170.16393428598963,0.357408982550349,0.3572860703432956,76.48552226577468,2108.5280373831774,2095.5,451225,576.0140186915888,566.0,123267
Crawfordsville-TP3-4351_10_17,560.9903846153846,578.5,116686,716.8990384615385,728.5,149115,579.1394230769231,590.5,120461,0.11938678690033935,0.11485250007178988,24.832451675270587,0.13439625733997623,0.1194490942830926,27.95442152671506,0.7823219746248797,0.777564989827472,162.72297072197497,0.35171816195301164,0.35154670349508954,73.15737768622643,2155.264423076923,2160.5,448295,595.3701923076923,598.0,123837
Crawfordsville-TP3-4351_10_18,547.8,553.5,115038,682.2095238095238,681.0,143264,564.452380952381,566.0,118535,0.10592530378701467,0.09932811545618546,22.244313795273083,0.1187178422088818,0.10632976050110034,24.930746863865178,0.7777177730276069,0.7723373711264465,163.32073233579746,0.3467079948653939,0.34724108805345444,72.80867892173272,2091.5238095238096,2090.0,439220,580.8904761904762,583.5,121987
Crawfordsville-TP3-4351_10_19,465.65238095238095,456.5,97787,633.1380952380953,626.0,132959,526.2619047619048,521.5,110515,0.12361457613922983,0.12349204378504769,25.959060989238264,0.15807685895167317,0.15584415584415584,33.196140379851364,0.8147455303773591,0.8153907716167705,171.0965613792454,0.37309925459667137,0.3726165342869259,78.35084346530098,2064.0,2051.5,433440,554.9142857142857,549.5,116532
Crawfordsville-TP3-4351_10_20,535.3059360730593,556.0,117232,699.2557077625571,716.0,153137,572.6392694063927,581.0,125408,0.11984297741424609,0.11546144626448263,26.245612053719892,0.14263560252820082,0.12618296529968454,31.237196953675976,0.8002659924618628,0.7925764192139738,175.25825234914797,0.3597685262781432,0.35905466970387245,78.78930725491337,2235.0867579908677,2256.0,489484,593.8264840182649,604.0,130048
Crawfordsville-TP3-4351_11_13,515.473933649289,526.0,108765,690.2985781990521,699.0,145653,552.4265402843602,560.0,116562,0.12910695189258678,0.12759643916913946,27.241566849335808,0.14904118006719497,0.14193025141930252,31.44768899417814,0.8025025288059261,0.7984777093149692,169.3280335780504,0.3587573672012251,0.35943747414862814,75.6978044794585,2206.0758293838862,2224.0,465482,565.0331753554502,568.0,119222
Crawfordsville-TP3-4351_11_14,547.1818181818181,554.0,114361,724.8038277511962,728.0,151484,578.8277511961722,578.0,120975,0.12698589004297114,0.12615384615384614,26.540051018980968,0.14314944920329137,0.13850616388687453,29.918234883487894,0.7963825415508172,0.7954341182815028,166.4439511841208,0.34985591433890184,0.35055152004304546,73.11988609683048,2310.9808612440193,2326.0,482995,595.2392344497607,596.0,124405
Crawfordsville-TP3-4351_11_15,531.2864077669902,534.0,109445,707.9466019417475,707.0,145837,566.504854368932,566.0,116700,0.1292293630820575,0.12677142635438546,26.62124879490385,0.1485483341994087,0.14229785318616678,30.600956845078187,0.7958418501319203,0.7947152212895845,163.94342112717558,0.3436852083301389,0.3442400776605442,70.79915291600861,2259.660194174757,2266.5,465490,580.5825242718447,579.0,119600
Crawfordsville-TP3-4351_11_16,523.1666666666666,526.5,109865,692.1238095238095,694.0,145346,562.552380952381,560.0,118136,0.122830164760531,0.12328582375478928,25.79433459971151,0.14382437931739303,0.13939205955334988,30.203119656652536,0.7990770083508654,0.7993241349247232,167.80617175368172,0.35383070229274255,0.3540108871093401,74.30444748147593,2217.8571428571427,2219.5,465750,576.5952380952381,575.0,121085
Crawfordsville-TP3-4351_11_17,515.3700440528635,506.0,116989,675.5154185022027,672.0,153342,549.9295154185022,547.0,124834,0.12054344809803456,0.11900826446280992,27.363362718253846,0.13984861236974896,0.1371900826446281,31.745635007933014,0.7934852136661644,0.7941359950093575,180.12114350221933,0.35296085251173953,0.3537465037538643,80.12211352016487,2121.4361233480176,2121.0,481566,565.9074889867842,563.0,128461
Crawfordsville-TP3-4351_11_18,562.3019801980198,564.5,113585,731.8663366336634,739.0,147837,585.4009900990098,591.0,118251,0.12457560138391481,0.11941678499629513,25.16427147955079,0.1390086562257657,0.12780563480454493,28.07974855760467,0.7844160444123884,0.7789182921404713,158.45204097130247,0.3444404970974612,0.34438654695496074,69.57698041368717,2238.8762376237623,2245.5,452253,598.6732673267327,604.0,120932
Crawfordsville-TP3-4351_11_19,520.465,525.5,104093,694.18,700.5,138836,570.89,573.5,114178,0.12163956196698397,0.119177124781121,24.327912393396794,0.14809651164066534,0.1410505782187198,29.61930232813307,0.8019229601223222,0.8010734853381911,160.38459202446444,0.3600810533187084,0.3603945450130627,72.01621066374167,2207.495,2215.0,441499,578.39,581.0,115678
Crawfordsville-TP3-4351_11_20,556.555,555.5,111311,724.07,721.5,144814,581.53,582.0,116306,0.12327256377352742,0.11971023491151074,24.654512754705486,0.13904463649652898,0.13121763189062324,27.808927299305797,0.793387669055073,0.7909406331654776,158.6775338110146,0.3545385913188502,0.3544031040987843,70.90771826377004,2268.165,2265.5,453633,600.735,597.5,120147
Crawfordsville-TP3-4351_12_13,474.3047619047619,483.5,99604,648.1571428571428,654.0,136113,543.8904761904762,546.0,114217,0.12418247716140707,0.11786496584259087,26.078320203895483,0.16586936582288525,0.1486208801573827,34.8325668228059,0.81677913949107,0.8119313399434883,171.52361929312468,0.375285458850014,0.374981243670604,78.80994635850294,2101.0761904761903,2124.5,441226,564.4047619047619,566.5,118525
Crawfordsville-TP3-4351_12_14,511.67410714285717,526.0,114615,683.4866071428571,689.0,153101,558.0446428571429,562.0,125002,0.12400823321773016,0.12213220862738547,27.777844240771557,0.1488868841443232,0.14077297877733758,33.350662048328395,0.8059154872867057,0.803174451728266,180.52506915222207,0.3624627957699692,0.3621934548653908,81.1916662524731,2207.941964285714,2216.5,494579,572.2455357142857,576.0,128183
Crawfordsville-TP3-4351_12_15,539.2227488151659,538.0,113776,723.1516587677725,727.0,152585,580.3364928909953,581.0,122451,0.12924099015918575,0.12953832362169432,27.269848923588192,0.1502064198777931,0.14741035856573706,31.693554594214344,0.7922688987598233,0.7916828604741547,167.1687376383227,0.33919241163400504,0.3398142774230992,71.56959885477507,2278.2464454976302,2288.0,480710,593.9241706161138,595.0,125318
Crawfordsville-TP3-4351_12_16,528.21,533.5,105642,705.885,711.0,141177,562.755,566.5,112551,0.1308627065225281,0.12994132327187827,26.17254130450562,0.15056336100880333,0.14682096763651536,30.112672201760663,0.790597437891809,0.7900829488640255,158.1194875783618,0.3444202362070348,0.34607515384476567,68.88404724140696,2178.73,2207.0,435746,584.62,581.5,116924
Crawfordsville-TP3-4351_12_17,522.675,537.0,104535,676.74,684.0,135348,551.94,565.5,110388,0.11764504604002664,0.11293656940984695,23.529009208005327,0.1348338837647298,0.12199028046544025,26.96677675294596,0.7904754321390581,0.7874251648879488,158.09508642781162,0.3557201805946161,0.35540589136987977,71.14403611892321,2099.755,2104.5,419951,578.035,582.0,115607
Crawfordsville-TP3-4351_12_18,452.70454545454544,447.5,99595,617.8727272727273,615.5,135932,521.0136363636364,521.5,114623,0.12109629182373394,0.11803541674616197,26.641184201221467,0.16108860070630848,0.15601058044765498,35.43949215538787,0.8148121129600339,0.8142024639914567,179.25866485120744,0.36915640765864394,0.37001287208910716,81.21440968490167,2021.5,2022.5,444730,554.5318181818182,552.0,121997
Crawfordsville-TP3-4351_12_19,533.41,539.0,106682,710.43,712.5,142086,575.525,580.5,115105,0.12540852376252254,0.12300165941472171,25.081704752504507,0.14711144021068975,0.13888066892778828,29.42228804213795,0.7914938358239922,0.7907810251802765,158.29876716479845,0.34753423444019554,0.34957691431220034,69.5068468880391,2201.075,2206.5,440215,586.65,591.0,117330
Crawfordsville-TP3-4351_12_20,622.86,618.0,124572,792.96,797.0,158592,619.55,620.0,123910,0.12457381821293331,0.12223022063320076,24.914763642586664,0.1270994778887862,0.123328470575431,25.419895577757238,0.7746306405273199,0.7726013258171633,154.926128105464,0.336304079310494,0.33518891523904437,67.2608158620988,2403.57,2424.5,480714,625.05,627.0,125010
Crawfordsville-TP3-4351_13_13,507.9303482587065,520.0,102094,677.8009950248756,683.0,136238,552.6915422885572,560.0,111091,0.12536458294508118,0.1210762331838565,25.198281171961316,0.15161402489576506,0.13804713804713806,30.474419004048777,0.8027642061721887,0.7986682334508421,161.35560544060993,0.3584633666667453,0.35872709739633557,72.0511367000158,2161.3980099502487,2170.0,434441,585.0895522388059,586.0,117603
Crawfordsville-TP3-4351_13_14,530.1,531.5,106020,694.425,692.5,138885,561.57,560.5,112314,0.12122179530881887,0.12161880429228411,24.244359061763774,0.1377348943393151,0.13391701336286338,27.546978867863018,0.7947765885175542,0.7937570143873107,158.95531770351084,0.3496911439377739,0.34990027366008125,69.93822878755478,2219.695,2219.5,443939,582.975,582.0,116595
Crawfordsville-TP3-4351_13_15,521.954128440367,534.5,113786,698.8853211009174,702.0,152357,561.0,563.0,122298,0.13051336908601596,0.12344968871450274,28.451914460751482,0.15346379158155019,0.13798872473819845,33.45510656477794,0.7990029208836515,0.7965508976431378,174.18263675263603,0.3519182116566194,0.3542538792746224,76.71817014114303,2209.1422018348626,2223.5,481593,578.1559633027523,578.0,126038
Crawfordsville-TP3-4351_13_16,495.26237623762376,506.0,100043,659.6980198019802,661.5,133259,547.9653465346535,547.5,110689,0.11958976630710381,0.1175304036796162,24.157132794034972,0.1491421497563313,0.13865693630262693,30.12671425077892,0.8043812694378555,0.801608271563422,162.4850164264468,0.366281348045292,0.36768331406799937,73.98883230514899,2095.410891089109,2105.5,423273,573.7970297029703,573.5,115907
Crawfordsville-TP3-4351_13_17,491.4,494.5,98280,655.705,656.0,131141,542.09,543.5,108418,0.12150145756553223,0.11982619750311059,24.300291513106444,0.15030820627889807,0.1434623623588682,30.061641255779616,0.803773093198824,0.8021058848180022,160.7546186397648,0.3642059554914001,0.3656010128066469,72.84119109828002,2080.815,2081.5,416163,573.39,572.0,114678
Crawfordsville-TP3-4351_13_18,524.0436893203884,525.0,107953,678.8883495145631,678.5,139851,554.8106796116505,553.0,114291,0.11723508577862295,0.1151152487486486,24.150427670396326,0.13574986999413108,0.1274648370497427,27.964473218791,0.7980271114750497,0.7963969368669936,164.39358496386023,0.36263271869799407,0.3636241117373193,74.70234005178678,2156.1893203883496,2163.0,444175,585.8980582524272,585.0,120695
