file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum
Crawfordsville-TP1-4351_10_13,66.09027777777777,65.0,9517,86.16666666666667,86.0,12408,75.41666666666667,74.0,10860,0.10009314143961665,0.0963855421686747,14.413412367304797,0.13582903179659706,0.12891156462585035,19.559380578709977
Crawfordsville-TP1-4351_10_14,61.53472222222222,61.0,8861,78.51388888888889,79.0,11306,70.65972222222223,71.0,10175,0.08798276366828621,0.08710801393728224,12.669517968233214,0.12600514976163332,0.12143476707995306,18.144741565675197
Crawfordsville-TP1-4351_10_15,72.78472222222223,73.0,10481,87.95833333333333,88.0,12666,78.68055555555556,79.0,11330,0.07648224977888864,0.07317073170731707,11.013443968159963,0.09798870344606875,0.09316770186335403,14.1103732962339
Crawfordsville-TP1-4351_10_16,63.24305555555556,64.0,9107,81.86111111111111,82.0,11788,73.25,73.5,10548,0.0937132671072847,0.08967808454576698,13.494710463448996,0.13496762358402342,0.1259259259259259,19.435337796099372
Crawfordsville-TP1-4351_10_17,62.388888888888886,62.0,8984,79.5,79.0,11448,70.18055555555556,70.0,10106,0.0922967528172806,0.09090909090909091,13.290732405688406,0.12392512900182719,0.12056737588652482,17.845218576263115
Crawfordsville-TP1-4351_10_18,79.13888888888889,79.0,11396,97.31944444444444,97.0,14014,83.47222222222223,83.0,12020,0.0933735775053069,0.08900523560209424,13.445795160764195,0.1101001800042644,0.103127720432782,15.854425920614073
Crawfordsville-TP1-4351_10_19,59.673611111111114,62.0,8593,76.73611111111111,78.0,11050,70.54861111111111,73.0,10159,0.08496936469703006,0.0756359525155455,12.23558851637233,0.1325441373117827,0.11811023622047244,19.086355772896706
Crawfordsville-TP1-4351_10_20,67.02777777777777,68.0,9652,86.38888888888889,86.0,12440,77.83333333333333,79.0,11208,0.09071425249380627,0.08297492562685932,13.062852359108103,0.1328435794626618,0.11765208475734791,19.129475442623296
Crawfordsville-TP1-4351_11_13,70.40277777777777,71.0,10138,90.4375,91.0,13023,78.9375,80.0,11367,0.09691935323847548,0.09309309309309309,13.956386866340468,0.12767848038887367,0.12044206929145308,18.38570117599781
Crawfordsville-TP1-4351_11_14,69.79166666666667,71.0,10050,89.22222222222223,91.0,12848,79.20833333333333,82.0,11406,0.09446252062785924,0.08563000421407502,13.60260297041173,0.1352763489426968,0.11515151515151516,19.479794247748337
Crawfordsville-TP1-4351_11_15,68.79861111111111,70.0,9907,88.31944444444444,89.0,12718,76.45138888888889,77.0,11009,0.10020193043369338,0.09752004475107216,14.429077982451847,0.12997294628308526,0.1242603550295858,18.716104264764276
Crawfordsville-TP1-4351_11_16,65.72222222222223,67.0,9464,84.36805555555556,85.0,12149,74.72916666666667,75.0,10761,0.09555749121234097,0.08925049309664694,13.760278734577101,0.13340475659562856,0.12162162162162163,19.21028494977051
Crawfordsville-TP1-4351_11_17,63.93055555555556,64.0,9206,80.32638888888889,80.0,11567,72.55555555555556,73.0,10448,0.08377702648654442,0.079156223893066,12.063891814062396,0.11915384649901199,0.11564625850340136,17.158153895857726
Crawfordsville-TP1-4351_11_18,68.90972222222223,70.0,9923,88.88888888888889,89.0,12800,76.89583333333333,77.0,11073,0.10214486508671576,0.09629772735255893,14.708860572487069,0.13330428101231528,0.11949685534591195,19.1958164657734
Crawfordsville-TP1-4351_11_19,65.71527777777777,65.0,9463,84.28472222222223,83.0,12137,74.21527777777777,74.0,10687,0.09558340312039576,0.09148629148629149,13.76401004933699,0.12927637069447012,0.12245464642724917,18.6157973800037
Crawfordsville-TP1-4351_11_20,71.47222222222223,74.0,10292,90.84722222222223,92.0,13082,79.78472222222223,82.0,11489,0.09514362992518281,0.08683473389355742,13.700682709226324,0.12739762871682977,0.1111111111111111,18.345258535223486
Crawfordsville-TP1-4351_12_13,64.27083333333333,65.0,9255,81.98611111111111,82.0,11806,73.78472222222223,74.0,10625,0.08857617572454832,0.0859106529209622,12.754969304334958,0.12781832240126886,0.1189120188531029,18.405838425782715
Crawfordsville-TP1-4351_12_14,68.43055555555556,70.0,9854,86.06944444444444,87.0,12394,77.02083333333333,77.0,11091,0.08597463231346952,0.08271181519589163,12.380347053139612,0.11843024589042428,0.11504702194357366,17.053955408221096
Crawfordsville-TP1-4351_12_15,72.30555555555556,73.0,10412,91.61111111111111,92.0,13192,79.40277777777777,80.0,11434,0.09687485680563572,0.09313039747822356,13.949979380011543,0.12322210264502248,0.11949685534591195,17.743982780883236
