file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight
Crawfordsville-TP2-4351_18_18_cropped.TIF,348.81349206349205,484.25,353.5436507936508,3781.472222222222,1687.0595238095239,326.39285714285717,Crawfordsville-TP2-4351,18,18,0.04172724876928769,0.03086119959615293,0.03853293534419026,30500.0,15.64,139.2,61.0,,,,,,,,,,,0.0,244.0
Crawfordsville-TP2-4352_10_9_cropped.TIF,292.86147186147184,429.2121212121212,321.0735930735931,3956.069264069264,1651.6623376623377,324.6320346320346,Crawfordsville-TP2-4352,10,9,0.044121987961274735,-0.07570658937291799,-0.0580921557475756,,,,,,,,,,,,,,,,
Crawfordsville-TP2-4352_5_7_cropped.TIF,368.1471861471861,500.45454545454544,369.6926406926407,4027.3852813852814,1769.926406926407,353.86580086580085,Crawfordsville-TP2-4352,5,7,0.04444088594671745,0.001261271780821627,0.03513236458410397,29500.0,18.23,160.33,59.0,,,,,,,,,,,0.0,235.0
Crawfordsville-TP2-4353_14_44_cropped.TIF,310.98809523809524,460.5357142857143,337.24603174603175,3801.7976190476193,1641.7698412698412,322.98015873015873,Crawfordsville-TP2-4353,14,44,0.04213350425093648,-0.022380235470814244,-0.028715500805025485,31500.0,19.77,177.0,63.0,,,,,,,,,,,1.59,266.0
Crawfordsville-TP2-4351_7_14_cropped.TIF,356.6818181818182,486.41735537190084,373.55785123966945,4096.780991735537,1761.7768595041323,359.41322314049586,Crawfordsville-TP2-4351,7,14,0.04526314410978163,-0.04176650604214892,0.007059009577498344,32000.0,16.19,148.69,64.0,,,,,,,,,,,23.44,241.0
Crawfordsville-TP2-4352_6_4_cropped.TIF,328.7613636363636,444.04545454545456,322.97727272727275,3513.439393939394,1553.5227272727273,305.82954545454544,Crawfordsville-TP2-4352,6,4,0.03874994824076003,0.013267125264515832,0.06040646918303017,35000.0,16.69,154.52,70.0,,,,,,,,,,,11.43,236.0
Crawfordsville-TP2-4352_5_6_cropped.TIF,425.42424242424244,585.0735930735931,410.68831168831167,4620.627705627706,2039.155844155844,374.17316017316017,Crawfordsville-TP2-4352,5,6,0.05112321277436016,0.03065986747392731,0.15514585676055884,31500.0,13.39,126.22,63.0,,,,,,,,,,,6.35,254.0
Crawfordsville-TP2-4352_15_8_cropped.TIF,306.012987012987,458.9047619047619,335.0692640692641,3870.277056277056,1709.1818181818182,325.05194805194805,Crawfordsville-TP2-4352,15,8,0.043084921901111184,0.02126275311657161,-0.11104789385109934,28500.0,17.66,158.48,57.0,,,,,,,,,,,0.0,208.0
Crawfordsville-TP2-4353_17_44_cropped.TIF,381.1904761904762,544.1212121212121,393.64069264069263,4500.8441558441555,1971.978354978355,377.46320346320346,Crawfordsville-TP2-4353,17,44,0.04993714953100144,0.0077289524026646255,-0.00866261311688583,35000.0,17.33,157.34,70.0,,,,,,,,,,,35.71,249.0
Crawfordsville-TP2-4352_22_4_cropped.TIF,349.6666666666667,501.54978354978357,355.06060606060606,3906.04329004329,1792.04329004329,342.0735930735931,Crawfordsville-TP2-4352,22,4,0.043262024370638995,0.08615658233363192,-0.07428016282611842,27000.0,17.0,156.13,54.0,,,,,,,,,,,14.81,189.0
