file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Crawfordsville-TP2-4351_10_13,416.32,404.0,83264,553.4,545.5,110680,420.14,409.0,84028,0.14452869380530753,0.1416775175273314,28.905738761061507,0.15192120201501097,0.14609866562644114,30.38424040300219,0.8420745730336344,0.8433416559438494,168.41491460672688,0.4033076131470802,0.4032545164177712,80.66152262941604,2039.75,2052.0,407950,386.1,382.0,77220,4797.96,4825.0,959592
Crawfordsville-TP2-4351_10_14,359.0,358.0,71800,511.42,508.5,102284,381.38,382.5,76276,0.1660287625175422,0.16464373794897091,33.20575250350844,0.18853552702307008,0.17789515526753236,37.70710540461402,0.860641072723238,0.857224179290458,172.1282145446476,0.4146699036364586,0.4157136705477634,82.93398072729173,1951.61,1927.0,390322,385.39,388.0,77078,4716.31,4670.0,943262
Crawfordsville-TP2-4351_10_15,413.81481481481484,424.0,67038,546.4444444444445,563.0,88524,426.85185185185185,427.0,69150,0.14009457467710237,0.1288056206088993,22.695321097690584,0.15921553712692227,0.1378169790518192,25.792917014561407,0.8365424512844257,0.8271918678526048,135.51987710807697,0.3902593404424486,0.3871057772816076,63.22201315167667,1991.7407407407406,2005.0,322662,396.5925925925926,399.0,64248,4540.098765432099,4538.0,735496
Crawfordsville-TP2-4351_10_16,379.70212765957444,390.5,71384,522.6702127659574,531.5,98262,401.6808510638298,402.5,75516,0.15226262457110293,0.14795720072112573,28.625373419367353,0.17444660529730774,0.1572052401746725,32.79596179589385,0.8465597155708099,0.8434056810497319,159.15322652731226,0.4033097116042565,0.4050245096687816,75.82222578160022,1906.212765957447,1916.5,358368,396.06382978723406,402.0,74460,4483.68085106383,4551.0,842932
Crawfordsville-TP2-4351_10_17,374.6875,386.5,71940,547.0625,553.0,105036,396.2604166666667,402.0,76082,0.18708619734965404,0.16839347719993042,35.920549891133575,0.2151209479533753,0.1771928973004001,41.303222007048056,0.8519336688903228,0.8439129357983903,163.57126442694198,0.39437960514699183,0.3953831049979466,75.72088418822243,1975.6875,1990.0,379332,378.5104166666667,386.0,72674,4548.40625,4572.0,873294
Crawfordsville-TP2-4351_10_18,486.79,500.5,97358,622.54,638.0,124508,461.24,471.5,92248,0.14280109588923723,0.13768634108264782,28.560219177847443,0.1354178587845054,0.1224997149047782,27.08357175690108,0.8154197945145047,0.8095673290754966,163.08395890290095,0.3745180275449804,0.37296465439541215,74.90360550899608,2135.3,2155.5,427060,420.51,432.5,84102,4696.46,4753.5,939292
Crawfordsville-TP2-4351_10_19,319.24,317.5,63848,481.18,481.0,96236,359.37,358.0,71874,0.18291390419811873,0.17033480812535046,36.582780839623744,0.22327717744026224,0.19864864864864867,44.65543548805245,0.8714561610539046,0.8691525292898213,174.29123221078092,0.41571335806804255,0.4152341461391925,83.14267161360851,1871.32,1869.0,374264,358.88,357.0,71776,4539.59,4585.0,907918
Crawfordsville-TP2-4351_10_20,398.8061224489796,401.0,78166,565.3367346938776,564.5,110806,416.4183673469388,419.0,81618,0.1684656867012688,0.16271256229359277,33.019274593448685,0.18468210310210878,0.17294159042927515,36.19769220801332,0.8498351431504241,0.8490242580354579,166.5676880574831,0.3995724704341198,0.3968525780381087,78.31620420508749,2075.9795918367345,2095.5,406892,389.11224489795916,390.5,76266,4838.989795918367,4857.0,948442
Crawfordsville-TP2-4351_11_13,391.7362637362637,377.0,71296,570.6813186813187,556.0,103864,410.4175824175824,396.0,74696,0.18507262525510992,0.1796875,33.68321779643001,0.20720314064259088,0.1935483870967742,37.71097159695154,0.8521649410775102,0.8538812785388128,155.09401927610685,0.39216148020685565,0.3910904618748292,71.37338939764773,2088.3846153846152,2087.0,380086,404.2857142857143,399.0,73580,4786.956043956044,4766.0,871226
Crawfordsville-TP2-4351_11_14,406.9,421.5,73242,574.7222222222222,587.0,103450,426.3,436.5,76734,0.17467206261496077,0.16168154497279225,31.440971270692938,0.20267139061388903,0.1689873465235784,36.480850310500024,0.8500427466278301,0.8406255867014165,153.00769439300942,0.38844723694730415,0.38923045164670755,69.92050265051475,2137.9444444444443,2146.0,384830,405.46666666666664,412.5,72984,4854.344444444445,4912.0,873782
Crawfordsville-TP2-4351_11_15,412.39080459770116,415.0,71756,579.3678160919541,585.0,100810,430.7241379310345,434.0,74946,0.1668529762999011,0.16001792917974003,29.03241787618279,0.18660231624698595,0.17119244391971664,32.46880302697556,0.8419831458794911,0.8385263570448755,146.50506738303145,0.3774024325513588,0.3786957136794455,65.66802326393643,2123.183908045977,2160.0,369434,412.1264367816092,413.0,71710,4701.666666666667,4749.0,818090
Crawfordsville-TP2-4351_11_16,379.52,373.5,75904,546.53,548.5,109306,411.94,411.0,82388,0.1714112605367695,0.15900047886465543,34.2822521073539,0.20372053453865388,0.1820630850288661,40.744106907730774,0.8496147597069752,0.8443027401467975,169.92295194139504,0.39094318425264535,0.39551658834538506,78.18863685052906,1995.63,2012.5,399126,398.07,399.5,79614,4563.76,4573.0,912752
Crawfordsville-TP2-4351_11_17,385.26,381.0,77052,513.26,513.5,102652,386.97,384.5,77394,0.1484769699464046,0.14079807739228029,29.69539398928092,0.15625201885487047,0.14488323523827606,31.250403770974096,0.8399620168959578,0.8398642540342882,167.99240337919156,0.3950232841144874,0.3975415385933794,79.00465682289747,1892.22,1912.5,378444,380.01,381.5,76002,4365.44,4406.5,873088
